,name,count,pos,norm
276,free meal every,7,,0.9999999999999999
0,great work environment,6,,0.8333333333333334
3844,free meal shift,4,,0.5
3089,great co workers,4,,0.5
1094,free food great,4,,0.5
23,great people great,4,,0.5
240,free food good,4,,0.5
292,work fast paced,4,,0.5
1150,fast paced environment,4,,0.5
277,meal every shift,4,,0.5
754,paid breaks free,4,,0.5
846,free food shift,3,,0.33333333333333337
1172,free food every,3,,0.33333333333333337
1173,food every shift,3,,0.33333333333333337
1888,free food working,3,,0.33333333333333337
395,free meals good,3,,0.33333333333333337
1871,environment good pay,3,,0.33333333333333337
1025,free employee meals,3,,0.33333333333333337
227,work environment great,3,,0.33333333333333337
494,great work culture,3,,0.33333333333333337
371,place work great,3,,0.33333333333333337
69,great company work,3,,0.33333333333333337
208,great customer service,3,,0.33333333333333337
645,get free food,3,,0.33333333333333337
354,food paid breaks,3,,0.33333333333333337
22,job great people,2,,0.16666666666666666
670,meeting new people,2,,0.16666666666666666
487,amazing people meet,2,,0.16666666666666666
411,benefits tuition reimbursementfree,2,,0.16666666666666666
1507,company free food,2,,0.16666666666666666
829,fast food restaurant,2,,0.16666666666666666
407,pay first job,2,,0.16666666666666666
2981,make feel like,2,,0.16666666666666666
2814,food free meal,2,,0.16666666666666666
1098,usually accommodating schedules,2,,0.16666666666666666
1886,great atmosphere free,2,,0.16666666666666666
1887,atmosphere free food,2,,0.16666666666666666
101,work great people,2,,0.16666666666666666
168,free meals great,2,,0.16666666666666666
21,first job great,2,,0.16666666666666666
1097,managers usually accommodating,2,,0.16666666666666666
170,work environment fun,2,,0.16666666666666666
77,great people work,2,,0.16666666666666666
1760,great food great,2,,0.16666666666666666
1594,every shift work,2,,0.16666666666666666
1762,great working experience,2,,0.16666666666666666
3955,good hours flexible,2,,0.16666666666666666
239,move free food,2,,0.16666666666666666
172,fun place work,2,,0.16666666666666666
8,good pay benefits,2,,0.16666666666666666
263,food good people,2,,0.16666666666666666
2683,people free food,2,,0.16666666666666666
2684,free food per,2,,0.16666666666666666
2685,food per shift,2,,0.16666666666666666
250,great starting pay,2,,0.16666666666666666
431,work 50 discount,2,,0.16666666666666666
1359,love people work,2,,0.16666666666666666
755,breaks free food,2,,0.16666666666666666
209,customer service great,2,,0.16666666666666666
427,people free meal,2,,0.16666666666666666
2550,nice customers great,2,,0.16666666666666666
2329,flexible hours decent,2,,0.16666666666666666
653,food breaks great,2,,0.16666666666666666
664,part time job,2,,0.16666666666666666
787,50 discount store,2,,0.16666666666666666
353,free food paid,2,,0.16666666666666666
4092,meal shift 50,2,,0.16666666666666666
2826,free food discounted,2,,0.16666666666666666
3223,every time work,2,,0.16666666666666666
3866,well fast paced,2,,0.16666666666666666
723,team work awesome,2,,0.16666666666666666
2375,reasons work chipotle,2,,0.16666666666666666
1423,easy fun job,2,,0.16666666666666666
2737,paid breaks paid,2,,0.16666666666666666
2738,breaks paid sick,2,,0.16666666666666666
2739,paid sick days,2,,0.16666666666666666
2740,sick days free,2,,0.16666666666666666
385,free meals every,2,,0.16666666666666666
2478,food non gmo,2,,0.16666666666666666
838,get faster good,2,,0.16666666666666666
837,better get faster,2,,0.16666666666666666
2000,friendly work environment,2,,0.16666666666666666
1653,pay minimum wage,2,,0.16666666666666666
1796,work always something,2,,0.16666666666666666
2123,get free meal,2,,0.16666666666666666
475,1 free meal,2,,0.16666666666666666
680,free meal work,2,,0.16666666666666666
492,growth opportunities great,2,,0.16666666666666666
3923,good work ethic,2,,0.16666666666666666
1420,pay free food,2,,0.16666666666666666
2736,great paid breaks,2,,0.16666666666666666
226,paced work environment,2,,0.16666666666666666
1203,time goes fast,2,,0.16666666666666666
1204,goes fast coworkers,2,,0.16666666666666666
2008,pay fast paced,2,,0.16666666666666666
348,fast paced work,2,,0.16666666666666666
905,free meals days,2,,0.16666666666666666
1201,fast paced time,2,,0.16666666666666666
2803,co workers care,2,,0.16666666666666666
2427,food working 50,2,,0.16666666666666666
2009,fast paced fun,2,,0.16666666666666666
1202,paced time goes,2,,0.16666666666666666
2276,like great place,2,,0.16666666666666666
1647,fun environment good,2,,0.16666666666666666
906,meals days work,2,,0.16666666666666666
2277,great place work,2,,0.16666666666666666
1528,fast paced always,2,,0.16666666666666666
907,days work 50,2,,0.16666666666666666
1712,working environment good,2,,0.16666666666666666
3211,fun hardworking team,1,,0.0
3232,start everyone least,1,,0.0
3209,flexible hours fun,1,,0.0
3231,year start everyone,1,,0.0
3230,per year start,1,,0.0
3233,everyone least 9,1,,0.0
3210,hours fun hardworking,1,,0.0
3229,5k per year,1,,0.0
3234,least 9 hour,1,,0.0
3235,9 hour tips,1,,0.0
3208,food flexible hours,1,,0.0
3213,team atmosphere advancement,1,,0.0
3212,hardworking team atmosphere,1,,0.0
3228,5 5k per,1,,0.0
3219,take far occupation,1,,0.0
3217,learn skills take,1,,0.0
3206,work amazing food,1,,0.0
3207,amazing food flexible,1,,0.0
3220,far occupation free,1,,0.0
3221,occupation free meals,1,,0.0
3222,meals every time,1,,0.0
3216,opportunities learn skills,1,,0.0
3215,advancement opportunities learn,1,,0.0
3224,time work tuition,1,,0.0
3214,atmosphere advancement opportunities,1,,0.0
3225,work tuition reimbursement,1,,0.0
3226,tuition reimbursement 5,1,,0.0
3218,skills take far,1,,0.0
3227,reimbursement 5 5k,1,,0.0
3236,hour tips paid,1,,0.0
3257,fan base love,1,,0.0
3237,tips paid half,1,,0.0
3270,key starting 10,1,,0.0
3272,10 hour tips,1,,0.0
3273,hour tips closers,1,,0.0
3274,tips closers listen,1,,0.0
3275,closers listen personal,1,,0.0
3276,listen personal music,1,,0.0
3277,personal music back,1,,0.0
3278,music back people,1,,0.0
3279,back people friendly,1,,0.0
3280,people friendly room,1,,0.0
3281,friendly room advancementfree,1,,0.0
3282,room advancementfree meal,1,,0.0
3283,advancementfree meal break,1,,0.0
3284,meal break 50,1,,0.0
3285,break 50 days,1,,0.0
3286,50 days amazing,1,,0.0
3287,days amazing employees,1,,0.0
3288,amazing employees least,1,,0.0
3289,employees least location,1,,0.0
3290,least location helps,1,,0.0
3291,location helps develop,1,,0.0
3292,helps develop great,1,,0.0
3293,develop great customer,1,,0.0
3294,great customer experience,1,,0.0
3295,customer experience takes,1,,0.0
3296,experience takes extreme,1,,0.0
3297,takes extreme measurements,1,,0.0
3298,extreme measurements care,1,,0.0
3299,measurements care cleanliness,1,,0.0
3300,care cleanliness sanitation,1,,0.0
3271,starting 10 hour,1,,0.0
3269,management key starting,1,,0.0
3238,paid half hour,1,,0.0
3268,time management key,1,,0.0
3239,half hour breaks,1,,0.0
3240,hour breaks opening,1,,0.0
3241,breaks opening closing,1,,0.0
3242,opening closing free,1,,0.0
3243,closing free food,1,,0.0
3244,food great people,1,,0.0
3245,great people open,1,,0.0
3246,people open environment,1,,0.0
3247,open environment learn,1,,0.0
3248,environment learn culinary,1,,0.0
3249,learn culinary skills,1,,0.0
3250,culinary skills carry,1,,0.0
3251,skills carry life,1,,0.0
3252,carry life responsible,1,,0.0
3253,life responsible feeding,1,,0.0
3254,responsible feeding dedicated,1,,0.0
3255,feeding dedicated fan,1,,0.0
3256,dedicated fan base,1,,0.0
3204,team people work,1,,0.0
3258,base love working,1,,0.0
3259,love working hard,1,,0.0
3260,working hard chipotle,1,,0.0
3261,hard chipotle great,1,,0.0
3262,chipotle great time,1,,0.0
3263,great time flies,1,,0.0
3264,time flies back,1,,0.0
3265,flies back house,1,,0.0
3266,back house time,1,,0.0
3267,house time management,1,,0.0
3205,people work amazing,1,,0.0
3182,working group people,1,,0.0
3203,daygreat team people,1,,0.0
3099,managersemployee meals great,1,,0.0
3106,discounts feels like,1,,0.0
3105,benefits discounts feels,1,,0.0
3104,toogreat benefits discounts,1,,0.0
3103,nice toogreat benefits,1,,0.0
3102,breaks nice toogreat,1,,0.0
3101,paid breaks nice,1,,0.0
3100,meals great paid,1,,0.0
3098,good managersemployee meals,1,,0.0
3202,every daygreat team,1,,0.0
3097,shifts good managersemployee,1,,0.0
3096,good shifts good,1,,0.0
3095,wage good shifts,1,,0.0
3094,min wage good,1,,0.0
3093,jobabove min wage,1,,0.0
3092,easy jobabove min,1,,0.0
3091,workers easy jobabove,1,,0.0
3107,feels like team,1,,0.0
3108,like team prepares,1,,0.0
3109,team prepares job,1,,0.0
3110,prepares job therenice,1,,0.0
3125,health ins flexibility,1,,0.0
3124,pace health ins,1,,0.0
3123,fast pace health,1,,0.0
3122,stafffor fast pace,1,,0.0
3121,management stafffor fast,1,,0.0
3120,great management stafffor,1,,0.0
3119,easy great management,1,,0.0
3118,customersfun easy great,1,,0.0
3117,care customersfun easy,1,,0.0
3116,genuine care customersfun,1,,0.0
3115,coworkers genuine care,1,,0.0
3114,hardworking coworkers genuine,1,,0.0
3113,campus hardworking coworkers,1,,0.0
3112,therenice campus hardworking,1,,0.0
3111,job therenice campus,1,,0.0
3090,co workers easy,1,,0.0
3088,work great co,1,,0.0
3087,incentivefun place work,1,,0.0
3068,decent benefits opportunities,1,,0.0
3066,good bonus decent,1,,0.0
3065,pay good bonus,1,,0.0
3064,benefitscompetitive pay good,1,,0.0
3063,pay benefitscompetitive pay,1,,0.0
3062,great pay benefitscompetitive,1,,0.0
3061,work great pay,1,,0.0
3060,freefun place work,1,,0.0
3059,food freefun place,1,,0.0
3058,good food freefun,1,,0.0
3057,hell good food,1,,0.0
3056,manager hell good,1,,0.0
3055,service manager hell,1,,0.0
3054,manager service manager,1,,0.0
3053,kitchen manager service,1,,0.0
3052,go kitchen manager,1,,0.0
3067,bonus decent benefits,1,,0.0
3069,benefits opportunities grow,1,,0.0
3086,teamwork incentivefun place,1,,0.0
3070,opportunities grow company,1,,0.0
3085,pasted teamwork incentivefun,1,,0.0
3084,fast pasted teamwork,1,,0.0
3083,upbeat fast pasted,1,,0.0
3082,coworkers upbeat fast,1,,0.0
3081,great coworkers upbeat,1,,0.0
3080,okay great coworkers,1,,0.0
3079,thingsperks okay great,1,,0.0
3078,lot thingsperks okay,1,,0.0
3077,behind lot thingsperks,1,,0.0
3076,left behind lot,1,,0.0
3075,canada left behind,1,,0.0
3074,culture canada left,1,,0.0
3073,good culture canada,1,,0.0
3072,company good culture,1,,0.0
3071,grow company good,1,,0.0
3126,ins flexibility scheduling,1,,0.0
3127,flexibility scheduling opportunity,1,,0.0
3128,scheduling opportunity advacementgood,1,,0.0
3184,people every day,1,,0.0
3302,sanitation food non,1,,0.0
3181,great working group,1,,0.0
3180,breaks great working,1,,0.0
3179,free food breaks,1,,0.0
3178,environment great atmosphere,1,,0.0
3177,well great work,1,,0.0
3176,jobs well great,1,,0.0
3175,people jobs well,1,,0.0
3174,interesting people jobs,1,,0.0
3173,fun interesting people,1,,0.0
3172,lot fun interesting,1,,0.0
3171,working lot fun,1,,0.0
3170,fantastic working lot,1,,0.0
3169,hours fantastic working,1,,0.0
3168,clear hours fantastic,1,,0.0
3183,group people every,1,,0.0
3185,every day good,1,,0.0
3166,getting promoted clear,1,,0.0
3186,day good money,1,,0.0
3201,day every daygreat,1,,0.0
3200,service day every,1,,0.0
3199,customer service day,1,,0.0
3198,bestgreat customer service,1,,0.0
3197,achieving bestgreat customer,1,,0.0
3196,focuses achieving bestgreat,1,,0.0
3195,environment focuses achieving,1,,0.0
3194,paced environment focuses,1,,0.0
3193,food work fast,1,,0.0
3192,foodfree food work,1,,0.0
3191,great foodfree food,1,,0.0
3190,environment great foodfree,1,,0.0
3189,great environment great,1,,0.0
3188,money great environment,1,,0.0
3187,good money great,1,,0.0
3167,promoted clear hours,1,,0.0
3165,pipeline getting promoted,1,,0.0
3129,opportunity advacementgood part,1,,0.0
3146,room move within,1,,0.0
3144,location lots room,1,,0.0
3143,depending location lots,1,,0.0
3142,hours depending location,1,,0.0
3141,work hours depending,1,,0.0
3140,flexible work hours,1,,0.0
3139,shift flexible work,1,,0.0
3138,store shift flexible,1,,0.0
3137,eaten store shift,1,,0.0
3136,must eaten store,1,,0.0
3135,meal must eaten,1,,0.0
3134,free meal must,1,,0.0
3133,benefits free meal,1,,0.0
3132,time benefits free,1,,0.0
3131,part time benefits,1,,0.0
3130,advacementgood part time,1,,0.0
3145,lots room move,1,,0.0
3147,move within ranks,1,,0.0
3164,food pipeline getting,1,,0.0
