,name,count,pos,norm
659,make feel like,2,,1.0
490,people get fired,2,,1.0
709,past studying something,1,,0.0
714,really help much,1,,0.0
713,basically really help,1,,0.0
712,college basically really,1,,0.0
711,something college basically,1,,0.0
710,studying something college,1,,0.0
0,1 official training,1,,0.0
716,much job field,1,,0.0
708,mistakes past studying,1,,0.0
707,dumb mistakes past,1,,0.0
706,made dumb mistakes,1,,0.0
705,option made dumb,1,,0.0
704,little option made,1,,0.0
703,basically little option,1,,0.0
715,help much job,1,,0.0
717,job field learn,1,,0.0
701,people stay basically,1,,0.0
718,field learn planning,1,,0.0
719,learn planning go,1,,0.0
720,planning go back,1,,0.0
721,go back work,1,,0.0
722,back work family,1,,0.0
723,work family something,1,,0.0
724,family something terrible,1,,0.0
725,something terrible inept,1,,0.0
726,terrible inept condescending,1,,0.0
727,inept condescending managers,1,,0.0
728,condescending managers crew,1,,0.0
729,managers crew forced,1,,0.0
730,crew forced wholesale,1,,0.0
731,forced wholesale clean,1,,0.0
702,stay basically little,1,,0.0
700,work people stay,1,,0.0
733,clean every night,1,,0.0
699,people work people,1,,0.0
670,store better one,1,,0.0
671,better one manger,1,,0.0
672,one manger trying,1,,0.0
673,manger trying tell,1,,0.0
674,trying tell go,1,,0.0
675,tell go school,1,,0.0
676,go school get,1,,0.0
677,school get degree,1,,0.0
678,get degree study,1,,0.0
679,degree study something,1,,0.0
680,study something desirable,1,,0.0
681,something desirable job,1,,0.0
682,desirable job market,1,,0.0
683,job market work,1,,0.0
684,market work hard,1,,0.0
685,work hard young,1,,0.0
686,hard young older,1,,0.0
687,young older suffer,1,,0.0
688,older suffer low,1,,0.0
689,suffer low paid,1,,0.0
690,low paid less,1,,0.0
691,paid less income,1,,0.0
692,less income problem,1,,0.0
693,income problem comes,1,,0.0
694,problem comes little,1,,0.0
695,comes little money,1,,0.0
696,little money talking,1,,0.0
697,money talking people,1,,0.0
698,talking people work,1,,0.0
732,wholesale clean every,1,,0.0
734,every night long,1,,0.0
668,know run store,1,,0.0
783,managers timing kept,1,,0.0
