,name,count,pos,norm
721,horrible management,3,,1.0
707,work little,3,,1.0
96,hard work,3,,1.0
231,minimum wage,3,,1.0
344,crew members,3,,1.0
142,get paid,3,,1.0
858,co workers,2,,0.5
147,paid less,2,,0.5
26,lots work,2,,0.5
189,part time,2,,0.5
1084,managers horrible,2,,0.5
255,boot camp,2,,0.5
708,little pay,2,,0.5
138,customers get,2,,0.5
297,said would,2,,0.5
351,employees like,2,,0.5
66,employees much,2,,0.5
433,good enough,2,,0.5
133,rude customers,2,,0.5
494,amount hours,2,,0.5
743,much work,2,,0.5
655,field leaders,2,,0.5
894,stressful work,2,,0.5
22,management changes,2,,0.5
477,put hours,2,,0.5
4,bad management,2,,0.5
245,like dog,2,,0.5
694,hours management,2,,0.5
78,know management,2,,0.5
830,upper management,2,,0.5
627,work schedule,2,,0.5
819,hours throwing,1,,0.0
821,people positions,1,,0.0
818,long hours,1,,0.0
820,throwing people,1,,0.0
817,working long,1,,0.0
816,understaffed working,1,,0.0
836,3 people,1,,0.0
815,always understaffed,1,,0.0
835,little 3,1,,0.0
837,people days,1,,0.0
833,open store,1,,0.0
822,positions little,1,,0.0
834,store little,1,,0.0
826,teach understaffed,1,,0.0
832,care open,1,,0.0
831,management care,1,,0.0
823,little training,1,,0.0
824,training people,1,,0.0
825,people teach,1,,0.0
829,hell upper,1,,0.0
813,impossible standards,1,,0.0
828,absolute hell,1,,0.0
827,understaffed absolute,1,,0.0
814,standards always,1,,0.0
0,extremly stressful,1,,0.0
812,held impossible,1,,0.0
785,works minors,1,,0.0
791,worked grapevine,1,,0.0
790,months worked,1,,0.0
789,4 months,1,,0.0
788,aware 4,1,,0.0
787,made aware,1,,0.0
786,minors made,1,,0.0
784,still works,1,,0.0
793,ultimately biggest,1,,0.0
783,offender still,1,,0.0
782,sex offender,1,,0.0
781,convicted sex,1,,0.0
780,literally convicted,1,,0.0
779,managers literally,1,,0.0
778,one managers,1,,0.0
792,grapevine ultimately,1,,0.0
794,biggest reason,1,,0.0
811,constantly held,1,,0.0
803,pornography charge,1,,0.0
810,micromanaged constantly,1,,0.0
809,required micromanaged,1,,0.0
808,work required,1,,0.0
807,pay work,1,,0.0
806,low pay,1,,0.0
805,minors low,1,,0.0
802,underage pornography,1,,0.0
795,reason quit,1,,0.0
801,convicted underage,1,,0.0
800,got convicted,1,,0.0
799,someone got,1,,0.0
798,put someone,1,,0.0
797,simply put,1,,0.0
796,quit simply,1,,0.0
804,charge minors,1,,0.0
845,compensation take,1,,0.0
838,days unrealistic,1,,0.0
887,thank concerned,1,,0.0
895,work 50,1,,0.0
893,amount stressful,1,,0.0
892,compensation amount,1,,0.0
891,good compensation,1,,0.0
890,pay good,1,,0.0
889,money pay,1,,0.0
888,concerned money,1,,0.0
886,even thank,1,,0.0
839,unrealistic time,1,,0.0
885,dismisses even,1,,0.0
884,veterans dismisses,1,,0.0
883,military veterans,1,,0.0
882,care military,1,,0.0
881,past care,1,,0.0
880,reviews past,1,,0.0
879,poor reviews,1,,0.0
896,50 every,1,,0.0
897,every 6,1,,0.0
898,6 months,1,,0.0
899,months addition,1,,0.0
914,jobs without,1,,0.0
913,hired jobs,1,,0.0
912,personality hired,1,,0.0
911,people personality,1,,0.0
910,mundane people,1,,0.0
909,routine mundane,1,,0.0
908,creativity routine,1,,0.0
907,meant creativity,1,,0.0
906,tasks meant,1,,0.0
905,years tasks,1,,0.0
904,past years,1,,0.0
903,sick past,1,,0.0
902,people sick,1,,0.0
901,making people,1,,0.0
900,addition making,1,,0.0
878,store poor,1,,0.0
877,drastically store,1,,0.0
876,cut drastically,1,,0.0
856,backs beside,1,,0.0
854,behind workers,1,,0.0
853,talks behind,1,,0.0
852,management talks,1,,0.0
851,60 hours,1,,0.0
850,work 60,1,,0.0
849,try work,1,,0.0
848,salaried try,1,,0.0
847,advantage salaried,1,,0.0
846,take advantage,1,,0.0
776,star review,1,,0.0
844,exhaustingpoor compensation,1,,0.0
843,pressure exhaustingpoor,1,,0.0
842,high pressure,1,,0.0
841,expectations high,1,,0.0
840,time expectations,1,,0.0
855,workers backs,1,,0.0
857,beside co,1,,0.0
875,hours cut,1,,0.0
859,workers enough,1,,0.0
874,complain hours,1,,0.0
873,workers complain,1,,0.0
872,snarky co,1,,0.0
871,silence snarky,1,,0.0
870,answer silence,1,,0.0
869,complaints answer,1,,0.0
868,management complaints,1,,0.0
867,asked management,1,,0.0
866,problems asked,1,,0.0
865,would problems,1,,0.0
864,knew said,1,,0.0
863,employees knew,1,,0.0
862,empowerment employees,1,,0.0
861,stress empowerment,1,,0.0
860,enough stress,1,,0.0
777,review one,1,,0.0
765,scoff felt,1,,0.0
775,2 star,1,,0.0
677,rising field,1,,0.0
675,yet pay,1,,0.0
674,managers yet,1,,0.0
673,short managers,1,,0.0
672,completely short,1,,0.0
671,area completely,1,,0.0
670,addition area,1,,0.0
669,less addition,1,,0.0
668,job get,1,,0.0
667,members job,1,,0.0
666,regular crew,1,,0.0
665,nothing regular,1,,0.0
664,management nothing,1,,0.0
663,much management,1,,0.0
662,paid much,1,,0.0
661,getting paid,1,,0.0
676,pay rising,1,,0.0
678,leaders trying,1,,0.0
774,puts 2,1,,0.0
679,trying overwork,1,,0.0
695,management like,1,,0.0
693,little hours,1,,0.0
692,horrible little,1,,0.0
691,get horrible,1,,0.0
690,con rude,1,,0.0
689,else con,1,,0.0
688,everything else,1,,0.0
687,worked everything,1,,0.0
686,store worked,1,,0.0
685,store store,1,,0.0
684,theredepends store,1,,0.0
683,teams theredepends,1,,0.0
682,management teams,1,,0.0
681,current management,1,,0.0
680,overwork current,1,,0.0
660,members getting,1,,0.0
659,sucks crew,1,,0.0
658,pay sucks,1,,0.0
657,terrible pay,1,,0.0
637,scheduling dont,1,,0.0
636,flexible scheduling,1,,0.0
635,hours flexible,1,,0.0
634,ridiculous amount,1,,0.0
633,want ridiculous,1,,0.0
632,days want,1,,0.0
631,listen days,1,,0.0
630,dont listen,1,,0.0
629,sucks dont,1,,0.0
628,schedule sucks,1,,0.0
626,impossible work,1,,0.0
625,time impossible,1,,0.0
624,certain time,1,,0.0
623,work certain,1,,0.0
622,complete work,1,,0.0
638,dont work,1,,0.0
639,work management,1,,0.0
640,management workers,1,,0.0
649,would constantly,1,,0.0
656,leaders terrible,1,,0.0
654,location field,1,,0.0
653,savannah location,1,,0.0
652,work savannah,1,,0.0
651,complain work,1,,0.0
650,constantly complain,1,,0.0
648,guests would,1,,0.0
641,workers rude,1,,0.0
647,loud guests,1,,0.0
646,cursing loud,1,,0.0
645,yelling cursing,1,,0.0
644,constantly yelling,1,,0.0
643,unprofessional constantly,1,,0.0
642,rude unprofessional,1,,0.0
696,like training,1,,0.0
697,training place,1,,0.0
698,place lots,1,,0.0
738,crew gm,1,,0.0
755,would ask,1,,0.0
754,anytime would,1,,0.0
753,employees anytime,1,,0.0
752,managers employees,1,,0.0
751,two managers,1,,0.0
750,rude two,1,,0.0
749,dismissive rude,1,,0.0
748,job dismissive,1,,0.0
747,another job,1,,0.0
746,got another,1,,0.0
745,realize got,1,,0.0
744,pay realize,1,,0.0
742,communication much,1,,0.0
741,support communication,1,,0.0
740,overhead support,1,,0.0
756,ask simple,1,,0.0
757,simple question,1,,0.0
758,question even,1,,0.0
767,bad tiniest,1,,0.0
773,flaw puts,1,,0.0
772,biggest flaw,1,,0.0
771,environment biggest,1,,0.0
770,unhealthy environment,1,,0.0
769,mistakes unhealthy,1,,0.0
768,tiniest mistakes,1,,0.0
766,felt bad,1,,0.0
759,even first,1,,0.0
916,room expressing,1,,0.0
764,eyes scoff,1,,0.0
763,roll eyes,1,,0.0
762,would roll,1,,0.0
761,hired would,1,,0.0
760,first hired,1,,0.0
739,gm overhead,1,,0.0
737,locations crew,1,,0.0
699,lots favoritism,1,,0.0
736,different locations,1,,0.0
716,tries suck,1,,0.0
715,company tries,1,,0.0
714,work company,1,,0.0
713,intense work,1,,0.0
712,lot intense,1,,0.0
711,wage lot,1,,0.0
710,unprofessionalminimum wage,1,,0.0
709,pay unprofessionalminimum,1,,0.0
706,amount work,1,,0.0
705,great amount,1,,0.0
704,mangers great,1,,0.0
703,apply mangers,1,,0.0
702,values apply,1,,0.0
701,culture values,1,,0.0
700,favoritism culture,1,,0.0
717,suck every,1,,0.0
718,every bit,1,,0.0
719,bit work,1,,0.0
729,enough creates,1,,0.0
735,5 different,1,,0.0
734,worked 5,1,,0.0
733,disappointment worked,1,,0.0
732,failure disappointment,1,,0.0
731,sense failure,1,,0.0
730,creates sense,1,,0.0
728,ever good,1,,0.0
720,work horrible,1,,0.0
727,nothing ever,1,,0.0
726,much nothing,1,,0.0
725,matter much,1,,0.0
724,securityno matter,1,,0.0
723,job securityno,1,,0.0
722,management job,1,,0.0
915,without room,1,,0.0
925,hiring essentially,1,,0.0
917,expressing basically,1,,0.0
1125,hireesawful management,1,,0.0
1123,care new,1,,0.0
1122,dont care,1,,0.0
1121,forever dont,1,,0.0
1120,took forever,1,,0.0
1119,process took,1,,0.0
1118,hiring process,1,,0.0
1117,month hiring,1,,0.0
1116,every month,1,,0.0
1115,basically every,1,,0.0
1114,changes basically,1,,0.0
1113,managersmanaer changes,1,,0.0
1112,uniforms managersmanaer,1,,0.0
1111,free uniforms,1,,0.0
1110,pay free,1,,0.0
1109,overtime pay,1,,0.0
1124,new hireesawful,1,,0.0
1126,management rude,1,,0.0
1107,non flexibleno,1,,0.0
1127,rude employees,1,,0.0
1142,hour intil,1,,0.0
1141,hour hour,1,,0.0
1140,half hour,1,,0.0
1139,usually half,1,,0.0
1138,tell usually,1,,0.0
1137,mangers tell,1,,0.0
1136,taken mangers,1,,0.0
1135,musr taken,1,,0.0
1134,break musr,1,,0.0
1133,managers break,1,,0.0
1132,managers managers,1,,0.0
1131,person managers,1,,0.0
1130,one person,1,,0.0
1129,demands one,1,,0.0
1128,much demands,1,,0.0
1108,flexibleno overtime,1,,0.0
1106,scheduling non,1,,0.0
1068,despite submitting,1,,0.0
1087,training system,1,,0.0
1085,management despicable,1,,0.0
1083,expectations managers,1,,0.0
1082,low expectations,1,,0.0
1081,shows low,1,,0.0
1080,hired shows,1,,0.0
1079,location hired,1,,0.0
1078,probably location,1,,0.0
1077,communication probably,1,,0.0
1076,without communication,1,,0.0
1075,terminated without,1,,0.0
1074,site terminated,1,,0.0
1073,employee site,1,,0.0
1072,9 employee,1,,0.0
1071,2 9,1,,0.0
1070,w 2,1,,0.0
1086,despicable training,1,,0.0
1088,system new,1,,0.0
1105,late scheduling,1,,0.0
1089,new getting,1,,0.0
1104,management late,1,,0.0
1103,environmentpoor management,1,,0.0
1102,work environmentpoor,1,,0.0
1101,management stressful,1,,0.0
1100,expectterrible management,1,,0.0
1099,service expectterrible,1,,0.0
1098,customer service,1,,0.0
1097,attitudes customer,1,,0.0
1096,hideous attitudes,1,,0.0
1095,horrendous hideous,1,,0.0
1094,customers horrendous,1,,0.0
1093,day customers,1,,0.0
1092,second day,1,,0.0
1091,yelled second,1,,0.0
1090,getting yelled,1,,0.0
1143,intil shift,1,,0.0
1144,shift much,1,,0.0
1145,little money,1,,0.0
1200,street 2nd,1,,0.0
1198,careful 33rd,1,,0.0
1197,would careful,1,,0.0
1196,hard would,1,,0.0
1195,work hard,1,,0.0
1194,learn work,1,,0.0
1193,yes learn,1,,0.0
1192,salaries yes,1,,0.0
1191,better salaries,1,,0.0
1190,similar better,1,,0.0
1189,offer similar,1,,0.0
1188,places offer,1,,0.0
1187,r places,1,,0.0
1186,thete r,1,,0.0
1185,nice thete,1,,0.0
1184,tips nice,1,,0.0
1199,33rd street,1,,0.0
1201,2nd ave,1,,0.0
1146,money alot,1,,0.0
1202,ave chipotle,1,,0.0
1217,care minimum,1,,0.0
1216,really care,1,,0.0
1215,dont really,1,,0.0
1214,management dont,1,,0.0
1213,quit horrible,1,,0.0
1212,happy quit,1,,0.0
1211,working happy,1,,0.0
1210,hated working,1,,0.0
1209,problem hated,1,,0.0
1208,another problem,1,,0.0
1207,also another,1,,0.0
1206,favoritism also,1,,0.0
1205,racist favoritism,1,,0.0
1204,horrible racist,1,,0.0
1203,chipotle managers,1,,0.0
1183,plus tips,1,,0.0
1182,hour plus,1,,0.0
1181,9 hour,1,,0.0
1180,replace 9,1,,0.0
1161,kid needs,1,,0.0
1160,unless kid,1,,0.0
1159,teens unless,1,,0.0
1158,parents teens,1,,0.0
1157,also parents,1,,0.0
1156,advantage also,1,,0.0
1155,taken advantage,1,,0.0
1154,often taken,1,,0.0
1153,minors often,1,,0.0
1152,balence minors,1,,0.0
1151,work balence,1,,0.0
1150,life work,1,,0.0
1149,horrible life,1,,0.0
1148,micromanaging horrible,1,,0.0
1147,alot micromanaging,1,,0.0
1162,needs know,1,,0.0
1163,know thw,1,,0.0
1164,thw value,1,,0.0
1173,kids eventually,1,,0.0
1179,burn replace,1,,0.0
1178,managers burn,1,,0.0
1177,become managers,1,,0.0
1176,school become,1,,0.0
1175,drop school,1,,0.0
1174,eventually drop,1,,0.0
1172,bright kids,1,,0.0
1165,value good,1,,0.0
1171,seem bright,1,,0.0
1170,work seem,1,,0.0
1169,let work,1,,0.0
1168,dont let,1,,0.0
1167,work dont,1,,0.0
1166,good hard,1,,0.0
1069,submitting w,1,,0.0
1067,job despite,1,,0.0
918,basically production,1,,0.0
973,manager worse,1,,0.0
971,fired new,1,,0.0
970,manager fired,1,,0.0
969,told manager,1,,0.0
968,coworker told,1,,0.0
967,ex coworker,1,,0.0
966,left ex,1,,0.0
965,thing left,1,,0.0
964,us thing,1,,0.0
963,listen us,1,,0.0
962,would listen,1,,0.0
961,manager would,1,,0.0
960,like manager,1,,0.0
959,seemed like,1,,0.0
958,shifts seemed,1,,0.0
957,time shifts,1,,0.0
972,new manager,1,,0.0
974,worse last,1,,0.0
955,give full,1,,0.0
975,last one,1,,0.0
990,comprehend much,1,,0.0
989,seem comprehend,1,,0.0
988,area seem,1,,0.0
987,get area,1,,0.0
986,smoothly get,1,,0.0
985,run smoothly,1,,0.0
984,store run,1,,0.0
983,make store,1,,0.0
982,team make,1,,0.0
981,lifting team,1,,0.0
980,empowering lifting,1,,0.0
979,need empowering,1,,0.0
978,attitude need,1,,0.0
977,gives attitude,1,,0.0
976,one gives,1,,0.0
956,full time,1,,0.0
954,still give,1,,0.0
1066,turned job,1,,0.0
935,plan throat,1,,0.0
933,corporate throw,1,,0.0
932,join corporate,1,,0.0
931,like join,1,,0.0
930,currently like,1,,0.0
929,care currently,1,,0.0
928,health care,1,,0.0
927,number health,1,,0.0
926,essentially number,1,,0.0
620,sucks expect,1,,0.0
924,words hiring,1,,0.0
923,stated words,1,,0.0
922,actual stated,1,,0.0
921,put actual,1,,0.0
920,line put,1,,0.0
919,production line,1,,0.0
934,throw plan,1,,0.0
936,throat without,1,,0.0
953,would still,1,,0.0
937,without announcing,1,,0.0
952,time would,1,,0.0
951,wanted part,1,,0.0
950,place wanted,1,,0.0
949,schedule place,1,,0.0
948,plan work,1,,0.0
947,contract plan,1,,0.0
946,sign contract,1,,0.0
945,even sign,1,,0.0
944,work even,1,,0.0
943,money work,1,,0.0
942,costing money,1,,0.0
941,basically costing,1,,0.0
940,cancel basically,1,,0.0
939,refuse cancel,1,,0.0
938,announcing refuse,1,,0.0
991,much done,1,,0.0
992,done little,1,,0.0
993,little time,1,,0.0
1048,sweat tears,1,,0.0
1046,give blood,1,,0.0
1045,requires give,1,,0.0
1044,chipotle requires,1,,0.0
1043,paid chipotle,1,,0.0
1042,overtime get,1,,0.0
