,name,count,pos,norm
35,work,178,NOUN,1.0
7,management,115,NOUN,0.6440677966101696
231,managers,78,NOUN,0.4350282485875706
70,hours,77,NOUN,0.4293785310734463
154,get,75,NOUN,0.4180790960451977
143,time,70,NOUN,0.3898305084745763
36,people,69,NOUN,0.384180790960452
83,employees,61,NOUN,0.3389830508474576
172,manager,52,NOUN,0.288135593220339
333,job,49,NOUN,0.2711864406779661
146,pay,49,NOUN,0.2711864406779661
291,one,43,NOUN,0.23728813559322035
150,everything,37,NOUN,0.20338983050847456
164,training,37,NOUN,0.20338983050847456
353,store,37,NOUN,0.20338983050847456
321,day,36,NOUN,0.1977401129943503
28,customers,35,NOUN,0.192090395480226
305,working,33,NOUN,0.1807909604519774
45,food,33,NOUN,0.1807909604519774
76,chipotle,31,NOUN,0.1694915254237288
528,schedule,31,NOUN,0.1694915254237288
63,workers,30,NOUN,0.1638418079096045
276,company,28,NOUN,0.15254237288135591
156,crew,26,NOUN,0.14124293785310735
449,lot,25,NOUN,0.13559322033898305
106,week,24,NOUN,0.12994350282485875
640,care,24,NOUN,0.12994350282485875
383,make,22,NOUN,0.11864406779661016
472,environment,22,NOUN,0.11864406779661016
94,know,21,NOUN,0.11299435028248588
522,line,21,NOUN,0.11299435028248588
404,shift,21,NOUN,0.11299435028248588
286,high,20,NOUN,0.10734463276836158
808,break,19,NOUN,0.10169491525423728
239,breaks,19,NOUN,0.10169491525423728
20,things,19,NOUN,0.10169491525423728
253,hour,18,NOUN,0.096045197740113
43,take,18,NOUN,0.096045197740113
346,members,18,NOUN,0.096045197740113
212,go,17,NOUN,0.0903954802259887
167,amount,17,NOUN,0.0903954802259887
282,life,17,NOUN,0.0903954802259887
581,gm,16,NOUN,0.0847457627118644
222,restaurant,16,NOUN,0.0847457627118644
234,place,16,NOUN,0.0847457627118644
277,culture,16,NOUN,0.0847457627118644
329,way,15,NOUN,0.0790960451977401
936,lack,15,NOUN,0.0790960451977401
503,everyone,15,NOUN,0.0790960451977401
319,staff,15,NOUN,0.0790960451977401
531,days,15,NOUN,0.0790960451977401
457,team,14,NOUN,0.07344632768361581
84,stress,14,NOUN,0.07344632768361581
279,say,13,NOUN,0.06779661016949153
188,scheduling,13,NOUN,0.06779661016949153
190,shifts,13,NOUN,0.06779661016949153
228,want,13,NOUN,0.06779661016949153
322,expect,13,NOUN,0.06779661016949153
39,favoritism,13,NOUN,0.06779661016949153
544,area,13,NOUN,0.06779661016949153
141,co,13,NOUN,0.06779661016949153
620,quit,13,NOUN,0.06779661016949153
1474,anything,12,NOUN,0.06214689265536723
129,cut,12,NOUN,0.06214689265536723
615,months,12,NOUN,0.06214689265536723
33,lots,11,NOUN,0.05649717514124293
241,nothing,11,NOUN,0.05649717514124293
110,keep,10,NOUN,0.05084745762711865
82,expectations,10,NOUN,0.05084745762711865
66,times,10,NOUN,0.05084745762711865
825,let,10,NOUN,0.05084745762711865
618,reason,10,NOUN,0.05084745762711865
1656,find,10,NOUN,0.05084745762711865
287,turnover,10,NOUN,0.05084745762711865
199,part,10,NOUN,0.05084745762711865
244,minimum,9,NOUN,0.04519774011299435
246,start,9,NOUN,0.04519774011299435
540,location,9,NOUN,0.04519774011299435
1156,cleaning,9,NOUN,0.04519774011299435
802,month,9,NOUN,0.04519774011299435
630,standards,9,NOUN,0.04519774011299435
96,corporate,9,NOUN,0.04519774011299435
111,coworkers,9,NOUN,0.04519774011299435
