,name,count,pos,norm
96,hard work,4,,1.0
706,amount work,4,,1.0
142,get paid,4,,1.0
189,part time,4,,1.0
231,minimum wage,4,,1.0
1195,work hard,4,,1.0
830,upper management,4,,1.0
4,bad management,4,,1.0
344,crew members,4,,1.0
600,work environment,4,,1.0
355,manager store,3,,0.6666666666666667
1644,one manager,3,,0.6666666666666667
894,stressful work,3,,0.6666666666666667
324,first job,3,,0.6666666666666667
743,much work,3,,0.6666666666666667
1892,poor management,3,,0.6666666666666667
956,full time,3,,0.6666666666666667
721,horrible management,3,,0.6666666666666667
133,rude customers,3,,0.6666666666666667
627,work schedule,3,,0.6666666666666667
1781,check people,3,,0.6666666666666667
707,work little,3,,0.6666666666666667
298,would get,3,,0.6666666666666667
196,fast pace,2,,0.3333333333333333
619,management sucks,2,,0.3333333333333333
694,hours management,2,,0.3333333333333333
858,co workers,2,,0.3333333333333333
83,promotion based,2,,0.3333333333333333
351,employees like,2,,0.3333333333333333
78,know management,2,,0.3333333333333333
494,amount hours,2,,0.3333333333333333
245,like dog,2,,0.3333333333333333
1703,time student,2,,0.3333333333333333
66,employees much,2,,0.3333333333333333
1938,employees care,2,,0.3333333333333333
338,cut hours,2,,0.3333333333333333
1130,one person,2,,0.3333333333333333
255,boot camp,2,,0.3333333333333333
1303,pay amount,2,,0.3333333333333333
407,people actually,2,,0.3333333333333333
688,everything else,2,,0.3333333333333333
138,customers get,2,,0.3333333333333333
1126,management rude,2,,0.3333333333333333
1913,everything time,2,,0.3333333333333333
1421,days work,2,,0.3333333333333333
433,good enough,2,,0.3333333333333333
1259,get break,2,,0.3333333333333333
657,terrible pay,2,,0.3333333333333333
655,field leaders,2,,0.3333333333333333
147,paid less,2,,0.3333333333333333
358,people kiss,2,,0.3333333333333333
1402,everyone else,2,,0.3333333333333333
152,work much,2,,0.3333333333333333
708,little pay,2,,0.3333333333333333
1166,good hard,2,,0.3333333333333333
359,kiss butt,2,,0.3333333333333333
477,put hours,2,,0.3333333333333333
735,5 different,2,,0.3333333333333333
1570,chance become,2,,0.3333333333333333
41,management irresponsible,2,,0.3333333333333333
1563,manager training,2,,0.3333333333333333
789,4 months,2,,0.3333333333333333
22,management changes,2,,0.3333333333333333
537,work minimum,2,,0.3333333333333333
265,whole life,2,,0.3333333333333333
264,chipotle whole,2,,0.3333333333333333
1084,managers horrible,2,,0.3333333333333333
1538,short staffed,2,,0.3333333333333333
1117,month hiring,2,,0.3333333333333333
1337,area manager,2,,0.3333333333333333
48,new hires,2,,0.3333333333333333
1819,break always,2,,0.3333333333333333
1028,life balance,2,,0.3333333333333333
297,said would,2,,0.3333333333333333
1307,busy time,2,,0.3333333333333333
26,lots work,2,,0.3333333333333333
1027,work life,2,,0.3333333333333333
1526,work expected,2,,0.3333333333333333
272,high turnover,2,,0.3333333333333333
1411,like 19,1,,0.0
1351,days management,1,,0.0
1419,comes two,1,,0.0
1412,19 23,1,,0.0
1418,schedule comes,1,,0.0
1352,irresponsible also,1,,0.0
1417,cut schedule,1,,0.0
1353,also flexible,1,,0.0
1414,sometimes hours,1,,0.0
1356,management unorganizedthe,1,,0.0
1355,schedule bad,1,,0.0
1413,23 sometimes,1,,0.0
1409,young mangers,1,,0.0
1410,mangers like,1,,0.0
1416,sometimes cut,1,,0.0
1415,hours sometimes,1,,0.0
1354,flexible schedule,1,,0.0
1373,outbreaks repetitive,1,,0.0
1420,two days,1,,0.0
