,,0
divpayoutratio,debttoebitda,0.0
debttoebitda,divpayoutratio,0.0
debttoebitda,noncontrollinginterestsharingratio,0.0
debttoebitda,rdextorevenue,0.0
noncontrollinginterestsharingratio,ltdebttoebitda,0.0
netnonopobligations,dividendyield,0.0
noncontrollinginterestsharingratio,bookvaluepershare,0.0
noncontrollinginterestsharingratio,debttoebitda,0.0
rdextorevenue,ltdebttoebitda,0.0
rdextorevenue,debttoebitda,0.0
ltdebttoebitda,rdextorevenue,0.0
debttoebitda,stdebttocap,0.0
debttoebitda,dividendyield,0.0
ltdebttoebitda,divpayoutratio,0.0
noncontrollinginterestsharingratio,netdebt,0.0
ltdebttoebitda,stdebttocap,0.0
ltdebttoebitda,preferredtocap,0.0
ltdebttoebitda,noncontrolinttocap,0.0
noncontrollinginterestsharingratio,roicnnepspread,0.0
rdextorevenue,roicnnepspread,0.0
divpayoutratio,roicnnepspread,0.0
noncontrollinginterestsharingratio,netnonopobligations,0.0
roicnnepspread,preferredtocap,0.0
ltdebttoebitda,noncontrollinginterestsharingratio,0.0
divpayoutratio,ltdebttoebitda,0.0
debttoebitda,preferredtocap,0.0
debttoebitda,noncontrolinttocap,0.0
roicnnepspread,noncontrolinttocap,0.0
netdebt,dividendyield,0.0
netdebt,rdextorevenue,0.0
netnonopobligations,noncontrolinttocap,0.0
netnonopobligations,preferredtocap,0.0
netnonopobligations,stdebttocap,0.0
netnonopobligations,divpayoutratio,0.0
netnonopobligations,noncontrollinginterestsharingratio,0.0
stdebttocap,bookvaluepershare,0.0
stdebttocap,netdebt,0.0
roicnnepspread,noncontrollinginterestsharingratio,0.0
roicnnepspread,divpayoutratio,0.0
ltdebttoebitda,dividendyield,0.0
divpayoutratio,netdebt,0.0
netdebt,noncontrollinginterestsharingratio,0.0
divpayoutratio,bookvaluepershare,0.0
netdebt,divpayoutratio,0.0
stdebttocap,netnonopobligations,0.0
netnonopobligations,rdextorevenue,0.0
netdebt,stdebttocap,0.0
netdebt,preferredtocap,0.0
netdebt,noncontrolinttocap,0.0
divpayoutratio,netnonopobligations,0.0
roicnnepspread,rdextorevenue,0.0
roicnnepspread,stdebttocap,0.0
bookvaluepershare,preferredtocap,0.0
dividendyield,netdebt,0.0
dividendyield,debttoebitda,0.0
dividendyield,ltdebttoebitda,0.0
bookvaluepershare,noncontrolinttocap,0.0
preferredtocap,bookvaluepershare,0.0
preferredtocap,netdebt,0.0
bookvaluepershare,stdebttocap,0.0
bookvaluepershare,divpayoutratio,0.0
dividendyield,bookvaluepershare,0.0
bookvaluepershare,noncontrollinginterestsharingratio,0.0
rdextorevenue,netnonopobligations,0.0
noncontrolinttocap,roicnnepspread,0.0
dividendyield,roicnnepspread,0.0
dividendyield,netnonopobligations,0.0
rdextorevenue,netdebt,0.0
preferredtocap,roicnnepspread,0.0
rdextorevenue,bookvaluepershare,0.0
stdebttocap,debttoebitda,0.0
preferredtocap,ltdebttoebitda,0.0
stdebttocap,ltdebttoebitda,0.0
noncontrolinttocap,netnonopobligations,0.0
preferredtocap,debttoebitda,0.0
stdebttocap,roicnnepspread,0.0
preferredtocap,netnonopobligations,0.0
noncontrolinttocap,netdebt,0.0
noncontrolinttocap,ltdebttoebitda,0.0
noncontrolinttocap,debttoebitda,0.0
roicnnepspread,dividendyield,0.0
noncontrolinttocap,bookvaluepershare,0.0
bookvaluepershare,rdextorevenue,0.0
bookvaluepershare,dividendyield,0.0
costofrevtorevenue,dividendyield,1.9878373875622124e-18
preferredtocap,costofrevtorevenue,1.9878373875622124e-18
costofrevtorevenue,noncontrollinginterestsharingratio,1.9878373875622124e-18
costofrevtorevenue,rdextorevenue,1.9878373875622124e-18
costofrevtorevenue,divpayoutratio,1.9878373875622124e-18
dividendyield,costofrevtorevenue,1.9878373875622124e-18
costofrevtorevenue,preferredtocap,1.9878373875622124e-18
rdextorevenue,costofrevtorevenue,1.9878373875622124e-18
costofrevtorevenue,stdebttocap,1.9878373875622124e-18
stdebttocap,costofrevtorevenue,1.9878373875622124e-18
noncontrollinginterestsharingratio,costofrevtorevenue,1.9878373875622124e-18
divpayoutratio,costofrevtorevenue,1.9878373875622124e-18
noncontrolinttocap,costofrevtorevenue,1.9878373875622124e-18
costofrevtorevenue,noncontrolinttocap,1.9878373875622124e-18
divpayoutratio,ocfqoqgrowth,8.360960531756306e-18
noncontrolinttocap,ocfqoqgrowth,8.360960531756306e-18
preferredtocap,ocfqoqgrowth,8.360960531756306e-18
ocfqoqgrowth,noncontrolinttocap,8.360960531756306e-18
ocfqoqgrowth,preferredtocap,8.360960531756306e-18
ocfqoqgrowth,dividendyield,8.360960531756306e-18
ocfqoqgrowth,stdebttocap,8.360960531756306e-18
dividendyield,ocfqoqgrowth,8.360960531756306e-18
