,name,count,pos
53,work,60,NOUN
84,food,48,NOUN
111,money,46,NOUN
51,people,33,NOUN
16,get,30,NOUN
150,schedule,24,NOUN
85,time,23,NOUN
40,job,23,NOUN
174,shifts,21,NOUN
88,tips,20,NOUN
18,restaurant,19,NOUN
55,hours,19,NOUN
30,fun,19,NOUN
132,co,18,NOUN
134,workers,17,NOUN
35,environment,17,NOUN
208,managers,16,NOUN
121,coworkers,16,NOUN
24,shift,16,NOUN
66,company,15,NOUN
93,place,15,NOUN
218,working,14,NOUN
203,pay,13,NOUN
28,opportunity,13,NOUN
219,scheduling,11,NOUN
341,servers,11,NOUN
316,staff,10,NOUN
79,management,10,NOUN
330,atmosphere,9,NOUN
71,move,9,NOUN
21,meal,9,NOUN
260,bj,9,NOUN
137,meals,9,NOUN
526,server,9,NOUN
216,friends,8,NOUN
192,hotschedules,8,NOUN
91,employees,8,NOUN
538,experience,8,NOUN
188,schedules,8,NOUN
286,beer,8,NOUN
8,part,7,NOUN
253,pick,7,NOUN
120,lot,7,NOUN
185,manager,7,NOUN
681,guests,7,NOUN
369,team,6,NOUN
370,members,6,NOUN
135,cash,6,NOUN
382,lots,6,NOUN
390,discount,6,NOUN
210,use,6,NOUN
365,way,6,NOUN
445,school,6,NOUN
116,employee,6,NOUN
283,benefits,6,NOUN
480,kitchen,6,NOUN
249,days,5,NOUN
711,locations,5,NOUN
252,system,5,NOUN
295,volume,5,NOUN
503,pros,5,NOUN
264,family,5,NOUN
310,transfer,5,NOUN
320,advancement,5,NOUN
64,thing,4,NOUN
11,training,4,NOUN
46,day,4,NOUN
566,go,4,NOUN
402,year,4,NOUN
564,love,4,NOUN
410,sales,4,NOUN
353,opportunities,4,NOUN
545,customer,4,NOUN
154,location,4,NOUN
429,reason,4,NOUN
139,hosts,4,NOUN
561,beers,4,NOUN
265,potential,3,NOUN
262,area,3,NOUN
528,bartender,3,NOUN
958,customers,3,NOUN
337,right,3,NOUN
368,camaraderie,3,NOUN
380,jobs,3,NOUN
394,promotion,3,NOUN
416,ability,3,NOUN
237,music,3,NOUN
439,night,3,NOUN
487,service,3,NOUN
590,tables,3,NOUN
782,sense,3,NOUN
601,bjs,3,NOUN
424,swap,3,NOUN
351,cooking,3,NOUN
95,learning,3,NOUN
75,years,3,NOUN
168,advance,3,NOUN
148,something,3,NOUN
172,need,3,NOUN
128,host,3,NOUN
117,half,3,NOUN
181,closing,3,NOUN
109,room,3,NOUN
113,non,3,NOUN
804,average,2,NOUN
501,events,2,NOUN
537,culture,2,NOUN
893,angeles,2,NOUN
392,bonus,2,NOUN
145,someone,2,NOUN
146,student,2,NOUN
533,systems,2,NOUN
29,growth,2,NOUN
157,san,2,NOUN
606,min,2,NOUN
97,execute,2,NOUN
906,guy,2,NOUN
161,vacation,2,NOUN
529,hostesses,2,NOUN
607,wage,2,NOUN
357,restaurants,2,NOUN
45,end,2,NOUN
56,balance,2,NOUN
240,parties,2,NOUN
588,week,2,NOUN
101,conversation,2,NOUN
471,store,2,NOUN
467,incentives,2,NOUN
466,policy,2,NOUN
465,door,2,NOUN
461,discounts,2,NOUN
68,product,2,NOUN
57,life,2,NOUN
490,release,2,NOUN
797,switch,2,NOUN
491,hostess,2,NOUN
162,let,2,NOUN
498,help,2,NOUN
123,dress,2,NOUN
583,everyone,2,NOUN
610,trainer,2,NOUN
236,season,2,NOUN
159,hour,2,NOUN
672,take,2,NOUN
306,vision,2,NOUN
308,level,2,NOUN
743,income,2,NOUN
202,everything,2,NOUN
267,flexibility,2,NOUN
755,ranks,2,NOUN
271,ex,2,NOUN
635,college,2,NOUN
634,friendships,2,NOUN
625,takeout,2,NOUN
326,bonuses,2,NOUN
623,pace,2,NOUN
235,football,2,NOUN
620,side,2,NOUN
199,cover,2,NOUN
243,weekends,2,NOUN
213,consistency,2,NOUN
809,coupons,1,NOUN
716,bus,1,NOUN
1010,lunch,1,NOUN
717,boy,1,NOUN
713,gem,1,NOUN
808,thousands,1,NOUN
811,hand,1,NOUN
1011,jewelry,1,NOUN
704,tools,1,NOUN
810,deals,1,NOUN
726,offmake,1,NOUN
1012,hair,1,NOUN
702,return,1,NOUN
1008,shirt,1,NOUN
701,interest,1,NOUN
815,coupon,1,NOUN
818,fly,1,NOUN
819,radar,1,NOUN
821,position,1,NOUN
801,yearsgreat,1,NOUN
768,vibe,1,NOUN
732,nothing,1,NOUN
751,imd,1,NOUN
773,attitude,1,NOUN
767,variety,1,NOUN
766,alcohol,1,NOUN
774,fundamentals,1,NOUN
763,floora,1,NOUN
760,daysgreat,1,NOUN
759,commission,1,NOUN
777,runner,1,NOUN
753,rise,1,NOUN
778,paste,1,NOUN
752,offability,1,NOUN
779,register,1,NOUN
748,promotions,1,NOUN
799,stores,1,NOUN
783,urgency,1,NOUN
784,toes,1,NOUN
745,movement,1,NOUN
785,multitask,1,NOUN
739,severs,1,NOUN
737,satisfaction,1,NOUN
786,skills,1,NOUN
794,guestscash,1,NOUN
769,cooler,1,NOUN
736,teamwork,1,NOUN
735,ideals,1,NOUN
734,keeping,1,NOUN
795,request,1,NOUN
870,base,1,NOUN
822,workersoverall,1,NOUN
932,approach,1,NOUN
951,person,1,NOUN
946,iii,1,NOUN
984,idea,1,NOUN
942,perks,1,NOUN
938,favoritism,1,NOUN
987,check,1,NOUN
937,minutes,1,NOUN
930,remarks,1,NOUN
827,ones,1,NOUN
928,topics,1,NOUN
988,averages,1,NOUN
925,head,1,NOUN
919,demand,1,NOUN
991,home,1,NOUN
918,pizzas,1,NOUN
916,control,1,NOUN
954,dining,1,NOUN
955,flex,1,NOUN
983,servergreat,1,NOUN
959,highway,1,NOUN
974,itgreat,1,NOUN
975,insurance,1,NOUN
971,schedulingi,1,NOUN
970,comps,1,NOUN
977,match,1,NOUN
979,times,1,NOUN
969,labor,1,NOUN
968,monitor,1,NOUN
967,board,1,NOUN
966,otis,1,NOUN
982,deal,1,NOUN
965,hr,1,NOUN
963,roadwaysa,1,NOUN
961,airport,1,NOUN
960,shopping,1,NOUN
694,cons,1,NOUN
915,quality,1,NOUN
910,worth,1,NOUN
875,regulars,1,NOUN
873,rules,1,NOUN
871,recession,1,NOUN
863,possibility,1,NOUN
860,coast,1,NOUN
1005,wear,1,NOUN
857,pizookies,1,NOUN
854,strawberry,1,NOUN
853,runners,1,NOUN
1006,pants,1,NOUN
852,computer,1,NOUN
850,appearance,1,NOUN
845,stars,1,NOUN
