,name,count,pos
130,co workers,17,
110,good money,17,
113,free food,13,
152,flexible schedule,12,
266,good food,9,
24,fast paced,9,
16,free meal,8,
42,flexible hours,8,
40,people work,7,
112,get free,7,
518,easy get,6,
28,easy job,6,
886,place work,5,
509,team members,5,
18,every shift,5,
129,great co,5,
241,flexible scheduling,5,
85,food good,5,
383,always busy,5,
286,free meals,4,
260,make good,4,
210,food great,4,
41,work flexible,4,
25,paced environment,4,
17,meal every,4,
500,make money,4,
256,really nice,4,
1031,money good,4,
476,pretty easy,4,
1435,short shifts,4,
522,great people,3,
43,hours great,3,
238,friends working,3,
527,fun work,3,
888,money easy,3,
74,opportunity move,3,
471,great pay,3,
277,tips flexible,3,
448,fun atmosphere,3,
69,good management,3,
220,fun environment,3,
887,work easy,3,
478,flexible schedules,3,
901,nice coworkers,3,
1439,hours flexible,3,
734,money great,3,
1171,use hotschedules,3,
917,good environment,3,
918,environment work,3,
410,easy transfer,3,
338,decent money,3,
318,food always,3,
1284,friendly coworkers,3,
115,non tipped,3,
926,really good,3,
538,great food,3,
733,fast money,2,
1605,opportunity make,2,
1003,move company,2,
224,quick cash,2,
483,paced great,2,
218,decent pay,2,
1297,managers nice,2,
1001,great way,2,
728,learn new,2,
216,great hours,2,
785,environment easy,2,
735,great staff,2,
184,4 5,2,
1309,cash tips,2,
1790,work environment,2,
519,get along,2,
515,people really,2,
1034,min wage,2,
1810,money company,2,
373,50 food,2,
1357,high volume,2,
1023,free employee,2,
1343,good good,2,
537,place great,2,
137,hosts good,2,
1821,easy make,2,
551,flexible good,2,
488,great money,2,
1121,good pay,2,
477,easy flexible,2,
915,go work,2,
1509,people worked,2,
417,meal per,2,
416,one free,2,
1430,awesome people,2,
414,awesome employees,2,
413,workers awesome,2,
916,work good,2,
325,coworkers become,2,
326,become family,2,
408,good flexible,2,
423,friendly staff,2,
849,move good,2,
894,work free,2,
1460,school schedule,2,
1915,like family,2,
861,bj provides,2,
880,make decent,2,
381,good hours,2,
866,customer service,2,
371,easy money,2,
305,scheduling system,2,
1885,los angeles,2,
786,job flexible,2,
276,good tips,2,
234,schedule great,2,
982,serving shifts,2,
247,serving job,2,
262,football season,2,
264,awesome coworkers,2,
265,coworkers good,2,
1079,great beer,2,
963,lot friends,2,
1524,get shifts,2,
953,schedule good,2,
