,name,count,pos
18,work,3,NOUN
4,meals,2,NOUN
20,time,2,NOUN
23,restaurant,2,NOUN
0,hosts,1,NOUN
61,lunch,1,NOUN
49,schedule,1,NOUN
52,hostesss,1,NOUN
54,wear,1,NOUN
56,dress,1,NOUN
57,pants,1,NOUN
59,shirt,1,NOUN
64,accessories,1,NOUN
62,jewelry,1,NOUN
63,hair,1,NOUN
45,hotschedules,1,NOUN
67,money,1,NOUN
68,company,1,NOUN
69,server,1,NOUN
72,switch,1,NOUN
48,manage,1,NOUN
43,customers,1,NOUN
44,part,1,NOUN
1,takeout,1,NOUN
42,coworkers,1,NOUN
39,games,1,NOUN
35,tv,1,NOUN
34,season,1,NOUN
33,football,1,NOUN
31,place,1,NOUN
29,tips,1,NOUN
25,sales,1,NOUN
24,atmosphere,1,NOUN
16,go,1,NOUN
14,family,1,NOUN
10,staff,1,NOUN
6,working,1,NOUN
73,locations,1,NOUN
