,name,count,pos
117,co workers,16,
29,good money,15,
112,flexible schedule,11,
133,free food,11,
131,good food,8,
229,easy get,6,
193,fast paced,6,
122,free meal,6,
220,team members,5,
77,people work,5,
610,place work,5,
85,always busy,5,
753,flexible hours,5,
623,get free,5,
504,easy job,4,
763,money good,4,
341,flexible scheduling,4,
1174,short shifts,4,
211,make money,4,
808,great co,4,
186,pretty easy,4,
157,fun atmosphere,3,
238,fun work,3,
653,really good,3,
181,great pay,3,
114,easy transfer,3,
152,free meals,3,
645,environment work,3,
625,every shift,3,
451,money great,3,
15,food always,3,
1021,friendly coworkers,3,
188,flexible schedules,3,
89,food good,3,
38,decent money,3,
249,great food,3,
1178,hours flexible,3,
28,make good,3,
180,food great,3,
681,work flexible,3,
612,money easy,3,
907,use hotschedules,3,
611,work easy,3,
233,great people,3,
628,nice coworkers,3,
644,good environment,3,
394,really nice,3,
1372,sense camaraderie,2,
692,lot friends,2,
121,one free,2,
199,great money,2,
731,great way,2,
119,awesome employees,2,
953,full time,2,
123,meal per,2,
902,makes easy,2,
118,workers awesome,2,
421,door policy,2,
733,move company,2,
840,tips every,2,
420,open door,2,
1628,based restaurant,2,
1351,lots great,2,
1631,los angeles,2,
111,good flexible,2,
643,work good,2,
642,go work,2,
1345,opportunity make,2,
1249,people worked,2,
945,take years,2,
129,friendly staff,2,
948,work way,2,
682,schedule good,2,
901,hotschedules makes,2,
230,get along,2,
440,opportunity move,2,
674,willing work,2,
445,learn new,2,
187,easy flexible,2,
450,fast money,2,
452,great staff,2,
1169,awesome people,2,
855,good pay,2,
1673,good servers,2,
935,general manager,2,
660,good management,2,
248,place great,2,
143,opportunity advancement,2,
383,hours great,2,
1661,like family,2,
944,want take,2,
946,years takes,2,
226,people really,2,
947,takes work,2,
711,serving shifts,2,
194,paced great,2,
1199,school schedule,2,
1566,easy make,2,
262,flexible good,2,
1535,work environment,2,
72,easy money,2,
820,fast pace,2,
1046,cash tips,2,
815,good side,2,
352,late night,2,
1004,fun place,2,
812,great beer,2,
1484,serving experience,2,
604,make decent,2,
811,restaurant great,2,
755,free employee,2,
1010,shifts good,2,
1095,high volume,2,
1461,manager ever,2,
22,coworkers become,2,
23,become family,2,
547,server bartender,2,
1034,managers nice,2,
583,bj provides,2,
545,discount food,2,
588,customer service,2,
1081,good good,2,
1475,felt like,2,
766,min wage,2,
1047,tips flexible,2,
541,also get,2,
618,work free,2,
503,environment easy,2,
1264,get shifts,2,
319,easy swap,2,
74,50 food,2,
1555,money company,2,
624,meal every,2,
570,move good,2,
83,good hours,2,
502,fun environment,2,
318,time easy,2,
505,job flexible,2,
326,shift covered,2,
2,scheduling system,2,
358,pick shifts,2,
1319,urgency toes,1,
1318,sense urgency,1,
1367,four different,1,
1308,paste atmosphere,1,
1377,much pay,1,
1378,pay average,1,
1379,average consistently,1,
1376,mgmt much,1,
1375,members mgmt,1,
1365,transfer worked,1,
1366,worked four,1,
1314,communicate efficiently,1,
1368,different stores,1,
1317,work sense,1,
1316,guests work,1,
1369,stores six,1,
1315,efficiently guests,1,
1374,among team,1,
1313,register communicate,1,
1312,cash register,1,
1309,atmosphere learned,1,
1370,six yearsgreat,1,
1320,toes learned,1,
1373,camaraderie among,1,
1371,yearsgreat sense,1,
1311,work cash,1,
1310,learned work,1,
1344,flexibility opportunity,1,
1360,request time,1,
1364,shifts easy,1,
1338,people lovei,1,
1332,service skills,1,
1333,skills use,1,
1352,great regular,1,
1334,use job,1,
1335,job met,1,
1350,money lots,1,
1336,met alot,1,
1337,alot people,1,
1339,lovei think,1,
1363,around shifts,1,
1340,think bj,1,
1349,definite opportunity,1,
1380,consistently getting,1,
1348,bartender definite,1,
1347,capable server,1,
1346,money capable,1,
1341,bj offers,1,
1342,offers excellent,1,
1331,learned customer,1,
1330,part learned,1,
1353,regular guestscash,1,
1354,guestscash every,1,
1362,switch around,1,
1361,time switch,1,
1321,learned multitask,1,
1322,multitask worked,1,
1323,worked school,1,
1324,schedule well,1,
1325,well always,1,
1343,excellent flexibility,1,
1326,always gave,1,
1359,easy request,1,
1327,gave time,1,
1328,time needed,1,
1358,hotschedules easy,1,
1357,workers use,1,
1356,day great,1,
1355,every day,1,
1329,needed part,1,
0,easy online,1,
1408,income substantial,1,
1381,getting worse,1,
1450,working literally,1,
1462,ever chose,1,
1460,best general,1,
1459,workers best,1,
1458,friends co,1,
1457,got lot,1,
1456,covered got,1,
1455,get shift,1,
1454,servers easy,1,
1453,hundred servers,1,
1452,almost hundred,1,
1451,literally almost,1,
1449,schedule working,1,
1436,friendly co,1,
1448,learn good,1,
1447,easy learn,1,
1446,get fast,1,
1445,job get,1,
1444,anything easy,1,
1443,written anything,1,
1442,wouldnt written,1,
1441,else wouldnt,1,
1440,minimum else,1,
1439,word minimum,1,
1438,twenty word,1,
1463,chose second,1,
1464,second best,1,
1465,best manager,1,
1466,ever reason,1,
1491,always upbeat,1,
1490,great always,1,
1489,atmosphere restaurant,1,
1488,appearance atmosphere,1,
1487,jobs appearance,1,
1486,future jobs,1,
1485,experience future,1,
1483,great serving,1,
1482,given great,1,
1481,definitely given,1,
1480,working definitely,1,
1479,friends working,1,
1478,became friends,1,
1477,instantly became,1,
1476,like instantly,1,
1474,close felt,1,
1473,super close,1,
1472,great super,1,
1471,members great,1,
1470,one team,1,
1469,stars one,1,
1468,two stars,1,
1467,reason two,1,
1437,workers twenty,1,
1435,schedules friendly,1,
1382,worse thousands,1,
1395,easy fly,1,
1406,co workersoverall,1,
1405,position great,1,
1404,untipped position,1,
1403,food untipped,1,
1402,cash free,1,
1401,quick cash,1,
1400,time quick,1,
1399,covered time,1,
1398,shifts covered,1,
1397,radar easy,1,
1396,fly radar,1,
1394,restaurant easy,1,
1434,promotion cash,1,
1393,big restaurant,1,
1392,chairs big,1,
1391,tables chairs,1,
1390,coupon tables,1,
1389,giving coupon,1,
1388,started giving,1,
1387,surprised started,1,
1386,hand surprised,1,
1385,deals hand,1,
1384,coupons deals,1,
1383,thousands coupons,1,
1407,workersoverall income,1,
1306,use fast,1,
1409,substantial part,1,
1410,part hours,1,
1433,opportunity promotion,1,
1432,beer opportunity,1,
1431,professionalism great,1,
1430,schedules professionalism,1,
1429,camaraderie flexible,1,
1428,staff sense,1,
1427,par great,1,
1426,sub par,1,
1425,managers sub,1,
1424,conflict managers,1,
1423,due conflict,1,
1422,store due,1,
1421,stay store,1,
1420,ones stay,1,
1419,best ones,1,
1418,unfortunately best,1,
1417,excellent unfortunately,1,
1416,managers excellent,1,
1415,employed managers,1,
1414,school employed,1,
1413,attend school,1,
1412,enough attend,1,
1411,flexible enough,1,
1307,fast paste,1,
1272,nice great,1,
1305,get use,1,
1118,tips shift,1,
1146,money awesome,1,
1145,foodgood money,1,
1144,great foodgood,1,
1143,coworkers great,1,
1142,money nice,1,
1141,tipsgood money,1,
1140,money tipsgood,1,
1139,offmake good,1,
1138,time offmake,1,
1137,give time,1,
1136,likely give,1,
1135,host likely,1,
1134,food host,1,
1133,dependent free,1,
1132,location dependent,1,
1131,far location,1,
1130,lucrative far,1,
1129,events lucrative,1,
1128,parties events,1,
1127,thing parties,1,
1126,related thing,1,
1125,food related,1,
1124,food discount,1,
1123,add food,1,
1122,really add,1,
1121,busy really,1,
1120,depending busy,1,
1147,awesome coworkers,1,
1148,coworkers rewardingservers,1,
1149,rewardingservers certain,1,
1164,satisfaction please,1,
1179,scheduling short,1,
1177,hoursflexible hours,1,
1176,flexible hoursflexible,1,
1175,shifts flexible,1,
1173,lovely short,1,
1172,guests lovely,1,
1171,thought guests,1,
1170,people thought,1,
1168,really awesome,1,
1167,severs really,1,
1166,work severs,1,
1165,please work,1,
1163,customer satisfaction,1,
1150,certain kitchen,1,
1162,teamwork customer,1,
1161,ideals teamwork,1,
1160,keeping ideals,1,
1159,worst keeping,1,
1158,place worst,1,
1157,nothing place,1,
1156,absolutely nothing,1,
1155,helpful absolutely,1,
1154,polite helpful,1,
1153,really polite,1,
1152,staff really,1,
1151,kitchen staff,1,
1119,shift depending,1,
1117,cut tips,1,
1304,meals get,1,
1116,get cut,1,
1084,teaches thing,1,
1083,benefits teaches,1,
1082,good benefits,1,
1080,pays good,1,
1079,restaurant pays,1,
1078,lived restaurant,1,
1077,managers lived,1,
1076,general managers,1,
1075,except general,1,
1074,life except,1,
1073,way life,1,
1072,good way,1,
1071,attainable good,1,
1070,bonuses attainable,1,
1069,good bonuses,1,
1068,benefits good,1,
1067,shifts benefits,1,
1066,execute shifts,1,
1065,tools execute,1,
1064,great tools,1,
1063,sales great,1,
1062,reliable sales,1,
1061,return reliable,1,
1060,interest return,1,
1059,creates interest,1,
1058,drink creates,1,
1057,guests drink,1,
1085,thing two,1,
1086,two volume,1,
1087,volume even,1,
1103,awesome every,1,
1115,boy get,1,
1114,bus boy,1,
1113,better bus,1,
1112,much better,1,
1111,nights much,1,
1110,days nights,1,
1109,makes days,1,
1108,work makes,1,
1107,manager work,1,
1106,gem manager,1,
1105,get gem,1,
1104,every get,1,
1102,work awesome,1,
1088,even experience,1,
1101,tothe people,1,
1100,transfer tothe,1,
1099,locations transfer,1,
1098,many locations,1,
1097,serving many,1,
1096,volume serving,1,
1094,training high,1,
1093,good training,1,
1092,everything good,1,
1091,place everything,1,
1090,system place,1,
1089,experience system,1,
1180,shifts income,1,
1181,income every,1,
1182,shift constant,1,
1183,constant movement,1,
1273,great variety,1,
1493,paced really,1,
1271,place nice,1,
1270,jobs place,1,
1269,two jobs,1,
1268,working two,1,
1267,easily working,1,
1266,picked easily,1,
1265,shifts picked,1,
1263,well get,1,
1262,food well,1,
1261,alcohol food,1,
1260,night alcohol,1,
1259,loved late,1,
1258,work loved,1,
1257,company work,1,
1256,easy company,1,
1255,together easy,1,
1254,learned together,1,
1253,together learned,1,
1252,grew together,1,
1251,together grew,1,
1250,worked together,1,
1248,lot people,1,
1247,floora lot,1,
1246,good floora,1,
1245,area money,1,
1274,variety food,1,
1275,food cool,1,
1276,cool vibe,1,
1291,attitude good,1,
1303,learn meals,1,
1302,get learn,1,
1301,runner get,1,
1300,food runner,1,
1299,start food,1,
1298,say start,1,
1297,would say,1,
1296,serve would,1,
1295,eventually serve,1,
1294,want eventually,1,
1293,fundamentals want,1,
1292,good fundamentals,1,
1290,good attitude,1,
1277,vibe time,1,
1289,smile good,1,
1288,al smile,1,
1287,job al,1,
1286,waitstaff easy,1,
1285,hostesses waitstaff,1,
1284,well hostesses,1,
1283,along well,1,
1282,got along,1,
1281,restaurants got,1,
1280,cooler restaurants,1,
1279,one cooler,1,
1278,time one,1,
1244,good area,1,
1243,nicepretty good,1,
1242,overallpeople nicepretty,1,
1197,works around,1,
1210,hours friendly,1,
1209,paced good,1,
1208,busy fast,1,
1207,easy busy,1,
1206,ranks easy,1,
1205,rise ranks,1,
1204,offability rise,1,
1203,imd offability,1,
1202,give imd,1,
1201,willing give,1,
1200,schedule willing,1,
1198,around school,1,
1196,hours works,1,
1212,easy understand,1,
1195,want work,1,
1194,choosing want,1,
1193,schedule choosing,1,
1192,picking schedule,1,
1191,basically picking,1,
1190,promotions basically,1,
1189,opportunities promotions,1,
1188,frequent opportunities,1,
1187,food frequent,1,
1186,discounted food,1,
1185,pay discounted,1,
1184,movement great,1,
1211,coworkers good,1,
1213,understand thingsthe,1,
1241,atmosphere overallpeople,1,
1228,coworkers new,1,
1240,music atmosphere,1,
1239,daysgreat music,1,
1238,discount daysgreat,1,
1237,work discount,1,
1236,day work,1,
1235,meal day,1,
1234,flexible free,1,
1233,pay hours,1,
1232,commission good,1,
1231,money commission,1,
1230,buildingthe money,1,
1229,new buildingthe,1,
1227,hours nice,1,
1214,thingsthe best,1,
1226,college flexible,1,
1225,going college,1,
1224,work going,1,
1223,good work,1,
1222,scheduling flexible,1,
1221,coworkers scheduling,1,
1220,guests coworkers,1,
1219,made guests,1,
1218,friendships made,1,
1217,working friendships,1,
1216,part working,1,
1215,best part,1,
1492,upbeat fast,1,
1528,music possibility,1,
1494,really like,1,
1837,50 55,1,
1835,growth opportunities,1,
1834,excellent growth,1,
1833,nice excellent,1,
1832,managers really,1,
1831,advancement managers,1,
1830,company opportunity,1,
1829,growing company,1,
1828,roadwaysa growing,1,
1827,major roadwaysa,1,
1826,airport major,1,
1825,shopping airport,1,
1824,highway shopping,1,
1823,close highway,1,
1822,area close,1,
1821,nice area,1,
1820,customers nice,1,
1819,hiringfriendly customers,1,
1818,easy hiringfriendly,1,
1817,get easy,1,
1816,policy time,1,
1815,manager open,1,
1814,nice manager,1,
1813,super nice,1,
1812,boringmanagement super,1,
1811,never boringmanagement,1,
1810,paced never,1,
1809,server fast,1,
1836,opportunities 50,1,
1838,55 hr,1,
1746,moving ranks,1,
1839,hr work,1,
1866,need itgreat,1,
1865,time need,1,
1864,get time,1,
1863,sure get,1,
1862,making sure,1,
1861,schedule making,1,
1860,people schedule,1,
1859,working people,1,
1858,flexible working,1,
1857,locations flexible,1,
1856,transfer locations,1,
1855,also pretty,1,
1854,work also,1,
1853,met awesome,1,
1852,schedulingi met,1,
1851,consistent schedulingi,1,
1850,volume consistent,1,
1849,etc high,1,
1848,comps etc,1,
1847,labor comps,1,
1846,sales labor,1,
1845,monitor sales,1,
1844,55 monitor,1,
1843,board 55,1,
1842,otis board,1,
1841,week otis,1,
1840,work week,1,
1808,money server,1,
1807,flex schedule,1,
1806,dining flex,1,
1805,casual dining,1,
1774,many pros,1,
1773,day many,1,
1772,makes day,1,
1771,nice makes,1,
1770,least really,1,
1769,person least,1,
1768,one person,1,
1767,going one,1,
1766,always going,1,
1765,come always,1,
1764,people come,1,
1763,mean people,1,
1762,always mean,1,
1761,guests always,1,
1760,4 guests,1,
1759,shifts 4,1,
1758,getting shifts,1,
1757,iv getting,1,
1756,wrong iv,1,
1755,behind wrong,1,
1754,management behind,1,
1753,iii management,1,
1752,management iii,1,
1751,conversation management,1,
1750,lewd conversation,1,
1749,indulging lewd,1,
1748,ii indulging,1,
1775,pros many,1,
1776,many less,1,
1777,less depending,1,
1792,good moneythey,1,
1804,1 casual,1,
1803,potential 1,1,
1802,great potential,1,
1801,company great,1,
1800,employees company,1,
1799,time employees,1,
1798,benefits full,1,
1797,offers benefits,1,
1796,wage offers,1,
1795,better min,1,
1794,pay better,1,
1793,moneythey pay,1,
1791,walking good,1,
1778,depending personal,1,
1790,leave walking,1,
1789,server leave,1,
1788,shifts server,1,
1787,closing shifts,1,
1786,pros closing,1,
1785,food pros,1,
1784,also really,1,
1783,nice also,1,
1782,friendly managers,1,
1781,staff friendly,1,
1780,experience staff,1,
1779,personal experience,1,
1867,itgreat insurance,1,
1868,insurance great,1,
1869,great 401k,1,
1930,family awesome,1,
1958,part well,1,
1957,good part,1,
1956,customers good,1,
1955,coworkers customers,1,
1954,loved coworkers,1,
1953,time loved,1,
1952,one time,1,
1951,playing one,1,
1950,games playing,1,
1949,different games,1,
1948,10 different,1,
1947,inside 10,1,
1946,tv inside,1,
1945,season tv,1,
1944,football season,1,
1943,mainly football,1,
1942,work mainly,1,
1941,tips fun,1,
1940,well tips,1,
1939,high well,1,
1938,sales high,1,
1937,atmosphere sales,1,
1936,restaurant atmosphere,1,
1935,dramatic restaurant,1,
1934,typical dramatic,1,
1933,time typical,1,
1932,good time,1,
1959,well hotschedules,1,
1960,easy manage,1,
1961,manage work,1,
1976,lunch jewelry,1,
1988,different restaurant,1,
1987,switch different,1,
1986,easy switch,1,
1985,busy easy,1,
1984,server always,1,
1983,well server,1,
1982,company well,1,
1981,drinks good,1,
1980,meals drinks,1,
1979,accessories also,1,
1978,hair accessories,1,
1977,jewelry hair,1,
1975,white lunch,1,
1962,work schedule,1,
1974,shirt white,1,
1973,black shirt,1,
1972,kind black,1,
1971,pants kind,1,
1970,dress pants,1,
1969,black dress,1,
1968,wear black,1,
1967,able wear,1,
1966,hostesss able,1,
1965,great hostesss,1,
1964,uniform great,1,
1963,schedule uniform,1,
1931,awesome go,1,
1929,genuinely felt,1,
1870,401k match,1,
1928,staff genuinely,1,
1897,idea good,1,
1896,servergreat idea,1,
1895,quick servergreat,1,
1894,become quick,1,
1893,learn become,1,
1892,job learn,1,
1891,good job,1,
1890,much good,1,
1889,customers much,1,
1888,deal customers,1,
1887,busser deal,1,
1886,cause busser,1,
1885,easy cause,1,
1884,times easy,1,
1883,good times,1,
1882,restaurant good,1,
1881,specific restaurant,1,
1880,tips specific,1,
1879,tips tips,1,
1878,bj tips,1,
1877,work bj,1,
1876,would work,1,
1875,reason would,1,
1874,pay reason,1,
1873,vacation pay,1,
1872,great vacation,1,
1871,match great,1,
1898,food system,1,
1899,system seems,1,
1900,seems work,1,
1915,night easy,1,
1927,loved staff,1,
1926,started loved,1,
1925,dayoriginally started,1,
1924,working dayoriginally,1,
1923,every working,1,
1922,meals every,1,
1921,takeout get,1,
1920,hosts takeout,1,
1919,worked hosts,1,
1918,coworkersloved people,1,
1917,friends coworkersloved,1,
1916,make friends,1,
1914,every night,1,
1901,work restaurant,1,
1913,home tips,1,
1912,walk home,1,
1911,servers walk,1,
1910,training servers,1,
1909,days training,1,
1908,6 days,1,
1907,servers 6,1,
1906,averages good,1,
1905,check averages,1,
1904,high check,1,
1903,expanding high,1,
1902,restaurant expanding,1,
1747,ranks ii,1,
1745,provides moving,1,
1495,like use,1,
1588,work financially,1,
1586,jobopportunities advancement,1,
1585,tending jobopportunities,1,
1584,bar tending,1,
1583,first bar,1,
1582,great first,1,
1581,regulars great,1,
1580,great regulars,1,
1579,people great,1,
1578,meet lots,1,
1577,experience meet,1,
1576,jobgreat serving,1,
1575,easy jobgreat,1,
1574,people easy,1,
1573,interesting people,1,
1572,food interesting,1,
1571,rules free,1,
1570,corporate rules,1,
1569,put corporate,1,
1568,able put,1,
1567,money able,1,
1565,nice work,1,
1564,members nice,1,
1563,fellow team,1,
1562,many fellow,1,
1561,recession many,1,
1560,base recession,1,
1559,customer base,1,
1587,advancement willing,1,
1589,financially rewarding,1,
1744,perks bj,1,
1590,rewarding opportunity,1,
1617,pizzookies good,1,
1616,beers pizzookies,1,
1615,brewing beers,1,
1614,known brewing,1,
1613,like known,1,
1612,people like,1,
1611,right people,1,
1610,made right,1,
1609,food made,1,
1608,environment food,1,
1607,social environment,1,
1606,busy social,1,
1605,constantly busy,1,
1604,shifts constantly,1,
1603,changes short,1,
1602,shift changes,1,
1601,online shift,1,
1600,achievedflexibility online,1,
1599,always achievedflexibility,1,
1598,though always,1,
1597,consistency though,1,
1596,aim consistency,1,
1595,average aim,1,
1594,performance average,1,
1593,company performance,1,
1592,advance company,1,
1591,opportunity advance,1,
1558,strong customer,1,
1557,kept strong,1,
1556,company kept,1,
1554,server short,1,
1522,get meals,1,
1521,employees get,1,
1520,great employees,1,
1519,offers food,1,
1518,promotion offers,1,
1517,great promotion,1,
1516,relocate great,1,
1515,ability relocate,1,
1514,gives ability,1,
1513,coast gives,1,
1512,west coast,1,
1511,throughout west,1,
1510,locations throughout,1,
1509,family locations,1,
1508,great friendly,1,
1507,pizookies great,1,
1506,known pizookies,1,
1505,delicious known,1,
1504,lemonade delicious,1,
1503,strawberry lemonade,1,
1502,nice strawberry,1,
1501,time nice,1,
1500,runners time,1,
1499,food runners,1,
1498,system good,1,
1497,computer system,1,
1496,hotschedules computer,1,
1523,meals discounts,1,
1524,discounts flexible,1,
1525,schedule great,1,
1541,regional trainer,1,
1553,everytime server,1,
1552,workers everytime,1,
1551,interesting co,1,
1550,environment interesting,1,
1549,pace work,1,
1548,great fast,1,
1547,branch great,1,
1546,locations branch,1,
1545,bj locations,1,
1544,different bj,1,
1543,3 different,1,
1542,trainer 3,1,
1540,worked regional,1,
1526,great hours,1,
1539,system worked,1,
1538,great scheduling,1,
1537,tolerable great,1,
1536,environment tolerable,1,
1534,make work,1,
1533,coworkers make,1,
1532,server coworkers,1,
1531,closing server,1,
1530,money closing,1,
1529,possibility make,1,
1055,beer selection,1,
1527,great music,1,
1618,management flexible,1,
1619,flexible hoursvery,1,
1620,hoursvery flexible,1,
1685,food end,1,
1713,racial topics,1,
1712,countless racial,1,
1711,put countless,1,
1710,head put,1,
1709,keep head,1,
1708,3 keep,1,
1707,approved 3,1,
1706,provided approved,1,
1705,pick provided,1,
1704,someone pick,1,
1703,hotschedules someone,1,
1702,shift hotschedules,1,
1701,releasing shift,1,
1700,around releasing,1,
1699,ask around,1,
1698,come ask,1,
1697,something come,1,
1696,school something,1,
1695,means school,1,
1694,demand means,1,
1693,shifts demand,1,
1692,release shifts,1,
1691,pick release,1,
1690,2 pick,1,
1689,good 2,1,
1688,pizzas really,1,
1687,shift pizzas,1,
1714,topics defamatory,1,
1715,defamatory remarks,1,
1716,remarks management,1,
1731,within 2,1,
1743,enjoy perks,1,
1742,able enjoy,1,
1741,fast able,1,
1740,favorite fast,1,
1739,become favorite,1,
1738,probably become,1,
1737,far probably,1,
1736,good far,1,
1735,favoritism good,1,
1734,etc favoritism,1,
1733,minutes etc,1,
1732,2 minutes,1,
1730,time within,1,
1717,management employees,1,
1729,sat time,1,
1728,tables sat,1,
1727,3 tables,1,
1726,greet 3,1,
1725,must greet,1,
1724,server must,1,
1723,ex server,1,
1722,job ex,1,
1721,approach job,1,
1720,unrealistic approach,1,
1719,guests unrealistic,1,
1718,employees guests,1,
1686,end shift,1,
1684,etc get,1,
1621,scheduling great,1,
1683,control etc,1,
1650,numerous fraudulent,1,
1649,fired numerous,1,
1648,gm fired,1,
1647,initial gm,1,
1646,angeles initial,1,
1645,proved los,1,
1644,bartender proved,1,
1643,promoted bartender,1,
1642,got promoted,1,
1641,quickly got,1,
1640,advancement quickly,1,
1639,room advancement,1,
1638,offer room,1,
1637,seemed offer,1,
1636,scheduling seemed,1,
1635,accommodating scheduling,1,
1634,environments accommodating,1,
1633,restaurant environments,1,
1632,angeles based,1,
1630,transferred los,1,
1629,restaurant transferred,1,
1627,diego based,1,
1626,san diego,1,
1625,server san,1,
1624,started server,1,
1623,transfers started,1,
1622,great transfers,1,
1651,fraudulent activities,1,
1652,activities replace,1,
1653,replace guy,1,
1669,worth working,1,
1682,quality control,1,
1681,host quality,1,
1680,job host,1,
1679,particular job,1,
1678,depending particular,1,
1677,1 depending,1,
1676,side 1,1,
1675,barthe good,1,
1674,servers barthe,1,
1672,managers money,1,
1671,knowledgeable managers,1,
1670,working knowledgeable,1,
1668,amazing worth,1,
1654,guy thought,1,
1667,tips amazing,1,
1666,days tips,1,
1665,program days,1,
1664,training program,1,
1663,easy training,1,
1662,family easy,1,
1660,feel like,1,
1659,workers feel,1,
1658,guy co,1,
1657,stand guy,1,
1656,still stand,1,
1655,thought still,1,
1056,selection guests,1,
995,great right,1,
1054,popular beer,1,
359,shifts going,1,
371,biggest plus,1,
370,decent biggest,1,
369,tips decent,1,
368,food tips,1,
367,priced food,1,
366,companymoderately priced,1,
365,nice companymoderately,1,
364,people nice,1,
363,good people,1,
362,busypretty good,1,
361,school busypretty,1,
360,going school,1,
357,possibilities pick,1,
404,management team,1,
356,providing possibilities,1,
355,late providing,1,
354,open late,1,
353,night open,1,
351,work late,1,
350,tips work,1,
349,good tips,1,
348,busy good,1,
347,tips free,1,
346,time tips,1,
345,paid time,1,
344,workers paid,1,
372,plus servers,1,
373,servers bartenders,1,
374,bartenders generally,1,
375,generally fun,1,
402,relaxed wonderful,1,
401,really relaxed,1,
400,hours really,1,
399,says hours,1,
398,boss says,1,
397,exactly boss,1,
