,name,count,pos
107,co workers,17,
87,good money,17,
90,free food,13,
129,flexible schedule,12,
243,good food,9,
1,fast paced,9,
19,flexible hours,8,
89,get free,7,
17,people work,7,
278,free meal,7,
5,easy job,6,
498,easy get,6,
363,always busy,5,
62,food good,5,
218,flexible scheduling,5,
866,place work,5,
489,team members,5,
106,great co,5,
1011,money good,4,
280,every shift,4,
1415,short shifts,4,
263,free meals,4,
187,food great,4,
480,make money,4,
2,paced environment,4,
456,pretty easy,4,
18,work flexible,4,
237,make good,4,
233,really nice,4,
868,money easy,3,
92,non tipped,3,
318,decent money,3,
881,nice coworkers,3,
502,great people,3,
51,opportunity move,3,
451,great pay,3,
518,great food,3,
867,work easy,3,
898,environment work,3,
458,flexible schedules,3,
390,easy transfer,3,
428,fun atmosphere,3,
714,money great,3,
897,good environment,3,
46,good management,3,
906,really good,3,
279,meal every,3,
197,fun environment,3,
215,friends working,3,
1151,use hotschedules,3,
20,hours great,3,
1264,friendly coworkers,3,
254,tips flexible,3,
1419,hours flexible,3,
507,fun work,3,
298,food always,3,
241,awesome coworkers,2,
457,easy flexible,2,
239,football season,2,
463,paced great,2,
468,great money,2,
224,serving job,2,
353,50 food,2,
495,people really,2,
351,easy money,2,
499,get along,2,
1801,easy make,2,
211,schedule great,2,
201,quick cash,2,
306,become family,2,
195,decent pay,2,
193,great hours,2,
305,coworkers become,2,
272,hot schedules,2,
270,new people,2,
242,coworkers good,2,
1907,good servers,2,
1895,like family,2,
388,good flexible,2,
269,meet new,2,
393,workers awesome,2,
267,job get,2,
394,awesome employees,2,
396,one free,2,
397,meal per,2,
403,friendly staff,2,
415,opportunity advancement,2,
285,scheduling system,2,
1862,based restaurant,2,
361,good hours,2,
253,good tips,2,
1865,los angeles,2,
0,fun fast,2,
1790,money company,2,
517,place great,2,
926,willing work,2,
1410,awesome people,2,
933,schedule good,2,
943,lot friends,2,
962,serving shifts,2,
981,great way,2,
983,move company,2,
1003,free employee,2,
1337,high volume,2,
1014,min wage,2,
1323,good good,2,
1289,cash tips,2,
1058,restaurant great,2,
1059,great beer,2,
1062,good side,2,
1067,fast pace,2,
1277,managers nice,2,
1086,tips every,2,
1253,shifts good,2,
1101,good pay,2,
1247,fun place,2,
1145,hotschedules makes,2,
1146,makes easy,2,
1197,full time,2,
1192,work way,2,
1191,takes work,2,
1190,years takes,2,
1189,take years,2,
1188,want take,2,
896,work good,2,
895,go work,2,
1440,school schedule,2,
713,fast money,2,
531,flexible good,2,
1770,work environment,2,
1721,serving experience,2,
587,time easy,2,
595,shift covered,2,
1713,felt like,2,
1699,manager ever,2,
161,4 5,2,
625,pick shifts,2,
684,open door,2,
685,door policy,2,
1612,sense camaraderie,2,
708,learn new,2,
715,great staff,2,
874,work free,2,
1591,lots great,2,
1585,opportunity make,2,
765,environment easy,2,
766,job flexible,2,
802,also get,2,
806,discount food,2,
808,server bartender,2,
1504,get shifts,2,
829,move good,2,
1489,people worked,2,
841,bj provides,2,
846,customer service,2,
860,make decent,2,
619,late night,2,
588,easy swap,2,
1179,general manager,2,
114,hosts good,2,
73,great place,2,
93,tipped employee,2,
67,good learning,2,
13,great first,2,
61,decent food,2,
60,tips decent,2,
2171,atmosphere sales,1,
1491,together grew,1,
1519,one cooler,1,
2173,high well,1,
1488,lot people,1,
1487,floora lot,1,
1486,good floora,1,
1485,area money,1,
1484,good area,1,
1483,nicepretty good,1,
2174,well tips,1,
1482,overallpeople nicepretty,1,
1481,atmosphere overallpeople,1,
1480,music atmosphere,1,
1479,daysgreat music,1,
2175,tips fun,1,
1478,discount daysgreat,1,
1477,work discount,1,
1476,day work,1,
1475,meal day,1,
1474,flexible free,1,
1473,pay hours,1,
1472,commission good,1,
1471,money commission,1,
1470,buildingthe money,1,
1469,new buildingthe,1,
1468,coworkers new,1,
1490,worked together,1,
1492,grew together,1,
1514,variety food,1,
1493,together learned,1,
2172,sales high,1,
1513,great variety,1,
1512,nice great,1,
1511,place nice,1,
1510,jobs place,1,
1509,two jobs,1,
1508,working two,1,
1515,food cool,1,
1507,easily working,1,
1506,picked easily,1,
1505,shifts picked,1,
1516,cool vibe,1,
1503,well get,1,
1502,food well,1,
1501,alcohol food,1,
1500,night alcohol,1,
1499,loved late,1,
1498,work loved,1,
1497,company work,1,
1496,easy company,1,
1495,together easy,1,
1494,learned together,1,
1517,vibe time,1,
2170,restaurant atmosphere,1,
1518,time one,1,
1467,hours nice,1,
2176,work mainly,1,
1466,college flexible,1,
2187,loved coworkers,1,
1438,works around,1,
1437,hours works,1,
2183,games playing,1,
2184,playing one,1,
2185,one time,1,
2186,time loved,1,
1436,want work,1,
1435,choosing want,1,
1434,schedule choosing,1,
1433,picking schedule,1,
1432,basically picking,1,
1431,promotions basically,1,
1430,opportunities promotions,1,
1429,frequent opportunities,1,
2182,different games,1,
1428,food frequent,1,
1427,discounted food,1,
1426,pay discounted,1,
1425,movement great,1,
1424,constant movement,1,
1423,shift constant,1,
1422,income every,1,
1421,shifts income,1,
1420,scheduling short,1,
2188,coworkers customers,1,
1418,hoursflexible hours,1,
1417,flexible hoursflexible,1,
1416,shifts flexible,1,
1439,around school,1,
1441,schedule willing,1,
1521,restaurants got,1,
2180,inside 10,1,
1465,going college,1,
1464,work going,1,
1463,good work,1,
1462,scheduling flexible,1,
1461,coworkers scheduling,1,
2177,mainly football,1,
2178,season tv,1,
2179,tv inside,1,
1460,guests coworkers,1,
1459,made guests,1,
1458,friendships made,1,
1457,working friendships,1,
1456,part working,1,
1455,best part,1,
1442,willing give,1,
1454,thingsthe best,1,
1453,understand thingsthe,1,
1452,easy understand,1,
1451,hours friendly,1,
1450,paced good,1,
2181,10 different,1,
1449,busy fast,1,
1448,easy busy,1,
1447,ranks easy,1,
1446,rise ranks,1,
1445,offability rise,1,
1444,imd offability,1,
1443,give imd,1,
1520,cooler restaurants,1,
1523,along well,1,
1522,got along,1,
1600,request time,1,
1610,six yearsgreat,1,
1609,stores six,1,
1608,different stores,1,
1607,four different,1,
1606,worked four,1,
1605,transfer worked,1,
1604,shifts easy,1,
1603,around shifts,1,
1602,switch around,1,
2164,family awesome,1,
2165,awesome go,1,
2166,good time,1,
1601,time switch,1,
1599,easy request,1,
2163,genuinely felt,1,
1598,hotschedules easy,1,
1597,workers use,1,
1596,day great,1,
1595,every day,1,
1594,guestscash every,1,
1593,regular guestscash,1,
1592,great regular,1,
2167,time typical,1,
1590,money lots,1,
1589,definite opportunity,1,
1588,bartender definite,1,
1587,capable server,1,
1586,money capable,1,
1611,yearsgreat sense,1,
1613,camaraderie among,1,
1414,lovely short,1,
2161,loved staff,1,
1640,time quick,1,
1639,covered time,1,
1638,shifts covered,1,
1637,radar easy,1,
1636,fly radar,1,
1635,easy fly,1,
1634,restaurant easy,1,
1633,big restaurant,1,
1632,chairs big,1,
1631,tables chairs,1,
1630,coupon tables,1,
1629,giving coupon,1,
1628,started giving,1,
2162,staff genuinely,1,
1614,among team,1,
1627,surprised started,1,
1626,hand surprised,1,
1625,deals hand,1,
1624,coupons deals,1,
1623,thousands coupons,1,
1622,worse thousands,1,
1621,getting worse,1,
1620,consistently getting,1,
1619,average consistently,1,
1618,pay average,1,
1617,much pay,1,
1616,mgmt much,1,
1615,members mgmt,1,
2168,typical dramatic,1,
1584,flexibility opportunity,1,
1583,excellent flexibility,1,
1538,say start,1,
1551,work cash,1,
1550,learned work,1,
1549,atmosphere learned,1,
1548,paste atmosphere,1,
1547,fast paste,1,
1546,use fast,1,
1545,get use,1,
1544,meals get,1,
1543,learn meals,1,
1542,get learn,1,
1541,runner get,1,
1540,food runner,1,
1539,start food,1,
1537,would say,1,
1582,offers excellent,1,
1536,serve would,1,
1535,eventually serve,1,
1534,want eventually,1,
1533,fundamentals want,1,
1532,good fundamentals,1,
1531,attitude good,1,
1530,good attitude,1,
1529,smile good,1,
1528,al smile,1,
1527,job al,1,
1526,waitstaff easy,1,
1525,hostesses waitstaff,1,
1524,well hostesses,1,
1552,cash register,1,
2169,dramatic restaurant,1,
1553,register communicate,1,
1554,communicate efficiently,1,
1581,bj offers,1,
1580,think bj,1,
1579,lovei think,1,
1578,people lovei,1,
1577,alot people,1,
1576,met alot,1,
1575,job met,1,
1574,use job,1,
