,name,count,pos
328,good money,5,
126,co workers,5,
147,team members,3,
112,make money,3,
177,free food,3,
7,money good,3,
494,get free,3,
291,good food,3,
171,easy get,3,
358,money company,2,
274,serving experience,2,
0,great music,2,
481,good servers,2,
265,felt like,2,
50,easy job,2,
469,like family,2,
356,short shifts,2,
748,free meals,2,
284,fast paced,2,
499,really good,2,
251,manager ever,2,
144,sense camaraderie,2,
334,work environment,2,
136,easy transfer,2,
128,use hotschedules,2,
111,opportunity make,2,
125,great co,2,
583,really nice,2,
370,easy make,2,
207,flexible schedules,2,
27,get shifts,2,
11,people worked,2,
436,based restaurant,2,
439,los angeles,2,
235,flexible schedule,2,
119,lots great,2,
591,depending personal,1,
554,enjoy perks,1,
610,min wage,1,
548,far probably,1,
549,probably become,1,
550,become favorite,1,
551,favorite fast,1,
552,fast able,1,
595,friendly managers,1,
553,able enjoy,1,
594,staff friendly,1,
590,less depending,1,
555,perks bj,1,
609,better min,1,
556,bj provides,1,
557,provides moving,1,
558,moving ranks,1,
559,ranks ii,1,
608,pay better,1,
593,experience staff,1,
547,good far,1,
546,favoritism good,1,
611,wage offers,1,
545,etc favoritism,1,
534,ex server,1,
535,server must,1,
536,must greet,1,
537,greet 3,1,
617,company great,1,
616,employees company,1,
615,time employees,1,
614,full time,1,
538,3 tables,1,
613,benefits full,1,
539,tables sat,1,
540,sat time,1,
541,time within,1,
542,within 2,1,
543,2 minutes,1,
612,offers benefits,1,
544,minutes etc,1,
560,ii indulging,1,
561,indulging lewd,1,
607,moneythey pay,1,
575,mean people,1,
577,come always,1,
578,always going,1,
602,shifts server,1,
601,closing shifts,1,
600,pros closing,1,
579,going one,1,
580,one person,1,
581,person least,1,
599,food pros,1,
582,least really,1,
598,also really,1,
584,nice makes,1,
585,makes day,1,
586,day many,1,
587,many pros,1,
588,pros many,1,
589,many less,1,
576,people come,1,
603,server leave,1,
562,lewd conversation,1,
574,always mean,1,
592,personal experience,1,
596,managers nice,1,
563,conversation management,1,
606,good moneythey,1,
564,management iii,1,
565,iii management,1,
566,management behind,1,
567,behind wrong,1,
568,wrong iv,1,
569,iv getting,1,
570,getting shifts,1,
605,walking good,1,
571,shifts 4,1,
572,4 guests,1,
573,guests always,1,
533,job ex,1,
604,leave walking,1,
597,nice also,1,
526,defamatory remarks,1,
532,approach job,1,
465,stand guy,1,
455,initial gm,1,
456,gm fired,1,
457,fired numerous,1,
458,numerous fraudulent,1,
459,fraudulent activities,1,
460,activities replace,1,
461,replace guy,1,
462,guy thought,1,
463,thought still,1,
464,still stand,1,
466,guy co,1,
531,unrealistic approach,1,
467,workers feel,1,
468,feel like,1,
470,family easy,1,
471,easy training,1,
472,training program,1,
473,program days,1,
474,days tips,1,
475,tips amazing,1,
476,amazing worth,1,
