,name,count,pos
82,good money,13,
43,co workers,13,
48,free food,10,
155,flexible schedule,9,
225,good food,6,
458,fast paced,5,
180,free meal,5,
342,get free,5,
478,flexible hours,5,
325,place work,5,
329,easy get,5,
489,money good,4,
40,flexible scheduling,4,
535,great co,4,
213,easy job,4,
908,short shifts,4,
335,people work,4,
340,team members,4,
326,work easy,3,
639,use hotschedules,3,
912,hours flexible,3,
99,really nice,3,
374,really good,3,
50,always busy,3,
365,environment work,3,
344,every shift,3,
328,money easy,3,
755,friendly coworkers,3,
1082,make money,3,
347,nice coworkers,3,
364,good environment,3,
404,work flexible,3,
158,money great,3,
571,tips every,2,
405,schedule good,2,
1000,get shifts,2,
211,fun environment,2,
212,environment easy,2,
214,job flexible,2,
829,high volume,2,
415,lot friends,2,
633,hotschedules makes,2,
634,makes easy,2,
319,decent money,2,
1373,los angeles,2,
318,make decent,2,
1370,based restaurant,2,
87,hours great,2,
1102,easy transfer,2,
1088,lots great,2,
125,open door,2,
815,good good,2,
343,meal every,2,
768,managers nice,2,
362,go work,2,
163,great food,2,
363,work good,2,
159,great staff,2,
157,fast money,2,
780,cash tips,2,
781,tips flexible,2,
150,learn new,2,
1415,good servers,2,
145,opportunity move,2,
1214,felt like,2,
397,willing work,2,
277,food good,2,
381,good management,2,
336,work free,2,
1403,like family,2,
587,good pay,2,
1223,serving experience,2,
744,shifts good,2,
126,door policy,2,
1081,opportunity make,2,
394,pretty easy,2,
738,fun place,2,
985,people worked,2,
1200,manager ever,2,
1665,free meals,2,
302,customer service,2,
903,awesome people,2,
258,server bartender,2,
55,late night,2,
681,work way,2,
266,great pay,2,
17,time easy,2,
700,great people,2,
454,great way,2,
297,bj provides,2,
456,move company,2,
18,easy swap,2,
1276,work environment,2,
480,free employee,2,
1308,easy make,2,
1297,money company,2,
933,school schedule,2,
25,shift covered,2,
284,move good,2,
252,also get,2,
686,full time,2,
256,discount food,2,
680,takes work,2,
483,fun atmosphere,2,
679,years takes,2,
668,general manager,2,
548,fast pace,2,
434,serving shifts,2,
492,min wage,2,
61,pick shifts,2,
1110,sense camaraderie,2,
1168,flexible schedules,2,
543,good side,2,
540,great beer,2,
677,want take,2,
539,food great,2,
538,restaurant great,2,
678,take years,2,
648,make good,2,
1151,attend school,1,
1196,got lot,1,
1150,enough attend,1,
1198,workers best,1,
1190,literally almost,1,
1149,flexible enough,1,
1197,friends co,1,
1191,almost hundred,1,
1148,part hours,1,
1147,substantial part,1,
1195,covered got,1,
1194,get shift,1,
1193,servers easy,1,
1192,hundred servers,1,
1145,workersoverall income,1,
1146,income substantial,1,
1189,working literally,1,
1156,unfortunately best,1,
1188,schedule working,1,
1187,learn good,1,
1164,sub par,1,
1180,else wouldnt,1,
1165,par great,1,
1166,staff sense,1,
1179,minimum else,1,
1178,word minimum,1,
1167,camaraderie flexible,1,
1169,schedules professionalism,1,
1177,twenty word,1,
1170,professionalism great,1,
1199,best general,1,
1171,beer opportunity,1,
1175,friendly co,1,
1172,opportunity promotion,1,
1173,promotion cash,1,
1163,managers sub,1,
1162,conflict managers,1,
1161,due conflict,1,
1157,best ones,1,
1152,school employed,1,
1153,employed managers,1,
1154,managers excellent,1,
1155,excellent unfortunately,1,
1186,easy learn,1,
1174,schedules friendly,1,
1158,ones stay,1,
1181,wouldnt written,1,
1159,stay store,1,
1185,get fast,1,
1184,job get,1,
1160,store due,1,
1183,anything easy,1,
1182,written anything,1,
1176,workers twenty,1,
1218,friends working,1,
1201,ever chose,1,
1268,great music,1,
1279,great scheduling,1,
1278,tolerable great,1,
1277,environment tolerable,1,
1275,make work,1,
1274,coworkers make,1,
1273,server coworkers,1,
1272,closing server,1,
1271,money closing,1,
1270,possibility make,1,
1269,music possibility,1,
1267,great hours,1,
1281,system worked,1,
1266,schedule great,1,
1265,discounts flexible,1,
1264,meals discounts,1,
1263,get meals,1,
1262,employees get,1,
1261,great employees,1,
1260,offers food,1,
1259,promotion offers,1,
1258,great promotion,1,
1257,relocate great,1,
1280,scheduling system,1,
1282,worked regional,1,
1202,chose second,1,
1295,everytime server,1,
1306,members nice,1,
1305,fellow team,1,
1304,many fellow,1,
1303,recession many,1,
1302,base recession,1,
1301,customer base,1,
1300,strong customer,1,
1299,kept strong,1,
1298,company kept,1,
1296,server short,1,
1294,workers everytime,1,
1283,regional trainer,1,
1293,interesting co,1,
1292,environment interesting,1,
1291,pace work,1,
1290,great fast,1,
1289,branch great,1,
1288,locations branch,1,
1287,bj locations,1,
1286,different bj,1,
1285,3 different,1,
1284,trainer 3,1,
1256,ability relocate,1,
1255,gives ability,1,
1254,coast gives,1,
1215,like instantly,1,
1227,appearance atmosphere,1,
1226,jobs appearance,1,
1225,future jobs,1,
1224,experience future,1,
1222,great serving,1,
1221,given great,1,
1220,definitely given,1,
1219,working definitely,1,
1217,became friends,1,
1216,instantly became,1,
1213,close felt,1,
1253,west coast,1,
1212,super close,1,
1211,great super,1,
1210,members great,1,
1209,one team,1,
1208,stars one,1,
1207,two stars,1,
1206,reason two,1,
1205,ever reason,1,
1204,best manager,1,
1203,second best,1,
1228,atmosphere restaurant,1,
1229,great always,1,
1230,always upbeat,1,
1231,upbeat fast,1,
1252,throughout west,1,
1251,locations throughout,1,
1250,family locations,1,
1249,become family,1,
1248,coworkers become,1,
1247,great friendly,1,
1246,pizookies great,1,
1245,known pizookies,1,
1244,delicious known,1,
1243,lemonade delicious,1,
1242,strawberry lemonade,1,
1241,nice strawberry,1,
1240,time nice,1,
1239,runners time,1,
1238,food runners,1,
1237,system good,1,
1236,computer system,1,
1235,hotschedules computer,1,
1234,like use,1,
1233,really like,1,
1232,paced really,1,
1144,co workersoverall,1,
1124,hand surprised,1,
1143,position great,1,
987,together grew,1,
998,food well,1,
997,alcohol food,1,
996,night alcohol,1,
995,loved late,1,
994,work loved,1,
993,company work,1,
992,easy company,1,
991,together easy,1,
990,learned together,1,
989,together learned,1,
988,grew together,1,
986,worked together,1,
1028,good fundamentals,1,
984,lot people,1,
983,floora lot,1,
982,good floora,1,
981,area money,1,
980,good area,1,
979,nicepretty good,1,
978,overallpeople nicepretty,1,
977,atmosphere overallpeople,1,
976,music atmosphere,1,
975,daysgreat music,1,
974,discount daysgreat,1,
999,well get,1,
1001,shifts picked,1,
1002,picked easily,1,
1003,easily working,1,
1026,good attitude,1,
1025,smile good,1,
1024,al smile,1,
1023,job al,1,
1022,waitstaff easy,1,
1021,hostesses waitstaff,1,
1020,well hostesses,1,
1019,along well,1,
1018,got along,1,
1017,restaurants got,1,
1016,cooler restaurants,1,
1015,one cooler,1,
1014,time one,1,
1013,vibe time,1,
1012,cool vibe,1,
1011,food cool,1,
1010,variety food,1,
1009,great variety,1,
1008,nice great,1,
1007,place nice,1,
1006,jobs place,1,
1005,two jobs,1,
1004,working two,1,
973,work discount,1,
972,day work,1,
971,meal day,1,
944,good hours,1,
942,busy fast,1,
941,easy busy,1,
940,ranks easy,1,
939,rise ranks,1,
938,offability rise,1,
937,imd offability,1,
936,give imd,1,
935,willing give,1,
934,schedule willing,1,
932,around school,1,
931,works around,1,
930,hours works,1,
929,want work,1,
928,choosing want,1,
927,schedule choosing,1,
926,picking schedule,1,
925,basically picking,1,
924,promotions basically,1,
923,opportunities promotions,1,
922,frequent opportunities,1,
921,food frequent,1,
920,discounted food,1,
919,pay discounted,1,
943,paced good,1,
945,hours friendly,1,
970,flexible free,1,
946,coworkers good,1,
969,pay hours,1,
968,commission good,1,
967,money commission,1,
966,buildingthe money,1,
965,new buildingthe,1,
964,coworkers new,1,
963,hours nice,1,
962,college flexible,1,
961,going college,1,
960,work going,1,
959,good work,1,
958,flexible good,1,
957,scheduling flexible,1,
956,coworkers scheduling,1,
955,guests coworkers,1,
954,made guests,1,
953,friendships made,1,
952,working friendships,1,
951,part working,1,
950,best part,1,
949,thingsthe best,1,
948,understand thingsthe,1,
947,easy understand,1,
1027,attitude good,1,
1029,fundamentals want,1,
1142,untipped position,1,
1100,around shifts,1,
1113,members mgmt,1,
