,name,count,pos,norm
136,great co workers,5,,1.0
274,make good money,5,,1.0
18,meal every shift,4,,0.75
25,fast paced environment,4,,0.75
17,free meal every,4,,0.75
122,non tipped employee,3,,0.5
1620,flexible hours flexible,3,,0.5
319,get free meal,3,,0.5
1027,good environment work,3,,0.5
1484,cash tips flexible,2,,0.25
809,good money great,2,,0.25
2071,good money company,2,,0.25
1446,shifts good money,2,,0.25
529,fast paced great,2,,0.25
1437,fun place work,2,,0.25
984,great place work,2,,0.25
1814,opportunity make money,2,,0.25
772,open door policy,2,,0.25
119,get free food,2,,0.25
568,easy get along,2,,0.25
2485,get free meals,2,,0.25
1372,takes work way,2,,0.25
1371,years takes work,2,,0.25
1370,take years takes,2,,0.25
461,food always busy,2,,0.25
866,job flexible schedule,2,,0.25
460,free food always,2,,0.25
863,fun environment easy,2,,0.25
1622,hours flexible scheduling,2,,0.25
311,meet new people,2,,0.25
308,easy job get,2,,0.25
294,tips flexible hours,2,,0.25
1025,go work good,2,,0.25
281,good food good,2,,0.25
1038,really good food,2,,0.25
440,easy transfer locations,2,,0.25
241,hot schedules great,2,,0.25
443,co workers awesome,2,,0.25
1071,work flexible schedule,2,,0.25
1073,schedule good money,2,,0.25
447,one free meal,2,,0.25
448,free meal per,2,,0.25
1984,great serving experience,2,,0.25
1369,want take years,2,,0.25
346,coworkers become family,2,,0.25
24,fun fast paced,2,,0.25
1320,hotschedules makes easy,2,,0.25
42,work flexible hours,2,,0.25
1886,position great co,1,,0.0
1714,people worked together,1,,0.0
1709,area money good,1,,0.0
1710,money good floor,1,,0.0
1711,good floor lot,1,,0.0
1712,floor lot people,1,,0.0
1713,lot people worked,1,,0.0
1715,worked together grew,1,,0.0
1707,pretty good area,1,,0.0
1912,staff sense camaraderie,1,,0.0
1716,together grew together,1,,0.0
1911,great staff sense,1,,0.0
1717,grew together learned,1,,0.0
1910,par great staff,1,,0.0
1718,together learned together,1,,0.0
1708,good area money,1,,0.0
1706,nice pretty good,1,,0.0
1719,learned together easy,1,,0.0
1696,meal day work,1,,0.0
1689,commission good good,1,,0.0
1690,good good pay,1,,0.0
1691,good pay hours,1,,0.0
1692,pay hours flexible,1,,0.0
1693,hours flexible free,1,,0.0
1694,flexible free meal,1,,0.0
1695,free meal day,1,,0.0
1697,day work discount,1,,0.0
1705,people nice pretty,1,,0.0
1698,work discount days,1,,0.0
1699,discount days great,1,,0.0
1700,days great music,1,,0.0
1701,great music atmosphere,1,,0.0
1702,music atmosphere overall,1,,0.0
1703,atmosphere overall people,1,,0.0
1704,overall people nice,1,,0.0
1909,sub par great,1,,0.0
1720,together easy company,1,,0.0
1908,managers sub par,1,,0.0
1688,money commission good,1,,0.0
1735,two jobs place,1,,0.0
1736,jobs place nice,1,,0.0
1737,place nice great,1,,0.0
1738,nice great variety,1,,0.0
1739,great variety food,1,,0.0
1740,variety food cool,1,,0.0
1741,food cool vibe,1,,0.0
1742,cool vibe time,1,,0.0
1743,vibe time one,1,,0.0
1744,time one cooler,1,,0.0
1745,one cooler restaurants,1,,0.0
1746,cooler restaurants got,1,,0.0
1747,restaurants got along,1,,0.0
1748,got along well,1,,0.0
1749,along well hostesses,1,,0.0
1734,working two jobs,1,,0.0
1733,easily working two,1,,0.0
1732,picked easily working,1,,0.0
1725,late night alcohol,1,,0.0
1907,conflict managers sub,1,,0.0
1906,due conflict managers,1,,0.0
1721,easy company work,1,,0.0
1722,company work loved,1,,0.0
1723,work loved late,1,,0.0
1724,loved late night,1,,0.0
1905,store due conflict,1,,0.0
1731,shifts picked easily,1,,0.0
1726,night alcohol food,1,,0.0
1727,alcohol food well,1,,0.0
1728,food well get,1,,0.0
1729,well get shifts,1,,0.0
1904,stay store due,1,,0.0
1730,get shifts picked,1,,0.0
1913,sense camaraderie flexible,1,,0.0
1687,building money commission,1,,0.0
1751,hostesses waitstaff easy,1,,0.0
1640,picking schedule choosing,1,,0.0
1642,choosing want work,1,,0.0
1643,want work flexible,1,,0.0
1644,flexible hours works,1,,0.0
1645,hours works around,1,,0.0
1646,works around school,1,,0.0
1647,around school schedule,1,,0.0
1648,school schedule willing,1,,0.0
1921,promotion cash tips,1,,0.0
1649,schedule willing give,1,,0.0
1650,willing give imd,1,,0.0
1651,give imd ability,1,,0.0
1652,imd ability rise,1,,0.0
1653,ability rise ranks,1,,0.0
1654,rise ranks easy,1,,0.0
1655,ranks easy busy,1,,0.0
1641,schedule choosing want,1,,0.0
1639,basically picking schedule,1,,0.0
