,name,count,pos,norm
130,co workers,17,,1.0
110,good money,16,,0.9375
113,free food,13,,0.75
152,flexible schedule,12,,0.6875
266,good food,9,,0.5
24,fast paced,9,,0.5
42,flexible hours,8,,0.4375
16,free meal,8,,0.4375
40,people work,7,,0.375
28,easy job,6,,0.3125
518,easy get,6,,0.3125
112,get free,5,,0.25
509,team members,5,,0.25
129,great co,5,,0.25
18,every shift,5,,0.25
85,food good,5,,0.25
241,flexible scheduling,5,,0.25
1435,short shifts,4,,0.1875
17,meal every,4,,0.1875
476,pretty easy,4,,0.1875
886,place work,4,,0.1875
260,make good,4,,0.1875
256,really nice,4,,0.1875
500,make money,4,,0.1875
25,paced environment,4,,0.1875
383,always busy,4,,0.1875
1031,money good,4,,0.1875
41,work flexible,4,,0.1875
210,food great,4,,0.1875
69,good management,3,,0.125
238,friends working,3,,0.125
888,money easy,3,,0.125
318,food always,3,,0.125
887,work easy,3,,0.125
471,great pay,3,,0.125
926,really good,3,,0.125
74,opportunity move,3,,0.125
478,flexible schedules,3,,0.125
901,nice coworkers,3,,0.125
410,easy transfer,3,,0.125
538,great food,3,,0.125
734,money great,3,,0.125
527,fun work,3,,0.125
277,tips flexible,3,,0.125
522,great people,3,,0.125
917,good environment,3,,0.125
918,environment work,3,,0.125
115,non tipped,3,,0.125
1284,friendly coworkers,3,,0.125
43,hours great,3,,0.125
1171,use hotschedules,3,,0.125
220,fun environment,3,,0.125
1439,hours flexible,3,,0.125
448,fun atmosphere,3,,0.125
338,decent money,3,,0.125
828,server bartender,2,,0.0625
785,environment easy,2,,0.0625
184,4 5,2,,0.0625
963,lot friends,2,,0.0625
417,meal per,2,,0.0625
416,one free,2,,0.0625
1821,easy make,2,,0.0625
1882,based restaurant,2,,0.0625
861,bj provides,2,,0.0625
705,door policy,2,,0.0625
414,awesome employees,2,,0.0625
704,open door,2,,0.0625
488,great money,2,,0.0625
413,workers awesome,2,,0.0625
1719,manager ever,2,,0.0625
286,free meals,2,,0.0625
537,place great,2,,0.0625
23,fun fast,2,,0.0625
435,opportunity advancement,2,,0.0625
639,late night,2,,0.0625
290,job get,2,,0.0625
116,tipped employee,2,,0.0625
1297,managers nice,2,,0.0625
373,50 food,2,,0.0625
137,hosts good,2,,0.0625
607,time easy,2,,0.0625
371,easy money,2,,0.0625
381,good hours,2,,0.0625
1003,move company,2,,0.0625
849,move good,2,,0.0625
224,quick cash,2,,0.0625
1790,work environment,2,,0.0625
728,learn new,2,,0.0625
1357,high volume,2,,0.0625
953,schedule good,2,,0.0625
264,awesome coworkers,2,,0.0625
265,coworkers good,2,,0.0625
615,shift covered,2,,0.0625
1273,shifts good,2,,0.0625
1741,serving experience,2,,0.0625
1001,great way,2,,0.0625
1632,sense camaraderie,2,,0.0625
735,great staff,2,,0.0625
1023,free employee,2,,0.0625
1430,awesome people,2,,0.0625
423,friendly staff,2,,0.0625
515,people really,2,,0.0625
786,job flexible,2,,0.0625
218,decent pay,2,,0.0625
519,get along,2,,0.0625
608,easy swap,2,,0.0625
1034,min wage,2,,0.0625
276,good tips,2,,0.0625
292,meet new,2,,0.0625
1885,los angeles,2,,0.0625
293,new people,2,,0.0625
866,customer service,2,,0.0625
1082,good side,2,,0.0625
1309,cash tips,2,,0.0625
1212,work way,2,,0.0625
408,good flexible,2,,0.0625
1210,years takes,2,,0.0625
1087,fast pace,2,,0.0625
1209,take years,2,,0.0625
1121,good pay,2,,0.0625
1208,want take,2,,0.0625
36,great first,2,,0.0625
234,schedule great,2,,0.0625
83,tips decent,2,,0.0625
1199,general manager,2,,0.0625
1509,people worked,2,,0.0625
880,make decent,2,,0.0625
946,willing work,2,,0.0625
325,coworkers become,2,,0.0625
326,become family,2,,0.0625
1611,lots great,2,,0.0625
1106,tips every,2,,0.0625
826,discount food,2,,0.0625
1605,opportunity make,2,,0.0625
1343,good good,2,,0.0625
1211,takes work,2,,0.0625
84,decent food,2,,0.0625
305,scheduling system,2,,0.0625
551,flexible good,2,,0.0625
1524,get shifts,2,,0.0625
483,paced great,2,,0.0625
1927,good servers,2,,0.0625
645,pick shifts,2,,0.0625
247,serving job,2,,0.0625
295,hot schedules,2,,0.0625
1460,school schedule,2,,0.0625
96,great place,2,,0.0625
477,easy flexible,2,,0.0625
894,work free,2,,0.0625
982,serving shifts,2,,0.0625
1217,full time,2,,0.0625
90,good learning,2,,0.0625
1078,restaurant great,2,,0.0625
1079,great beer,2,,0.0625
733,fast money,2,,0.0625
216,great hours,2,,0.0625
1494,flexible free,1,,0.0
1492,commission good,1,,0.0
1485,going college,1,,0.0
1493,pay hours,1,,0.0
1490,buildingthe money,1,,0.0
1484,work going,1,,0.0
1486,college flexible,1,,0.0
1487,hours nice,1,,0.0
1491,money commission,1,,0.0
1495,meal day,1,,0.0
1482,scheduling flexible,1,,0.0
1489,new buildingthe,1,,0.0
1497,work discount,1,,0.0
1483,good work,1,,0.0
1496,day work,1,,0.0
1488,coworkers new,1,,0.0
0,gm great,1,,0.0
1481,coworkers scheduling,1,,0.0
1454,schedule choosing,1,,0.0
1452,basically picking,1,,0.0
1451,promotions basically,1,,0.0
1450,opportunities promotions,1,,0.0
1449,frequent opportunities,1,,0.0
