,name,count,pos,norm
43,work,8,NOUN,0.4666666666666667
72,food,7,NOUN,0.4
41,people,7,NOUN,0.4
29,environment,6,NOUN,0.33333333333333337
95,money,6,NOUN,0.33333333333333337
14,get,6,NOUN,0.33333333333333337
45,hours,6,NOUN,0.33333333333333337
33,job,5,NOUN,0.26666666666666666
126,schedule,4,NOUN,0.2
73,time,4,NOUN,0.2
80,place,4,NOUN,0.2
25,fun,3,NOUN,0.13333333333333336
21,shift,3,NOUN,0.13333333333333336
103,coworkers,3,NOUN,0.13333333333333336
60,move,2,NOUN,0.06666666666666667
76,tips,2,NOUN,0.06666666666666667
172,managers,2,NOUN,0.06666666666666667
179,friends,2,NOUN,0.06666666666666667
100,half,2,NOUN,0.06666666666666667
112,cash,2,NOUN,0.06666666666666667
7,part,2,NOUN,0.06666666666666667
114,meals,2,NOUN,0.06666666666666667
168,pay,2,NOUN,0.06666666666666667
78,employees,2,NOUN,0.06666666666666667
23,opportunity,2,NOUN,0.06666666666666667
156,schedules,2,NOUN,0.06666666666666667
144,shifts,2,NOUN,0.06666666666666667
16,restaurant,2,NOUN,0.06666666666666667
19,meal,2,NOUN,0.06666666666666667
96,non,2,NOUN,0.06666666666666667
46,balance,2,NOUN,0.06666666666666667
128,location,2,NOUN,0.06666666666666667
181,scheduling,2,NOUN,0.06666666666666667
158,site,1,NOUN,0.0
170,supervisors,1,NOUN,0.0
160,hotschedules,1,NOUN,0.0
176,consistency,1,NOUN,0.0
177,benefitsmade,1,NOUN,0.0
153,manager,1,NOUN,0.0
150,closing,1,NOUN,0.0
167,everything,1,NOUN,0.0
3,firm,1,NOUN,0.0
184,workit,1,NOUN,0.0
213,lewisville,1,NOUN,0.0
234,number,1,NOUN,0.0
228,seniority,1,NOUN,0.0
227,plano,1,NOUN,0.0
221,flexibility,1,NOUN,0.0
220,potential,1,NOUN,0.0
219,family,1,NOUN,0.0
217,area,1,NOUN,0.0
215,fastes,1,NOUN,0.0
211,pick,1,NOUN,0.0
189,pocket,1,NOUN,0.0
210,system,1,NOUN,0.0
207,days,1,NOUN,0.0
201,weekends,1,NOUN,0.0
141,halloween,1,NOUN,0.0
198,parties,1,NOUN,0.0
195,music,1,NOUN,0.0
194,season,1,NOUN,0.0
193,football,1,NOUN,0.0
143,months,1,NOUN,0.0
113,schedulefree,1,NOUN,0.0
140,holiday,1,NOUN,0.0
137,weeks,1,NOUN,0.0
82,execute,1,NOUN,0.0
81,learning,1,NOUN,0.0
68,colleagues,1,NOUN,0.0
67,management,1,NOUN,0.0
63,years,1,NOUN,0.0
62,positions2,1,NOUN,0.0
57,product,1,NOUN,0.0
56,company,1,NOUN,0.0
54,thing,1,NOUN,0.0
47,life,1,NOUN,0.0
37,day,1,NOUN,0.0
24,growth,1,NOUN,0.0
15,feet,1,NOUN,0.0
11,trainers,1,NOUN,0.0
10,training,1,NOUN,0.0
83,function,1,NOUN,0.0
84,practice,1,NOUN,0.0
85,conversation,1,NOUN,0.0
122,student,1,NOUN,0.0
136,couple,1,NOUN,0.0
135,let,1,NOUN,0.0
134,vacation,1,NOUN,0.0
132,hour,1,NOUN,0.0
131,bruno,1,NOUN,0.0
124,something,1,NOUN,0.0
121,someone,1,NOUN,0.0
93,room,1,NOUN,0.0
111,workers,1,NOUN,0.0
109,host,1,NOUN,0.0
108,clothing,1,NOUN,0.0
105,code,1,NOUN,0.0
102,lot,1,NOUN,0.0
99,employee,1,NOUN,0.0
235,benefits,1,NOUN,0.0
