,name,count,pos,norm
130,co workers,12,,0.9999999999999999
110,good money,12,,0.9999999999999999
152,flexible schedule,10,,0.8181818181818182
113,free food,10,,0.8181818181818182
42,flexible hours,8,,0.6363636363636364
16,free meal,8,,0.6363636363636364
24,fast paced,7,,0.5454545454545454
40,people work,6,,0.4545454545454545
266,good food,6,,0.4545454545454545
85,food good,5,,0.36363636363636365
18,every shift,5,,0.36363636363636365
25,paced environment,4,,0.2727272727272727
886,place work,4,,0.2727272727272727
17,meal every,4,,0.2727272727272727
28,easy job,4,,0.2727272727272727
112,get free,4,,0.2727272727272727
383,always busy,4,,0.2727272727272727
241,flexible scheduling,4,,0.2727272727272727
41,work flexible,3,,0.1818181818181818
338,decent money,3,,0.1818181818181818
260,make good,3,,0.1818181818181818
210,food great,3,,0.1818181818181818
734,money great,3,,0.1818181818181818
538,great food,3,,0.1818181818181818
471,great pay,3,,0.1818181818181818
476,pretty easy,3,,0.1818181818181818
115,non tipped,3,,0.1818181818181818
220,fun environment,3,,0.1818181818181818
448,fun atmosphere,3,,0.1818181818181818
74,opportunity move,3,,0.1818181818181818
129,great co,3,,0.1818181818181818
318,food always,3,,0.1818181818181818
518,easy get,3,,0.1818181818181818
901,nice coworkers,3,,0.1818181818181818
527,fun work,3,,0.1818181818181818
551,flexible good,2,,0.09090909090909091
515,people really,2,,0.09090909090909091
96,great place,2,,0.09090909090909091
1023,free employee,2,,0.09090909090909091
286,free meals,2,,0.09090909090909091
483,paced great,2,,0.09090909090909091
90,good learning,2,,0.09090909090909091
1208,want take,2,,0.09090909090909091
184,4 5,2,,0.09090909090909091
84,decent food,2,,0.09090909090909091
83,tips decent,2,,0.09090909090909091
477,easy flexible,2,,0.09090909090909091
519,get along,2,,0.09090909090909091
849,move good,2,,0.09090909090909091
371,easy money,2,,0.09090909090909091
488,great money,2,,0.09090909090909091
917,good environment,2,,0.09090909090909091
1209,take years,2,,0.09090909090909091
1343,good good,2,,0.09090909090909091
880,make decent,2,,0.09090909090909091
537,place great,2,,0.09090909090909091
116,tipped employee,2,,0.09090909090909091
1210,years takes,2,,0.09090909090909091
728,learn new,2,,0.09090909090909091
1211,takes work,2,,0.09090909090909091
887,work easy,2,,0.09090909090909091
888,money easy,2,,0.09090909090909091
1212,work way,2,,0.09090909090909091
509,team members,2,,0.09090909090909091
894,work free,2,,0.09090909090909091
645,pick shifts,2,,0.09090909090909091
137,hosts good,2,,0.09090909090909091
918,environment work,2,,0.09090909090909091
295,hot schedules,2,,0.09090909090909091
293,new people,2,,0.09090909090909091
292,meet new,2,,0.09090909090909091
238,friends working,2,,0.09090909090909091
1435,short shifts,2,,0.09090909090909091
1439,hours flexible,2,,0.09090909090909091
265,coworkers good,2,,0.09090909090909091
826,discount food,2,,0.09090909090909091
608,easy swap,2,,0.09090909090909091
1003,move company,2,,0.09090909090909091
43,hours great,2,,0.09090909090909091
277,tips flexible,2,,0.09090909090909091
218,decent pay,2,,0.09090909090909091
1001,great way,2,,0.09090909090909091
256,really nice,2,,0.09090909090909091
408,good flexible,2,,0.09090909090909091
23,fun fast,2,,0.09090909090909091
1284,friendly coworkers,2,,0.09090909090909091
247,serving job,2,,0.09090909090909091
413,workers awesome,2,,0.09090909090909091
414,awesome employees,2,,0.09090909090909091
416,one free,2,,0.09090909090909091
417,meal per,2,,0.09090909090909091
1121,good pay,2,,0.09090909090909091
982,serving shifts,2,,0.09090909090909091
423,friendly staff,2,,0.09090909090909091
785,environment easy,2,,0.09090909090909091
786,job flexible,2,,0.09090909090909091
264,awesome coworkers,2,,0.09090909090909091
522,great people,2,,0.09090909090909091
69,good management,2,,0.09090909090909091
373,50 food,2,,0.09090909090909091
276,good tips,2,,0.09090909090909091
381,good hours,2,,0.09090909090909091
1038,tips large,1,,0.0
1013,beer extensive,1,,0.0
1014,extensive menu,1,,0.0
1018,place youcan,1,,0.0
1034,min wage,1,,0.0
1035,wage hourly,1,,0.0
1036,hourly plus,1,,0.0
993,weaker servers,1,,0.0
1015,menu fast,1,,0.0
1037,plus tips,1,,0.0
1007,things positive,1,,0.0
1012,love beer,1,,0.0
992,servers weaker,1,,0.0
1039,large group,1,,0.0
1017,bjs place,1,,0.0
991,stronger servers,1,,0.0
1040,group friendly,1,,0.0
990,money stronger,1,,0.0
1043,staff get,1,,0.0
989,tables good,1,,0.0
1016,environment bjs,1,,0.0
1041,staff members,1,,0.0
1042,members staff,1,,0.0
994,servers got,1,,0.0
1019,youcan easily,1,,0.0
1024,employee meal,1,,0.0
1009,energy good,1,,0.0
1025,meal fun,1,,0.0
1026,atmosphere good,1,,0.0
1027,good fun,1,,0.0
1006,new things,1,,0.0
1008,positive energy,1,,0.0
1028,fun incentives,1,,0.0
1005,way learn,1,,0.0
1029,incentives conteststhe,1,,0.0
1030,conteststhe money,1,,0.0
1031,money good,1,,0.0
1004,company fast,1,,0.0
1022,hours free,1,,0.0
995,got smaller,1,,0.0
1010,good moneyif,1,,0.0
1021,company flexible,1,,0.0
1020,easily move,1,,0.0
1000,cocktail great,1,,0.0
1032,good easy,1,,0.0
1033,job min,1,,0.0
999,work cocktail,1,,0.0
998,best work,1,,0.0
997,sections best,1,,0.0
996,smaller sections,1,,0.0
1011,moneyif love,1,,0.0
1002,way move,1,,0.0
0,gm great,1,,0.0
1044,get together,1,,0.0
1097,picking dropping,1,,0.0
1105,hours tips,1,,0.0
1104,decent work,1,,0.0
1103,pretty decent,1,,0.0
1102,management pretty,1,,0.0
1101,seamless management,1,,0.0
1100,shifts seamless,1,,0.0
1099,work shifts,1,,0.0
1098,dropping work,1,,0.0
1096,makes picking,1,,0.0
1045,together trainer,1,,0.0
1095,schedules makes,1,,0.0
1094,shift hot,1,,0.0
1093,per shift,1,,0.0
1092,receive one,1,,0.0
1091,takeout receive,1,,0.0
1090,timeas takeout,1,,0.0
1089,great timeas,1,,0.0
1088,pace great,1,,0.0
1106,tips every,1,,0.0
1107,every time,1,,0.0
1108,time work,1,,0.0
1109,free 50,1,,0.0
1127,opportunityas non,1,,0.0
1126,advancement opportunityas,1,,0.0
1125,great advancement,1,,0.0
1124,studentgood money,1,,0.0
1123,college studentgood,1,,0.0
1122,pay college,1,,0.0
1120,everyone good,1,,0.0
1119,friendships everyone,1,,0.0
1118,great friendships,1,,0.0
1117,build great,1,,0.0
1116,great build,1,,0.0
1115,employees great,1,,0.0
1114,customersthe employees,1,,0.0
1113,okay customersthe,1,,0.0
1112,coworkerstips okay,1,,0.0
1111,fun coworkerstips,1,,0.0
1110,food fun,1,,0.0
1087,fast pace,1,,0.0
1086,enviroment fast,1,,0.0
1085,cashfun enviroment,1,,0.0
1064,short timer,1,,0.0
1062,staff realized,1,,0.0
1061,first staff,1,,0.0
1060,cold first,1,,0.0
1059,bjs cold,1,,0.0
1058,experience bjs,1,,0.0
988,5 tables,1,,0.0
1056,want gomy,1,,0.0
1055,vision want,1,,0.0
1054,good vision,1,,0.0
1053,concepts good,1,,0.0
1052,compared concepts,1,,0.0
1051,bonus compared,1,,0.0
1050,good bonus,1,,0.0
1049,schooling good,1,,0.0
1048,schedule schooling,1,,0.0
1047,outing flexible,1,,0.0
1046,trainer outing,1,,0.0
1063,realized short,1,,0.0
1065,timer became,1,,0.0
1084,job cashfun,1,,0.0
1066,became friendly,1,,0.0
1083,side job,1,,0.0
1082,good side,1,,0.0
1081,ability move,1,,0.0
1080,beer ability,1,,0.0
1079,great beer,1,,0.0
1078,restaurant great,1,,0.0
1077,nice restaurant,1,,0.0
1076,workers nice,1,,0.0
1075,tips great,1,,0.0
1074,decent tips,1,,0.0
1073,opportunities make,1,,0.0
1072,goodbusy opportunities,1,,0.0
1071,beers goodbusy,1,,0.0
1070,schedule beers,1,,0.0
1069,ok flexible,1,,0.0
1068,tips ok,1,,0.0
1067,friendly tips,1,,0.0
1057,gomy experience,1,,0.0
964,friends completely,1,,0.0
987,get 4,1,,0.0
850,learning experience,1,,0.0
859,clean time,1,,0.0
858,super clean,1,,0.0
857,kitchen super,1,,0.0
856,restaurant kitchen,1,,0.0
855,franchise restaurant,1,,0.0
854,working franchise,1,,0.0
853,continue working,1,,0.0
852,intend continue,1,,0.0
851,experience intend,1,,0.0
848,room move,1,,0.0
837,edge systems,1,,0.0
847,pay room,1,,0.0
846,managers decent,1,,0.0
845,kitchen managers,1,,0.0
844,good kitchen,1,,0.0
843,culture free,1,,0.0
842,fun culture,1,,0.0
841,equipment fun,1,,0.0
840,tech equipment,1,,0.0
839,high tech,1,,0.0
860,time bj,1,,0.0
861,bj provides,1,,0.0
862,provides good,1,,0.0
863,good chance,1,,0.0
883,hoursgood money,1,,0.0
882,put hoursgood,1,,0.0
881,money put,1,,0.0
879,perkscasual make,1,,0.0
878,food perkscasual,1,,0.0
877,ok food,1,,0.0
876,managers ok,1,,0.0
875,ok managers,1,,0.0
874,people ok,1,,0.0
873,management meet,1,,0.0
872,stellar management,1,,0.0
871,less stellar,1,,0.0
870,dealing less,1,,0.0
869,experience dealing,1,,0.0
868,experience experience,1,,0.0
867,service experience,1,,0.0
866,customer service,1,,0.0
865,gain customer,1,,0.0
864,chance gain,1,,0.0
838,systems high,1,,0.0
836,employeecutting edge,1,,0.0
885,regularsgreat place,1,,0.0
801,kitchen good,1,,0.0
810,dish pit,1,,0.0
809,least dish,1,,0.0
808,backs least,1,,0.0
807,others backs,1,,0.0
806,watch others,1,,0.0
805,best watch,1,,0.0
804,coworkers best,1,,0.0
803,natured coworkers,1,,0.0
802,good natured,1,,0.0
800,stocked kitchen,1,,0.0
835,friendly employeecutting,1,,0.0
799,well stocked,1,,0.0
798,modern well,1,,0.0
797,food modern,1,,0.0
796,world good,1,,0.0
795,promised world,1,,0.0
794,long promised,1,,0.0
793,work long,1,,0.0
792,man work,1,,0.0
791,nice man,1,,0.0
811,pit let,1,,0.0
812,let honest,1,,0.0
813,honest job,1,,0.0
814,job job,1,,0.0
834,pay friendly,1,,0.0
833,free great,1,,0.0
832,eat free,1,,0.0
831,hostesses eat,1,,0.0
830,kitchen hostesses,1,,0.0
829,bartender kitchen,1,,0.0
828,server bartender,1,,0.0
827,food server,1,,0.0
825,percent discount,1,,0.0
824,50 percent,1,,0.0
823,get 50,1,,0.0
822,also get,1,,0.0
821,money also,1,,0.0
820,make great,1,,0.0
819,pros make,1,,0.0
818,really pros,1,,0.0
817,workers really,1,,0.0
816,nice co,1,,0.0
815,schedule nice,1,,0.0
884,money regularsgreat,1,,0.0
889,get tickets,1,,0.0
986,would get,1,,0.0
952,easy work,1,,0.0
961,bj make,1,,0.0
960,working bj,1,,0.0
959,say working,1,,0.0
958,thing say,1,,0.0
957,good thing,1,,0.0
956,growththe good,1,,0.0
955,opportunity growththe,1,,0.0
954,money opportunity,1,,0.0
953,schedule good,1,,0.0
951,whole easy,1,,0.0
940,shoft youre,1,,0.0
950,company whole,1,,0.0
949,days company,1,,0.0
948,scheduling days,1,,0.0
947,work scheduling,1,,0.0
946,willing work,1,,0.0
945,along willing,1,,0.0
944,people pretty,1,,0.0
943,worker people,1,,0.0
942,tipped worker,1,,0.0
962,make lot,1,,0.0
963,lot friends,1,,0.0
1129,shift work,1,,0.0
965,completely hire,1,,0.0
985,even would,1,,0.0
984,week even,1,,0.0
983,shifts week,1,,0.0
981,2 serving,1,,0.0
980,got 2,1,,0.0
979,lucky got,1,,0.0
978,shifts lucky,1,,0.0
977,fighting shifts,1,,0.0
976,always fighting,1,,0.0
975,everyone always,1,,0.0
974,servers everyone,1,,0.0
973,80 servers,1,,0.0
972,hiring 80,1,,0.0
971,ended hiring,1,,0.0
970,city ended,1,,0.0
969,opened city,1,,0.0
968,restaurant opened,1,,0.0
967,new restaurant,1,,0.0
966,hire new,1,,0.0
941,youre tipped,1,,0.0
939,every shoft,1,,0.0
890,tickets easy,1,,0.0
903,face face,1,,0.0
912,work co,1,,0.0
911,love people,1,,0.0
910,selli love,1,,0.0
909,food selli,1,,0.0
908,beers food,1,,0.0
907,easy beers,1,,0.0
906,work fun,1,,0.0
905,interactiongreat place,1,,0.0
904,face interactiongreat,1,,0.0
902,coworkers face,1,,0.0
938,food every,1,,0.0
900,nice nice,1,,0.0
899,shift nice,1,,0.0
898,members get,1,,0.0
897,shifthourly team,1,,0.0
896,work shifthourly,1,,0.0
895,food work,1,,0.0
893,cool people,1,,0.0
892,sidework cool,1,,0.0
891,easy sidework,1,,0.0
913,awesome reason,1,,0.0
914,reason go,1,,0.0
915,go work,1,,0.0
916,work good,1,,0.0
937,give free,1,,0.0
936,thwy give,1,,0.0
935,environment thwy,1,,0.0
934,safe environment,1,,0.0
933,management safe,1,,0.0
932,people good,1,,0.0
931,friendly people,1,,0.0
930,money friendly,1,,0.0
929,eveninggreat money,1,,0.0
928,morning eveninggreat,1,,0.0
927,food morning,1,,0.0
926,really good,1,,0.0
925,work really,1,,0.0
924,lot fun,1,,0.0
923,work lot,1,,0.0
922,go good,1,,0.0
921,fun go,1,,0.0
920,lots fun,1,,0.0
919,work lots,1,,0.0
1128,employee get,1,,0.0
1156,rewards card,1,,0.0
1130,work like,1,,0.0
1384,really add,1,,0.0
1382,depending busy,1,,0.0
1381,shift depending,1,,0.0
1380,tips shift,1,,0.0
1379,cut tips,1,,0.0
1378,get cut,1,,0.0
1377,boy get,1,,0.0
1376,bus boy,1,,0.0
1375,better bus,1,,0.0
1374,much better,1,,0.0
1373,nights much,1,,0.0
1372,days nights,1,,0.0
1371,makes days,1,,0.0
1370,work makes,1,,0.0
1369,manager work,1,,0.0
1368,gem manager,1,,0.0
1367,get gem,1,,0.0
1366,every get,1,,0.0
1365,awesome every,1,,0.0
1364,work awesome,1,,0.0
1383,busy really,1,,0.0
1385,add food,1,,0.0
1131,like interacting,1,,0.0
1386,food discount,1,,0.0
1405,coworkers great,1,,0.0
1404,money nice,1,,0.0
1403,tipsgood money,1,,0.0
1402,money tipsgood,1,,0.0
1401,offmake good,1,,0.0
1400,time offmake,1,,0.0
1399,give time,1,,0.0
1398,likely give,1,,0.0
1397,host likely,1,,0.0
1396,food host,1,,0.0
1395,dependent free,1,,0.0
1394,location dependent,1,,0.0
1393,far location,1,,0.0
1392,lucrative far,1,,0.0
1391,events lucrative,1,,0.0
1390,parties events,1,,0.0
1389,thing parties,1,,0.0
1388,related thing,1,,0.0
1387,food related,1,,0.0
1363,tothe people,1,,0.0
1362,transfer tothe,1,,0.0
1361,locations transfer,1,,0.0
1360,many locations,1,,0.0
1336,life except,1,,0.0
1335,way life,1,,0.0
1334,good way,1,,0.0
1333,attainable good,1,,0.0
1332,bonuses attainable,1,,0.0
1331,good bonuses,1,,0.0
1330,benefits good,1,,0.0
1329,shifts benefits,1,,0.0
1328,execute shifts,1,,0.0
1327,tools execute,1,,0.0
1326,great tools,1,,0.0
1325,sales great,1,,0.0
1324,reliable sales,1,,0.0
1323,return reliable,1,,0.0
1322,interest return,1,,0.0
1321,creates interest,1,,0.0
1320,drink creates,1,,0.0
1319,guests drink,1,,0.0
1318,selection guests,1,,0.0
1337,except general,1,,0.0
1338,general managers,1,,0.0
1339,managers lived,1,,0.0
1351,experience system,1,,0.0
1359,serving many,1,,0.0
1358,volume serving,1,,0.0
1357,high volume,1,,0.0
1356,training high,1,,0.0
1355,good training,1,,0.0
1354,everything good,1,,0.0
1353,place everything,1,,0.0
1352,system place,1,,0.0
1350,even experience,1,,0.0
1340,lived restaurant,1,,0.0
1349,volume even,1,,0.0
1348,two volume,1,,0.0
1347,thing two,1,,0.0
1346,teaches thing,1,,0.0
