,name,count,pos,norm
24,fast paced,4,,1.0
110,good money,4,,1.0
130,co workers,4,,1.0
40,people work,3,,0.6666666666666667
25,paced environment,3,,0.6666666666666667
16,free meal,3,,0.6666666666666667
113,free food,3,,0.6666666666666667
152,flexible schedule,3,,0.6666666666666667
42,flexible hours,3,,0.6666666666666667
85,food good,3,,0.6666666666666667
266,good food,3,,0.6666666666666667
115,non tipped,2,,0.3333333333333333
23,fun fast,2,,0.3333333333333333
112,get free,2,,0.3333333333333333
260,make good,2,,0.3333333333333333
210,food great,2,,0.3333333333333333
247,serving job,2,,0.3333333333333333
527,fun work,2,,0.3333333333333333
28,easy job,2,,0.3333333333333333
408,good flexible,2,,0.3333333333333333
476,pretty easy,2,,0.3333333333333333
286,free meals,2,,0.3333333333333333
318,food always,2,,0.3333333333333333
383,always busy,2,,0.3333333333333333
18,every shift,2,,0.3333333333333333
17,meal every,2,,0.3333333333333333
238,friends working,2,,0.3333333333333333
84,decent food,2,,0.3333333333333333
399,matter vision,1,,0.0
381,good hours,1,,0.0
382,hours always,1,,0.0
403,level gm,1,,0.0
402,director level,1,,0.0
401,great director,1,,0.0
400,vision great,1,,0.0
384,busy employee,1,,0.0
385,employee discountsdiscounted,1,,0.0
386,discountsdiscounted food,1,,0.0
393,great peoplethe,1,,0.0
387,good ppa,1,,0.0
392,met great,1,,0.0
398,craft matter,1,,0.0
388,ppa therefore,1,,0.0
397,awesome craft,1,,0.0
389,therefore tipsflexible,1,,0.0
396,statement awesome,1,,0.0
395,mission statement,1,,0.0
394,peoplethe mission,1,,0.0
405,level cover,1,,0.0
390,tipsflexible schedule,1,,0.0
391,schedule met,1,,0.0
404,gm level,1,,0.0
0,gm great,1,,0.0
406,cover look,1,,0.0
425,food free,1,,0.0
427,food beergood,1,,0.0
428,beergood tips,1,,0.0
429,tips challenging,1,,0.0
430,challenging work,1,,0.0
431,work placegood,1,,0.0
432,placegood money,1,,0.0
433,money made,1,,0.0
434,made opportunity,1,,0.0
435,opportunity advancement,1,,0.0
436,advancement reward,1,,0.0
437,reward recognition,1,,0.0
438,recognition green,1,,0.0
439,green aprons,1,,0.0
440,aprons pins,1,,0.0
441,pins bonuses,1,,0.0
426,busy food,1,,0.0
424,staff good,1,,0.0
407,look good,1,,0.0
423,friendly staff,1,,0.0
409,schedule easy,1,,0.0
410,easy transfer,1,,0.0
411,transfer locationsmy,1,,0.0
379,think volume,1,,0.0
412,locationsmy co,1,,0.0
413,workers awesome,1,,0.0
414,awesome employees,1,,0.0
415,employees one,1,,0.0
416,one free,1,,0.0
417,meal per,1,,0.0
418,per 8,1,,0.0
419,8 hour,1,,0.0
420,hour shiftflexible,1,,0.0
421,shiftflexible schedule,1,,0.0
422,schedule friendly,1,,0.0
380,volume good,1,,0.0
372,money 50,1,,0.0
378,people think,1,,0.0
333,ish decent,1,,0.0
327,family decent,1,,0.0
328,food potential,1,,0.0
329,potential make,1,,0.0
330,money flexibility,1,,0.0
331,flexibility time,1,,0.0
332,time ish,1,,0.0
334,decent managers,1,,0.0
325,coworkers become,1,,0.0
335,managers depending,1,,0.0
336,depending fast,1,,0.0
337,fast decent,1,,0.0
338,decent money,1,,0.0
339,money depending,1,,0.0
340,depending location,1,,0.0
326,become family,1,,0.0
324,great coworkers,1,,0.0
342,ex allen,1,,0.0
314,known fastes,1,,0.0
308,pick shiftsthe,1,,0.0
309,shiftsthe money,1,,0.0
310,money fast,1,,0.0
311,fast good,1,,0.0
312,good lewisville,1,,0.0
313,lewisville known,1,,0.0
315,fastes bj,1,,0.0
323,working great,1,,0.0
316,bj area,1,,0.0
317,area food,1,,0.0
319,always good,1,,0.0
320,good get,1,,0.0
321,get half,1,,0.0
322,half working,1,,0.0
341,location ex,1,,0.0
343,allen makes,1,,0.0
377,crazy people,1,,0.0
369,like serving,1,,0.0
363,phenomenal managers,1,,0.0
364,managers cared,1,,0.0
365,cared would,1,,0.0
366,would bend,1,,0.0
367,bend backwards,1,,0.0
368,backwards like,1,,0.0
370,job easy,1,,0.0
361,beer education,1,,0.0
371,easy money,1,,0.0
443,plus free,1,,0.0
373,50 food,1,,0.0
374,food shiftgood,1,,0.0
375,shiftgood people,1,,0.0
376,work crazy,1,,0.0
362,education phenomenal,1,,0.0
360,depth beer,1,,0.0
344,makes plano,1,,0.0
351,heard allow,1,,0.0
345,plano seniority,1,,0.0
346,seniority possibly,1,,0.0
347,possibly allowed,1,,0.0
348,allowed work,1,,0.0
349,work ft,1,,0.0
350,ft heard,1,,0.0
352,allow certain,1,,0.0
359,goodthe depth,1,,0.0
353,certain number,1,,0.0
354,number people,1,,0.0
355,people benefits,1,,0.0
356,benefits money,1,,0.0
357,money pretty,1,,0.0
358,pretty goodthe,1,,0.0
442,bonuses plus,1,,0.0
453,never know,1,,0.0
444,meals good,1,,0.0
544,servers moving,1,,0.0
538,great food,1,,0.0
539,food lots,1,,0.0
540,lots opportunity,1,,0.0
541,opportunity money,1,,0.0
542,money decent,1,,0.0
543,decent servers,1,,0.0
