year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2009Q1,0.01,1418482539.7,0.257485,0.01,0.01,0.01,0.01,-4517460.3,0.01,1890000000.0,403000000.0,2293000000.0,263000000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,110300214000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0601,0.01,0.01,0.618443,0.416228,0.341986,0.343075,0.258305,0.381557,0.15992,0.116537,0.276457,0.75291,1.0,0.24709,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.555133,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1418482539.7,0.257485,0.343075
2009Q2,0.029026,1499401939.7,0.271483,12156925000.0,0.01,0.01,0.01,14401939.7,-19437931000.0,1856000000.0,377000000.0,2233000000.0,139000000.0,2489885000.0,21833891000.0,21833891000.0,0.01,0.01,-19437931000.0,31594856000.0,99.1367,81.2725,134360733000.0,114922802000.0,4.2526,5.1874,0.01,0.01,0.01,0.01,9.4533,0.01,0.01,0.01,0.01,14.0726,0.01,0.01,0.134552,0.246154,0.190485,0.188776,0.01,0.01,0.01,0.002541,-0.026167,-0.017989,0.057046,0.04357,0.037862,-0.284889,0.01,0.01,0.618323,0.404309,0.339308,0.336049,0.268876,0.381677,0.150824,0.128191,0.279015,0.800108,1.0,0.199892,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.6152,1.1128,1.1128,0.01,0.01,0.01,-0.000741,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11.57554,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11.9117,11.0177,0.01,0.01,0.01,1499401939.7,0.271483,0.336049
2009Q3,0.072835,1644550556.4,0.276628,11616990000.0,0.01,0.01,0.01,5550556.4,-22104763000.0,2067000000.0,379000000.0,2446000000.0,187000000.0,2037379000.0,24031770000.0,24031770000.0,0.01,0.01,-22104763000.0,33721753000.0,105.5454,87.7912,158424075000.0,136319312000.0,4.698,5.6481,0.01,0.01,0.01,0.01,11.7345,0.01,0.01,0.01,0.01,15.6555,0.01,0.190251,0.238628,0.291325,0.270604,0.263547,0.247621,0.01,0.01,0.076408,0.095387,0.113685,0.096804,0.103704,0.100858,0.69422,0.01,-0.044414,0.625568,0.411438,0.348865,0.347687,0.275694,0.374432,0.149201,0.127502,0.276703,0.792937,1.0,0.207063,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.6555,1.1181,1.1181,0.01,0.01,0.01,-0.000251,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.57754,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11.3506,10.6822,0.01,0.01,0.01,1644550556.4,0.276628,0.347687
2009Q4,0.01,1905389408.1,0.285494,11390000000.0,2.0765,0.01,0.01,-67610591.9,-24614000000.0,2568000000.0,365000000.0,2933000000.0,221000000.0,1935000000.0,26420000000.0,26420000000.0,0.01,0.01,-24614000000.0,36004000000.0,112.6886,94.9171,198083610000.0,173469610000.0,5.5017,6.5318,8.3753,30.3809,0.01,0.032915,15.23,7.3346,17.5133,20.698,26.8266,18.6206,0.01,0.01,0.01,0.01,0.01,0.01,0.286725,0.01,0.01,0.122624,0.199101,0.24238,0.158608,0.203783,0.194932,0.001834,0.01,-0.019539,0.639197,0.439467,0.371591,0.384777,0.295625,0.360803,0.157477,0.110129,0.267606,0.768302,1.0,0.231698,0.6546,8.1272,0.01,4.6932,44.8929,44.9108,0.01,8.1305,36.7803,-0.6836,1.1249,1.1249,0.01,0.01,0.592821,0.002747,0.590074,-0.403402,0.189419,0.64831,0.251862,0.193506,0.01,0.189419,0.01,0.01,12.357466,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,28.7227,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10.6178,10.0703,0.081815,1.117078,1.117078,1905389408.1,0.285494,0.384777
2010Q1,0.229806,1940957701.5,0.286488,11615000000.0,2.1452,0.01,0.01,-14042298.5,-26668000000.0,2506000000.0,331000000.0,2837000000.0,239000000.0,1696000000.0,28210000000.0,28210000000.0,0.01,0.01,-26668000000.0,38283000000.0,118.6702,100.3441,182952912000.0,156284912000.0,4.779,5.6518,7.3425,25.9434,0.01,0.038545,13.4554,6.2722,14.9569,17.3708,22.3631,16.1953,0.01,0.237244,0.325926,0.368334,0.373858,0.349666,0.148444,0.01,0.01,0.015133,-0.032731,-0.024143,0.018667,-0.009123,-0.011419,-0.053826,0.01,0.019754,0.638081,0.418745,0.367232,0.369889,0.288561,0.361919,0.150111,0.120738,0.270849,0.780128,1.0,0.219872,0.5812,8.0794,0.01,5.2204,27.9453,45.1764,0.01,13.0612,32.1152,-0.6966,1.1198,1.1198,0.01,0.01,0.614587,0.000527,0.61406,-0.427755,0.186831,0.01,0.214983,0.167714,0.01,0.186831,0.01,0.013755,10.811715,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,26.2063,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10.6543,10.1294,0.068066,1.132159,1.132159,1940957701.5,0.286488,0.369889
2010Q2,0.234836,1787838948.2,0.262146,13047000000.0,2.0802,890075000.0,897763948.2,-52161051.8,-27566000000.0,2434000000.0,342000000.0,2776000000.0,476000000.0,2225000000.0,32284000000.0,29414000000.0,2870000000.0,0.01,-27566000000.0,43483000000.0,126.049,105.2793,143362890000.0,115796890000.0,3.53,4.2264,5.4689,19.3551,0.01,0.051666,8.8754,4.4174,10.5347,12.0937,15.9126,11.4356,0.01,0.243171,0.311422,0.192368,0.239057,0.225322,0.295836,0.01,0.073215,0.006642,-0.021502,-0.028731,-0.078888,-0.058824,-0.057756,-0.193111,0.01,0.123289,0.63827,0.407038,0.346774,0.356891,0.269795,0.36173,0.159824,0.131672,0.291496,0.755957,1.0,0.244043,0.6301,8.7236,0.01,5.2819,30.8702,41.8406,0.01,11.8237,30.0169,-0.651,1.1523,1.1523,0.01,0.0707,0.545305,0.002219,0.543085,-0.353523,0.191782,0.01,0.224883,0.170002,0.01,0.191782,0.01,0.108141,4.380252,0.066003,0.01,0.066003,0.01,0.01,0.933997,0.2611,-2.5078,0.01,0.3944,-3.7881,0.01,13.6962,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6.1181,5.806,0.084878,1.231556,1.122072,1787838948.2,0.262146,0.356891
2010Q3,0.225568,2033658437.7,0.279119,13533000000.0,2.1913,1916010000.0,117648437.7,-133341562.3,-29757000000.0,2714000000.0,342000000.0,3056000000.0,758000000.0,1645000000.0,35900000000.0,30917000000.0,4983000000.0,0.01,-29757000000.0,48273000000.0,134.2326,112.2419,169567275000.0,139810275000.0,3.917,4.6844,6.1538,21.3695,0.01,0.046796,10.3311,5.0739,12.0505,13.6774,18.2293,13.5923,0.01,0.249387,0.313014,0.236604,0.322148,0.309942,0.058694,0.01,0.164932,0.068328,0.100865,0.115037,0.137495,0.177717,0.176883,0.384173,-0.868954,0.03725,0.649739,0.419435,0.349575,0.372495,0.29742,0.350261,0.163739,0.136426,0.300165,0.798452,1.0,0.201548,0.6053,8.5796,0.01,5.2871,27.4134,42.5425,0.01,13.3147,29.2279,-0.6734,1.1822,1.1822,0.01,0.1151,0.61162,0.005142,0.606477,-0.408418,0.203202,0.01,0.225474,0.18003,0.01,0.203202,0.01,0.100945,3.807388,0.103225,0.01,0.103225,0.01,0.01,0.896775,0.4295,-2.5648,0.01,0.6497,-3.8799,0.01,12.166,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.6245,4.4397,0.059699,1.302849,1.122011,2033658437.7,0.279119,0.372495
2010Q4,0.264609,2412693507.3,0.285864,15819000000.0,2.1552,4429000000.0,-2016306492.7,-130306492.7,-30422000000.0,3142000000.0,381000000.0,3523000000.0,2545000000.0,1667000000.0,37392000000.0,31566000000.0,5826000000.0,0.01,-30422000000.0,52067000000.0,143.0281,120.4485,192030501000.0,161608501000.0,4.1528,4.9313,6.5492,22.5785,0.01,0.04429,10.2161,5.5117,13.2553,14.9693,19.7612,14.5843,43.1063,0.201159,0.22352,0.266247,0.2889,0.275693,0.291102,0.01,0.38885,0.158386,0.152814,0.157701,0.186381,0.173512,0.16369,0.22176,-18.138404,0.16892,0.650948,0.417417,0.353199,0.372275,0.301303,0.349052,0.173104,0.124645,0.297749,0.809357,1.0,0.190643,0.5963,7.8926,0.01,4.6526,29.8054,46.2459,0.01,12.2461,33.9998,-0.6692,1.1958,1.1958,0.01,0.126,0.616107,0.004735,0.611371,-0.409112,0.206994,0.275575,0.221976,0.179658,0.01,0.206994,0.01,0.09418,1.385462,0.111894,0.01,0.111894,0.01,0.01,0.888106,0.4779,-2.4952,0.01,0.7124,-3.72,0.01,11.9393,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.1579,3.9993,0.056853,1.275263,1.076566,2412693507.3,0.285864,0.372275
2011Q1,0.265683,1725839464.9,0.201264,16031000000.0,2.2514,4416000000.0,-2690160535.1,-72160535.1,-32820000000.0,2392000000.0,401000000.0,2793000000.0,890000000.0,1824000000.0,39074000000.0,33978000000.0,5096000000.0,0.01,-32820000000.0,53947000000.0,149.7119,127.2663,191459788000.0,158639788000.0,3.9193,4.6105,6.1521,22.9348,0.01,0.043602,9.8958,5.0975,13.0589,14.8511,19.9228,13.595,44.7286,-0.015509,-0.045491,-0.110831,-0.080307,-0.090759,0.227554,0.01,0.380198,0.015995,-0.20721,-0.238701,-0.284684,-0.292961,-0.295396,-0.100397,-0.334202,0.013402,0.657609,0.325714,0.267755,0.27895,0.209679,0.342391,0.188571,0.142974,0.389854,0.751672,1.0,0.248328,0.6053,8.5263,0.01,4.7798,25.8012,42.8087,0.01,14.1466,28.6621,-0.6827,1.1801,1.1801,0.01,0.1043,0.453124,0.002426,0.450698,-0.3077,0.145424,0.256581,0.168844,0.126916,0.01,0.145424,0.01,0.084332,3.564045,0.094463,0.01,0.094463,0.01,0.01,0.905537,0.4195,-2.7017,0.01,0.64,-4.1217,0.01,12.3642,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.641,4.4434,0.05861,1.255551,1.091803,2101675585.3,0.245093,0.27895
2011Q2,0.32346,2339353322.5,0.259179,17098000000.0,2.2111,4051000000.0,-1711646677.5,-165646677.5,-34893000000.0,3085000000.0,455000000.0,3540000000.0,917000000.0,1659000000.0,41797000000.0,38644000000.0,6138000000.0,2985000000.0,-34893000000.0,58129000000.0,159.3838,134.6812,165181156000.0,130288156000.0,3.1771,3.7598,4.9564,18.327,0.01,0.054564,7.6201,3.9094,10.0905,11.4964,15.3036,9.9434,29.1958,0.275216,0.267461,0.308481,0.361413,0.345009,0.68777,-2.906567,0.310493,0.052595,0.267454,0.289716,0.355487,0.393215,0.393829,0.109395,0.363738,0.066559,0.648571,0.3922,0.319189,0.34179,0.277532,0.351429,0.192666,0.136716,0.329382,0.811994,1.0,0.188006,0.5903,8.5629,0.01,4.7873,24.0788,42.6255,0.01,15.1585,27.467,-0.6745,1.2192,1.2192,0.0574,0.1181,0.573075,0.005304,0.567771,-0.382947,0.190128,0.296073,0.201776,0.163841,0.01,0.190128,0.01,0.01,3.837514,0.054241,0.051351,0.105593,0.01,0.01,0.894407,0.4754,-2.7024,0.2312,0.721,-4.0985,0.3506,9.7809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.9556,5.7212,0.049779,1.254148,1.15954,2339353322.5,0.259179,0.34179
