,name,count,pos
89,good,87,NOUN
73,work,80,NOUN
57,management,47,NOUN
87,money,44,NOUN
35,people,34,NOUN
93,food,33,NOUN
27,make,30,NOUN
31,environment,27,NOUN
10,team,27,NOUN
178,managers,26,NOUN
223,hours,25,NOUN
195,fun,25,NOUN
228,job,22,NOUN
310,get,21,NOUN
202,company,20,NOUN
113,employees,19,NOUN
183,place,19,NOUN
45,restaurant,18,NOUN
76,staff,17,NOUN
189,schedule,16,NOUN
67,atmosphere,16,NOUN
81,server,15,NOUN
319,time,15,NOUN
105,pay,15,NOUN
159,scheduling,14,NOUN
207,workers,14,NOUN
253,tips,14,NOUN
121,training,13,NOUN
2,working,13,NOUN
110,lots,11,NOUN
127,growth,11,NOUN
86,decent,10,NOUN
32,lot,10,NOUN
234,opportunities,10,NOUN
187,move,10,NOUN
279,love,10,NOUN
250,shift,10,NOUN
126,opportunity,9,NOUN
513,shifts,9,NOUN
460,bj,9,NOUN
108,benefits,9,NOUN
308,servers,9,NOUN
236,restaurants,9,NOUN
224,room,8,NOUN
231,family,8,NOUN
98,experience,8,NOUN
303,awesome,8,NOUN
282,coworkers,8,NOUN
11,members,8,NOUN
8,care,8,NOUN
124,help,7,NOUN
229,discounts,7,NOUN
271,location,7,NOUN
314,advancement,7,NOUN
211,support,6,NOUN
168,discount,6,NOUN
161,flexibility,6,NOUN
142,willing,6,NOUN
545,college,6,NOUN
20,guest,6,NOUN
119,customers,6,NOUN
500,know,5,NOUN
272,potential,5,NOUN
620,system,5,NOUN
566,pick,5,NOUN
60,top,5,NOUN
546,student,5,NOUN
222,bonus,5,NOUN
215,schedules,5,NOUN
448,customer,5,NOUN
331,pace,5,NOUN
363,menu,5,NOUN
449,service,5,NOUN
437,minimum,5,NOUN
487,friends,5,NOUN
420,someone,5,NOUN
146,everyone,5,NOUN
434,host,5,NOUN
61,line,4,NOUN
711,amount,4,NOUN
439,way,4,NOUN
241,program,4,NOUN
438,wage,4,NOUN
286,culture,4,NOUN
655,understanding,4,NOUN
235,locations,4,NOUN
450,salary,4,NOUN
233,career,4,NOUN
559,part,4,NOUN
249,meal,4,NOUN
70,store,4,NOUN
311,meals,4,NOUN
366,amp,4,NOUN
78,tables,4,NOUN
128,industry,4,NOUN
532,sales,4,NOUN
482,school,4,NOUN
388,structure,3,NOUN
669,manager,3,NOUN
806,silverware,3,NOUN
395,position,3,NOUN
668,kitchen,3,NOUN
475,months,3,NOUN
544,night,3,NOUN
428,years,3,NOUN
579,talk,3,NOUN
489,advance,3,NOUN
474,ability,3,NOUN
182,energy,3,NOUN
220,days,3,NOUN
112,group,3,NOUN
173,home,3,NOUN
56,machine,3,NOUN
193,employee,3,NOUN
209,beer,3,NOUN
139,something,3,NOUN
686,year,2,NOUN
163,parents,2,NOUN
23,use,2,NOUN
757,contact,2,NOUN
748,thing,2,NOUN
267,hotschedules,2,NOUN
415,breaks,2,NOUN
887,area,2,NOUN
564,others,2,NOUN
408,san,2,NOUN
47,runs,2,NOUN
578,regulars,2,NOUN
735,incentives,2,NOUN
399,end,2,NOUN
138,member,2,NOUN
191,conflicts,2,NOUN
585,promotions,2,NOUN
101,operations,2,NOUN
162,students,2,NOUN
381,runner,2,NOUN
533,labor,2,NOUN
789,everything,2,NOUN
13,building,2,NOUN
133,respect,2,NOUN
479,couple,2,NOUN
144,reason,2,NOUN
814,ex,2,NOUN
473,things,2,NOUN
780,processes,2,NOUN
823,steps,2,NOUN
776,gm,2,NOUN
831,base,2,NOUN
524,guests,2,NOUN
839,hour,2,NOUN
765,recognition,2,NOUN
18,price,2,NOUN
383,half,2,NOUN
626,values,2,NOUN
380,standard,2,NOUN
356,side,2,NOUN
720,country,2,NOUN
587,relationships,2,NOUN
628,quality,2,NOUN
328,sections,2,NOUN
706,beat,2,NOUN
621,hiring,2,NOUN
28,jobs,2,NOUN
645,build,2,NOUN
353,hostess,2,NOUN
348,practice,2,NOUN
951,skills,2,NOUN
25,technology,2,NOUN
657,availability,2,NOUN
358,depth,2,NOUN
376,appreciation,2,NOUN
599,trainer,2,NOUN
696,hourseasy,1,NOUN
777,book,1,NOUN
709,worker,1,NOUN
773,section,1,NOUN
795,teamwork,1,NOUN
683,nicegreat,1,NOUN
695,endlessgood,1,NOUN
778,ship,1,NOUN
707,cultureif,1,NOUN
788,views,1,NOUN
781,health,1,NOUN
786,guide,1,NOUN
14,saleshigh,1,NOUN
698,kegs,1,NOUN
771,volume,1,NOUN
764,comraderie,1,NOUN
715,movement,1,NOUN
766,workstaff,1,NOUN
731,tip,1,NOUN
733,compensation,1,NOUN
681,cash,1,NOUN
730,phone,1,NOUN
690,positions,1,NOUN
739,membersworks,1,NOUN
728,cover,1,NOUN
741,openings,1,NOUN
746,hotschedule,1,NOUN
727,schedulegreat,1,NOUN
752,stability,1,NOUN
725,systems,1,NOUN
758,package,1,NOUN
762,level,1,NOUN
722,trade,1,NOUN
682,hand,1,NOUN
717,bar,1,NOUN
738,crew,1,NOUN
824,uniformity,1,NOUN
799,drinks,1,NOUN
934,conceptthey,1,NOUN
908,office,1,NOUN
911,resume,1,NOUN
914,floor,1,NOUN
915,orders,1,NOUN
916,soup,1,NOUN
917,salad,1,NOUN
919,garden,1,NOUN
921,joy,1,NOUN
924,play,1,NOUN
925,travel,1,NOUN
926,options,1,NOUN
928,center,1,NOUN
929,huntington,1,NOUN
930,beach,1,NOUN
936,ways,1,NOUN
906,train,1,NOUN
938,peoplegreat,1,NOUN
939,employeesyou,1,NOUN
940,microbrewery,1,NOUN
948,everybody,1,NOUN
953,delivery,1,NOUN
954,drivers,1,NOUN
956,deliveries,1,NOUN
958,bill,1,NOUN
959,tipawesome,1,NOUN
961,switching,1,NOUN
968,clock,1,NOUN
972,girls,1,NOUN
973,extroverts,1,NOUN
975,person,1,NOUN
907,bookkeeping,1,NOUN
904,space,1,NOUN
802,computer,1,NOUN
856,employment,1,NOUN
810,passion,1,NOUN
811,alright,1,NOUN
816,pizookielots,1,NOUN
817,foods,1,NOUN
818,appearance,1,NOUN
821,conceptgreat,1,NOUN
675,nothing,1,NOUN
825,companyquick,1,NOUN
827,date,1,NOUN
833,raise,1,NOUN
834,2nd,1,NOUN
840,workplace,1,NOUN
846,tools,1,NOUN
851,adjustment,1,NOUN
859,momentum,1,NOUN
902,doors,1,NOUN
862,competitionlots,1,NOUN
864,leadership,1,NOUN
866,idea,1,NOUN
867,decorumthe,1,NOUN
870,managment,1,NOUN
876,prospects,1,NOUN
880,companymanagement,1,NOUN
881,offthe,1,NOUN
884,script,1,NOUN
891,attitudes,1,NOUN
893,goalslot,1,NOUN
894,growthif,1,NOUN
899,relationship,1,NOUN
901,occasion,1,NOUN
679,communication,1,NOUN
246,evenings,1,NOUN
673,perform,1,NOUN
153,table,1,NOUN
377,week,1,NOUN
379,gold,1,NOUN
386,unity,1,NOUN
391,mealsi,1,NOUN
400,quicklygood,1,NOUN
401,foodyou,1,NOUN
403,view,1,NOUN
404,world,1,NOUN
406,south,1,NOUN
409,francisco,1,NOUN
410,sign,1,NOUN
411,bruno,1,NOUN
412,mountain,1,NOUN
174,organizedstaff,1,NOUN
423,step,1,NOUN
425,call,1,NOUN
426,duty,1,NOUN
429,relocations,1,NOUN
431,stores,1,NOUN
433,hoursyou,1,NOUN
158,clientele,1,NOUN
156,appetizers,1,NOUN
441,turnover,1,NOUN
444,weekend,1,NOUN
445,game,1,NOUN
446,nights,1,NOUN
155,desserts,1,NOUN
373,guys,1,NOUN
194,opinions,1,NOUN
355,seat,1,NOUN
237,vacation,1,NOUN
257,moneythe,1,NOUN
263,hangs,1,NOUN
243,club,1,NOUN
242,performers,1,NOUN
276,sidework,1,NOUN
277,option,1,NOUN
240,incentive,1,NOUN
239,tech,1,NOUN
238,policy,1,NOUN
291,schedulingalways,1,NOUN
294,policies,1,NOUN
298,employeesgreat,1,NOUN
305,perks,1,NOUN
346,investment,1,NOUN
307,tippers,1,NOUN
226,growthculture,1,NOUN
218,bosses,1,NOUN
313,day,1,NOUN
214,managementmanagement,1,NOUN
316,transfer,1,NOUN
318,oportunitiesfast,1,NOUN
324,gripe,1,NOUN
326,thingsgood,1,NOUN
201,friendsgreat,1,NOUN
340,chance,1,NOUN
342,buisnessin,1,NOUN
154,sell,1,NOUN
453,house,1,NOUN
666,problems,1,NOUN
454,product,1,NOUN
556,weekends,1,NOUN
561,tgood,1,NOUN
562,workinggreat,1,NOUN
575,hoursworking,1,NOUN
576,interests,1,NOUN
44,managementthis,1,NOUN
582,challenginggood,1,NOUN
594,classes,1,NOUN
600,roles,1,NOUN
609,questions,1,NOUN
619,leadershipgreat,1,NOUN
624,studentsa,1,NOUN
256,schedulingfun,1,NOUN
631,bounds,1,NOUN
634,eastwards,1,NOUN
635,standards,1,NOUN
638,moneygreat,1,NOUN
640,traffic,1,NOUN
641,business,1,NOUN
643,managersi,1,NOUN
650,chill,1,NOUN
653,forsure,1,NOUN
658,switch,1,NOUN
659,jobslots,1,NOUN
660,healthcare,1,NOUN
663,protection,1,NOUN
665,listening,1,NOUN
552,weekdays,1,NOUN
548,gig,1,NOUN
65,sync,1,NOUN
490,titles,1,NOUN
457,expectations,1,NOUN
151,tab,1,NOUN
461,push,1,NOUN
462,limits,1,NOUN
464,packages,1,NOUN
467,self,1,NOUN
6,experienceculture,1,NOUN
481,study,1,NOUN
140,access,1,NOUN
483,managersgreat,1,NOUN
484,workfair,1,NOUN
486,alot,1,NOUN
492,coworkersgood,1,NOUN
96,upgreat,1,NOUN
496,bottom,1,NOUN
505,success,1,NOUN
508,thanksgiving,1,NOUN
510,trainers,1,NOUN
512,summer,1,NOUN
130,teams,1,NOUN
520,ticket,1,NOUN
521,totalsfree,1,NOUN
523,responsibilities,1,NOUN
525,loyalty,1,NOUN
528,hostesses,1,NOUN
538,companies,1,NOUN
976,attention,1,NOUN
