,name,count,pos
759,great work environment,5,
418,flexible hours management,4,
215,great co workers,4,
709,make good money,3,
367,great place work,3,
203,fast paced good,3,
754,good management team,3,
306,co workers good,3,
363,love co workers,2,
1587,get along well,2,
2239,great food great,2,
1682,hot schedules online,2,
1476,room growth within,2,
1269,work around schedule,2,
1297,work environment management,2,
705,easy job nice,2,
863,flexible schedule good,2,
40,like well oiled,2,
41,well oiled machine,2,
1168,flexible hours good,2,
1367,place work good,2,
1348,money flexible hours,2,
357,make great money,2,
185,place work great,2,
1239,great job college,2,
1647,easy get along,2,
2177,managers great atmosphere,2,
1238,busy great job,2,
1242,student flexible hours,2,
974,job taking care,2,
1761,hard 1 money,1,
1762,1 money 2,1,
1764,2 people 3,1,
1763,money 2 people,1,
1760,works hard 1,1,
1765,people 3 food,1,
1759,good works hard,1,
1758,team good works,1,
1766,3 food made,1,
1767,food made great,1,
1768,made great money,1,
1769,great money support,1,
0,loved working easy,1,
1753,years dedicated team,1,
1757,manahement team good,1,
1747,work environment well,1,
1741,growth within company,1,
1742,within company company,1,
1743,company company provided,1,
1744,company provided challenging,1,
1745,provided challenging work,1,
1746,challenging work environment,1,
1748,environment well job,1,
1756,atmosphere manahement team,1,
1749,well job stability,1,
1750,job stability throughout,1,
1751,stability throughout years,1,
1752,throughout years dedicated,1,
1754,dedicated team atmosphere,1,
1755,team atmosphere manahement,1,
1770,money support family,1,
1779,great standard benefits,1,
1771,support family great,1,
1800,potential growth professional,1,
1793,give pretty good,1,
1794,pretty good hours,1,
1795,good hours pay,1,
1796,hours pay well,1,
1797,pay well great,1,
1798,well great potential,1,
1799,great potential growth,1,
1801,growth professional level,1,
1791,hours signed give,1,
1802,professional level food,1,
1803,level food service,1,
1804,food service place,1,
1805,service place proud,1,
1806,place proud great,1,
1807,proud great scheduling,1,
1808,great scheduling system,1,
1792,signed give pretty,1,
1790,33 hours signed,1,
1772,family great co,1,
1780,standard benefits package,1,
1773,co workers maintain,1,
1774,workers maintain contact,1,
1775,maintain contact part,1,
1776,contact part food,1,
1777,part food great,1,
1778,food great standard,1,
1739,1am lots room,1,
1781,benefits package nice,1,
1789,minimum 33 hours,1,
1782,package nice know,1,
1783,nice know still,1,
1784,know still free,1,
1785,still free long,1,
1786,free long worked,1,
1787,long worked minimum,1,
1788,worked minimum 33,1,
1740,lots room growth,1,
1731,working bj restaurants,1,
1738,5pm 1am lots,1,
1689,get covered high,1,
1681,easy hot schedules,1,
1683,schedules online system,1,
1684,online system easy,1,
1685,system easy pick,1,
1686,easy pick shifts,1,
1687,pick shifts get,1,
1688,shifts get covered,1,
1690,covered high pay,1,
1699,availability great crew,1,
1691,high pay someone,1,
1692,pay someone much,1,
1693,someone much kitchen,1,
1694,much kitchen experience,1,
1695,kitchen experience willing,1,
1696,experience willing work,1,
1697,willing work availability,1,
1680,incentives easy hot,1,
1679,monthly incentives easy,1,
1678,scheduling monthly incentives,1,
1677,easy scheduling monthly,1,
1662,flexibility fun environment,1,
1663,fun environment managers,1,
1664,environment managers care,1,
1665,managers care employees,1,
1666,care employees discount,1,
1667,employees discount working,1,
1668,discount working visit,1,
1669,working visit guest,1,
1670,visit guest decent,1,
1671,guest decent compensation,1,
1672,decent compensation working,1,
1673,compensation working busy,1,
1674,working busy location,1,
1675,busy location easy,1,
1676,location easy scheduling,1,
1698,work availability great,1,
1700,great crew membersworks,1,
1737,work 5pm 1am,1,
1728,legitthe best thing,1,
1721,good money fun,1,
1722,money fun staff,1,
1723,fun staff hotschedule,1,
1724,staff hotschedule scheduling,1,
1725,hotschedule scheduling system,1,
1726,scheduling system legitthe,1,
1727,system legitthe best,1,
1729,best thing working,1,
1701,crew membersworks school,1,
1730,thing working bj,1,
1810,system comraderie amongst,1,
1732,bj restaurants flexibility,1,
1733,restaurants flexibility schedules,1,
1734,flexibility schedules often,1,
1735,schedules often work,1,
1736,often work 5pm,1,
1720,schedule good money,1,
1719,industryflexible schedule good,1,
1718,higher industryflexible schedule,1,
1717,pay higher industryflexible,1,
1702,membersworks school schedule,1,
1703,school schedule make,1,
1704,schedule make great,1,
1705,make great tipshuge,1,
1706,great tipshuge growth,1,
1707,tipshuge growth opportunities,1,
1708,growth opportunities new,1,
1709,opportunities new restaurant,1,
1710,new restaurant openings,1,
1711,restaurant openings throughout,1,
1712,openings throughout country,1,
1713,throughout country future,1,
1714,country future bright,1,
1715,future bright pay,1,
1716,bright pay higher,1,
1809,scheduling system comraderie,1,
1818,easy going friendly,1,
1811,comraderie amongst coworkers,1,
1933,happy atmosphere great,1,
1915,lots corporate structure,1,
1916,corporate structure support,1,
1917,structure support guide,1,
1918,support guide always,1,
1919,guide always know,1,
1920,always know exactly,1,
1921,know exactly expected,1,
1922,exactly expected excellent,1,
1923,expected excellent views,1,
1924,excellent views treat,1,
1925,views treat customers,1,
1926,treat customers employees,1,
1927,customers employees management,1,
1928,employees management everything,1,
1929,management everything make,1,
1930,everything make everyone,1,
1931,make everyone happy,1,
1914,enough lots corporate,1,
1913,long enough lots,1,
1912,around long enough,1,
1902,health benefits 401k,1,
1895,processes always busy,1,
1896,always busy salary,1,
1897,busy salary bonus,1,
1898,salary bonus great,1,
1899,bonus great well,1,
1900,great well health,1,
1901,well health benefits,1,
1903,benefits 401k etc,1,
1911,stick around long,1,
1904,401k etc gm,1,
1905,etc gm top,1,
1906,gm top 100k,1,
1907,top 100k including,1,
1908,100k including bonus,1,
1909,including bonus stick,1,
1910,bonus stick around,1,
1932,everyone happy atmosphere,1,
1934,atmosphere great people,1,
1893,great food processes,1,
1935,great people bj,1,
1956,fun love co,1,
1957,co workers excellent,1,
1958,workers excellent food,1,
1959,excellent food sells,1,
1960,food sells expansive,1,
1961,sells expansive menu,1,
1962,expansive menu great,1,
1963,menu great drinks,1,
1964,great drinks always,1,
1965,drinks always busy,1,
1966,always busy staffed,1,
1967,busy staffed fun,1,
1968,staffed fun outgoing,1,
1969,fun outgoing team,1,
1970,outgoing team managers,1,
1971,team managers usually,1,
1972,managers usually understanding,1,
1955,work fun love,1,
1954,makes work fun,1,
1953,environment makes work,1,
1943,complain work great,1,
1936,people bj hires,1,
1937,bj hires happy,1,
1938,hires happy work,1,
1939,happy work hardly,1,
