,name,count,pos
11,work,8,NOUN
18,management,5,NOUN
55,shifts,4,NOUN
8,tips,3,NOUN
39,people,3,NOUN
44,time,2,NOUN
37,food,2,NOUN
96,money,2,NOUN
79,environment,2,NOUN
110,hours,2,NOUN
68,skills,2,NOUN
66,pay,2,NOUN
61,place,2,NOUN
52,scheduling,2,NOUN
48,team,2,NOUN
95,amount,2,NOUN
90,server,2,NOUN
36,restaurants,2,NOUN
24,job,2,NOUN
13,lot,2,NOUN
16,staff,2,NOUN
21,atmosphere,2,NOUN
19,fun,2,NOUN
127,restaurant,2,NOUN
133,industry,1,NOUN
125,person,1,NOUN
99,jobs,1,NOUN
106,hour,1,NOUN
107,shift,1,NOUN
137,advancement,1,NOUN
108,clock,1,NOUN
113,someone,1,NOUN
135,training,1,NOUN
117,minimum,1,NOUN
118,wage,1,NOUN
126,attention,1,NOUN
130,customers,1,NOUN
122,extroverts,1,NOUN
121,girls,1,NOUN
3,ways,1,NOUN
71,drivers,1,NOUN
88,area,1,NOUN
50,schedules,1,NOUN
15,peoplegreat,1,NOUN
25,room,1,NOUN
28,company,1,NOUN
30,employeesyou,1,NOUN
31,microbrewery,1,NOUN
34,sales,1,NOUN
43,regulars,1,NOUN
59,everybody,1,NOUN
84,switching,1,NOUN
70,delivery,1,NOUN
6,recognition,1,NOUN
74,deliveries,1,NOUN
76,bill,1,NOUN
77,tipawesome,1,NOUN
80,customer,1,NOUN
81,experience,1,NOUN
138,opportunities,1,NOUN
