,name,count,pos
504,great work environment,5,
162,flexible hours management,4,
499,good management team,3,
111,great place work,3,
49,great co workers,3,
50,co workers good,3,
454,make good money,3,
1333,get along well,2,
101,make great money,2,
1428,hot schedules online,2,
1113,place work good,2,
983,busy great job,2,
984,great job college,2,
987,student flexible hours,2,
1985,great food great,2,
107,love co workers,2,
1014,work around schedule,2,
1042,work environment management,2,
450,easy job nice,2,
1923,managers great atmosphere,2,
1393,easy get along,2,
719,job taking care,2,
1093,money flexible hours,2,
608,flexible schedule good,2,
913,flexible hours good,2,
1222,room growth within,2,
1607,ship managers nice,1,
1606,tight ship managers,1,
1605,runs tight ship,1,
1604,book runs tight,1,
1507,hard 1 money,1,
1603,gm book runs,1,
1597,promotes within easy,1,
1602,hard gm book,1,
1601,work hard gm,1,
1600,advance work hard,1,
1599,easy advance work,1,
1509,money 2 people,1,
1598,within easy advance,1,
1510,2 people 3,1,
1508,1 money 2,1,
1511,people 3 food,1,
1585,high volume advance,1,
1590,every section line,1,
1516,money support family,1,
1587,advance get raises,1,
1588,get raises every,1,
1589,raises every section,1,
1515,great money support,1,
1514,made great money,1,
1591,section line learn,1,
1596,store promotes within,1,
1592,line learn busy,1,
1593,learn busy place,1,
1594,busy place store,1,
1513,food made great,1,
1512,3 food made,1,
1595,place store promotes,1,
1608,managers nice helpful,1,
1609,nice helpful really,1,
1610,helpful really care,1,
1632,drop shifts line,1,
1504,team good works,1,
1627,take host flexible,1,
1628,host flexible scheduling,1,
1629,flexible scheduling pick,1,
1630,scheduling pick drop,1,
1631,pick drop shifts,1,
1633,shifts line great,1,
1506,works hard 1,1,
1634,line great money,1,
1635,great money friendly,1,
1503,manahement team good,1,
1636,money friendly staff,1,
1502,atmosphere manahement team,1,
1501,team atmosphere manahement,1,
1626,runner take host,1,
1625,food runner take,1,
1624,starting food runner,1,
1623,try starting food,1,
1622,start try starting,1,
1621,place start try,1,
1620,good place start,1,
1619,serving good place,1,
1505,good works hard,1,
1618,way serving good,1,
1617,work way serving,1,
1616,want work way,1,
1615,well want work,1,
1614,experience well want,1,
1613,guest experience well,1,
1612,care guest experience,1,
1611,really care guest,1,
1586,volume advance get,1,
1521,maintain contact part,1,
1522,contact part food,1,
1520,workers maintain contact,1,
1540,pretty good hours,1,
1541,good hours pay,1,
1542,hours pay well,1,
1543,pay well great,1,
1544,well great potential,1,
1545,great potential growth,1,
1519,co workers maintain,1,
1517,support family great,1,
1546,potential growth professional,1,
1547,growth professional level,1,
1548,professional level food,1,
1549,level food service,1,
1550,food service place,1,
1551,service place proud,1,
1539,give pretty good,1,
1538,signed give pretty,1,
1537,hours signed give,1,
1536,33 hours signed,1,
1535,minimum 33 hours,1,
1534,worked minimum 33,1,
1533,long worked minimum,1,
1532,free long worked,1,
1531,still free long,1,
1530,know still free,1,
1529,nice know still,1,
1528,package nice know,1,
1527,benefits package nice,1,
1526,standard benefits package,1,
1525,great standard benefits,1,
1524,food great standard,1,
1523,part food great,1,
1552,place proud great,1,
