,name,count,pos
731,great work environment,5,
187,great co workers,4,
390,flexible hours management,4,
339,great place work,3,
278,co workers good,3,
681,make good money,3,
175,fast paced good,3,
726,good management team,3,
1448,room growth within,2,
1339,place work good,2,
1140,flexible hours good,2,
1619,easy get along,2,
1269,work environment management,2,
157,place work great,2,
946,job taking care,2,
2211,great food great,2,
2149,managers great atmosphere,2,
1654,hot schedules online,2,
835,flexible schedule good,2,
13,well oiled machine,2,
1214,student flexible hours,2,
1320,money flexible hours,2,
335,love co workers,2,
1559,get along well,2,
1211,great job college,2,
12,like well oiled,2,
1241,work around schedule,2,
1210,busy great job,2,
329,make great money,2,
677,easy job nice,2,
1745,co workers maintain,1,
1744,family great co,1,
1748,contact part food,1,
1750,food great standard,1,
1746,workers maintain contact,1,
1747,maintain contact part,1,
1743,support family great,1,
1751,great standard benefits,1,
1742,money support family,1,
1749,part food great,1,
1734,1 money 2,1,
1741,great money support,1,
1740,made great money,1,
1724,throughout years dedicated,1,
1725,years dedicated team,1,
1726,dedicated team atmosphere,1,
1727,team atmosphere manahement,1,
1728,atmosphere manahement team,1,
1729,manahement team good,1,
1730,team good works,1,
1731,good works hard,1,
1732,works hard 1,1,
1733,hard 1 money,1,
1735,money 2 people,1,
1736,2 people 3,1,
1737,people 3 food,1,
1738,3 food made,1,
1739,food made great,1,
1752,standard benefits package,1,
1761,minimum 33 hours,1,
1753,benefits package nice,1,
1782,system comraderie amongst,1,
1775,level food service,1,
1776,food service place,1,
1777,service place proud,1,
1778,place proud great,1,
1779,proud great scheduling,1,
1780,great scheduling system,1,
1781,scheduling system comraderie,1,
1783,comraderie amongst coworkers,1,
1773,growth professional level,1,
1784,amongst coworkers recognition,1,
1785,coworkers recognition appreciation,1,
1786,recognition appreciation hard,1,
1787,appreciation hard workstaff,1,
1788,hard workstaff easy,1,
1789,workstaff easy going,1,
1790,easy going friendly,1,
1774,professional level food,1,
1772,potential growth professional,1,
1754,package nice know,1,
1762,33 hours signed,1,
1755,nice know still,1,
1756,know still free,1,
1757,still free long,1,
1758,free long worked,1,
1759,long worked minimum,1,
1760,worked minimum 33,1,
1722,job stability throughout,1,
1763,hours signed give,1,
1771,great potential growth,1,
1764,signed give pretty,1,
1765,give pretty good,1,
1766,pretty good hours,1,
1767,good hours pay,1,
1768,hours pay well,1,
1769,pay well great,1,
1770,well great potential,1,
1723,stability throughout years,1,
0,team oriented focus,1,
1721,well job stability,1,
1671,availability great crew,1,
1664,pay someone much,1,
1665,someone much kitchen,1,
1666,much kitchen experience,1,
1667,kitchen experience willing,1,
1668,experience willing work,1,
1669,willing work availability,1,
1670,work availability great,1,
1672,great crew membersworks,1,
1662,covered high pay,1,
1673,crew membersworks school,1,
1674,membersworks school schedule,1,
1675,school schedule make,1,
1676,schedule make great,1,
1677,make great tipshuge,1,
1678,great tipshuge growth,1,
1679,tipshuge growth opportunities,1,
1663,high pay someone,1,
1661,get covered high,1,
1681,opportunities new restaurant,1,
1650,scheduling monthly incentives,1,
1643,guest decent compensation,1,
1644,decent compensation working,1,
1645,compensation working busy,1,
1646,working busy location,1,
1647,busy location easy,1,
1648,location easy scheduling,1,
1649,easy scheduling monthly,1,
1651,monthly incentives easy,1,
1660,shifts get covered,1,
1652,incentives easy hot,1,
1653,easy hot schedules,1,
1655,schedules online system,1,
1656,online system easy,1,
1657,system easy pick,1,
1658,easy pick shifts,1,
1659,pick shifts get,1,
1680,growth opportunities new,1,
1682,new restaurant openings,1,
1720,environment well job,1,
1711,1am lots room,1,
1704,bj restaurants flexibility,1,
1705,restaurants flexibility schedules,1,
1706,flexibility schedules often,1,
1707,schedules often work,1,
1708,often work 5pm,1,
1709,work 5pm 1am,1,
1710,5pm 1am lots,1,
1791,going friendly pretty,1,
1702,thing working bj,1,
1713,growth within company,1,
1714,within company company,1,
1715,company company provided,1,
1716,company provided challenging,1,
1717,provided challenging work,1,
1718,challenging work environment,1,
1719,work environment well,1,
1703,working bj restaurants,1,
1701,best thing working,1,
1683,restaurant openings throughout,1,
1691,industryflexible schedule good,1,
1684,openings throughout country,1,
1685,throughout country future,1,
1686,country future bright,1,
1687,future bright pay,1,
1688,bright pay higher,1,
1689,pay higher industryflexible,1,
1690,higher industryflexible schedule,1,
1692,schedule good money,1,
1700,legitthe best thing,1,
1693,good money fun,1,
1694,money fun staff,1,
1695,fun staff hotschedule,1,
1696,staff hotschedule scheduling,1,
1697,hotschedule scheduling system,1,
1698,scheduling system legitthe,1,
1699,system legitthe best,1,
