,name,count,pos
40,good money,6,
550,management team,4,
67,work environment,4,
99,food great,3,
211,great food,3,
384,minimum wage,3,
338,make money,3,
490,great atmosphere,3,
94,co workers,3,
214,always busy,3,
89,great money,3,
517,good tips,2,
45,scheduling system,2,
562,fun work,2,
503,good amount,2,
210,staff great,2,
209,friendly staff,2,
281,menu great,2,
408,job good,2,
379,pay good,2,
202,flexible scheduling,2,
750,great management,2,
499,easy get,2,
194,place start,2,
847,amount money,2,
530,food wonderful,2,
825,great work,2,
549,good management,2,
746,work lot,2,
398,hard work,2,
115,pretty good,2,
41,money fun,2,
492,employees easy,2,
245,customers employees,2,
144,potential make,2,
489,managers great,2,
252,atmosphere great,2,
142,laid back,2,
16,willing work,2,
27,growth opportunities,2,
1,hot schedules,2,
443,management friendly,2,
268,food beer,2,
2,schedules online,2,
594,team work,1,
598,restaurant flexible,1,
621,money orher,1,
597,worked restaurant,1,
622,orher servers,1,
596,best worked,1,
595,work best,1,
624,area almost,1,
627,met fun,1,
591,companymanagement laid,1,
593,fun team,1,
626,management met,1,
592,back fun,1,
623,servers area,1,
625,almost management,1,
607,great student,1,
599,scheduling easy,1,
620,money make,1,
619,lots potential,1,
606,flexible great,1,
609,bj training,1,
610,training program,1,
611,program well,1,
605,job flexible,1,
629,company appreciates,1,
612,well developed,1,
613,developed thorough,1,
604,understanding job,1,
614,thorough easy,1,
615,easy script,1,
603,managers understanding,1,
602,offthe managers,1,
601,time offthe,1,
616,script remember,1,
617,remember tables,1,
600,get time,1,
618,tables lots,1,
608,student bj,1,
628,work company,1,
0,easy hot,1,
630,appreciates hard,1,
669,opening space,1,
658,machine comes,1,
659,comes time,1,
660,time practice,1,
661,practice relationship,1,
662,relationship ever,1,
663,ever speak,1,
664,speak ask,1,
665,ask occasion,1,
666,occasion doors,1,
667,doors start,1,
668,start opening,1,
670,space money,1,
631,work positive,1,
671,money team,1,
672,team members,1,
673,members cross,1,
674,cross train,1,
675,train pick,1,
676,pick bookkeeping,1,
677,bookkeeping office,1,
678,office thing,1,
679,thing read,1,
680,read real,1,
681,real career,1,
657,oiled machine,1,
656,well oiled,1,
655,like well,1,
654,run like,1,
632,positive attitudes,1,
633,attitudes management,1,
634,management incentives,1,
635,incentives reaching,1,
636,reaching goalslot,1,
637,goalslot room,1,
638,room growthif,1,
639,growthif want,1,
589,opportunity move,1,
640,want move,1,
641,move well,1,
642,well laid,1,
643,laid steps,1,
644,steps take,1,
645,take enter,1,
646,enter management,1,
647,team member,1,
648,member store,1,
649,store family,1,
650,family super,1,
651,super stressful,1,
652,stressful time,1,
653,time run,1,
590,move companymanagement,1,
574,workthe money,1,
588,money opportunity,1,
515,get different,1,
504,amount work,1,
505,work friendly,1,
506,friendly people,1,
507,people impossible,1,
508,impossible move,1,
509,move within,1,
510,within realistic,1,
511,realistic way,1,
512,way become,1,
513,become server,1,
514,server get,1,
516,different job,1,
587,make pretty,1,
518,tips fun,1,
519,fun co,1,
520,workers flexible,1,
521,flexible schedules,1,
522,schedules good,1,
523,good good,1,
524,good friendly,1,
525,friendly customers,1,
526,customers mostly,1,
527,mostly nice,1,
528,nice managers,1,
502,money good,1,
501,along money,1,
500,get along,1,
498,decorumthe employees,1,
472,upward momentum,1,
473,momentum slow,1,
474,slow due,1,
475,due high,1,
476,high competitionlots,1,
477,competitionlots money,1,
478,money made,1,
479,made managers,1,
480,managers came,1,
481,came contact,1,
482,contact helpful,1,
483,helpful caring,1,
