,name,count,pos
101,great work environment,5,
51,make good money,3,
96,good management team,3,
308,flexible hours management,3,
823,room growth within,2,
1029,hot schedules online,2,
587,student flexible hours,2,
1588,great food great,2,
1526,managers great atmosphere,2,
614,work around schedule,2,
584,great job college,2,
583,busy great job,2,
47,easy job nice,2,
206,flexible schedule good,2,
642,work environment management,2,
513,flexible hours good,2,
994,easy get along,2,
318,job taking care,2,
934,get along well,2,
714,place work good,2,
694,money flexible hours,2,
1326,servers help great,1,
1329,computer system good,1,
1330,system good money,1,
1331,good money servers,1,
1328,great computer system,1,
1327,help great computer,1,
0,make tips friendly,1,
1325,work servers help,1,
1324,willing work servers,1,
1323,understanding willing work,1,
1322,usually understanding willing,1,
1321,managers usually understanding,1,
1320,team managers usually,1,
1319,outgoing team managers,1,
1318,fun outgoing team,1,
1317,staffed fun outgoing,1,
1316,busy staffed fun,1,
1315,always busy staffed,1,
1332,money servers fun,1,
1335,talk connect managers,1,
1333,servers fun talk,1,
1334,fun talk connect,1,
1363,including alright free,1,
1362,team including alright,1,
1361,sure team including,1,
1360,made sure team,1,
1359,passion made sure,1,
1358,showed passion made,1,
1357,location showed passion,1,
1356,manager location showed,1,
1355,kitchen manager location,1,
1354,silverware kitchen manager,1,
1353,organize silverware kitchen,1,
1352,clean organize silverware,1,
1351,tables clean organize,1,
1350,silverware tables clean,1,
1349,sure silverware tables,1,
1348,make sure silverware,1,
1347,tables make sure,1,
1346,clean tables make,1,
1345,silverware clean tables,1,
1344,roll silverware clean,1,
1343,work roll silverware,1,
1342,something work roll,1,
1341,always something work,1,
1340,talk always something,1,
1339,easy talk always,1,
1338,relaxed easy talk,1,
1337,managers relaxed easy,1,
1336,connect managers relaxed,1,
1313,great drinks always,1,
1314,drinks always busy,1,
1308,excellent food sells,1,
1312,menu great drinks,1,
1281,happy atmosphere great,1,
1279,make everyone happy,1,
1278,everything make everyone,1,
1277,management everything make,1,
1276,employees management everything,1,
1275,customers employees management,1,
1274,treat customers employees,1,
1273,views treat customers,1,
1272,excellent views treat,1,
1271,expected excellent views,1,
1270,exactly expected excellent,1,
1269,know exactly expected,1,
1268,always know exactly,1,
1267,guide always know,1,
1266,support guide always,1,
1265,structure support guide,1,
1264,corporate structure support,1,
1263,lots corporate structure,1,
1262,enough lots corporate,1,
1261,long enough lots,1,
1260,around long enough,1,
1259,stick around long,1,
1258,bonus stick around,1,
1257,including bonus stick,1,
1256,100k including bonus,1,
1255,top 100k including,1,
1254,gm top 100k,1,
1253,etc gm top,1,
1280,everyone happy atmosphere,1,
1282,atmosphere great people,1,
1311,expansive menu great,1,
1283,great people bj,1,
1310,sells expansive menu,1,
1309,food sells expansive,1,
1365,free food sometimes,1,
1307,workers excellent food,1,
1306,co workers excellent,1,
1305,love co workers,1,
1304,fun love co,1,
1303,work fun love,1,
1302,makes work fun,1,
1301,environment makes work,1,
1300,beat environment makes,1,
1299,beer beat environment,1,
1298,food beer beat,1,
1297,love food beer,1,
1296,structure love food,1,
1295,solid structure love,1,
1294,teamwork solid structure,1,
1293,great teamwork solid,1,
1292,work great teamwork,1,
1291,complain work great,1,
1290,ever complain work,1,
1289,hardly ever complain,1,
1288,work hardly ever,1,
1287,happy work hardly,1,
1286,hires happy work,1,
1285,bj hires happy,1,
1284,people bj hires,1,
1364,alright free food,1,
1373,money nice restaurant,1,
1366,food sometimes ex,1,
1427,opportunity advancement excellent,1,
1455,average little 20,1,
1454,would average little,1,
1453,tips would average,1,
1452,plus tips would,1,
1451,00 plus tips,1,
1450,8 00 plus,1,
1449,00 8 00,1,
1448,7 00 8,1,
1447,hourly 7 00,1,
1446,money hourly 7,1,
1445,good money hourly,1,
1444,job good money,1,
1443,2nd job good,1,
1442,school 2nd job,1,
1441,schedule school 2nd,1,
1440,around schedule school,1,
1439,raise work around,1,
1438,yearly raise work,1,
1437,pays yearly raise,1,
1436,work pays yearly,1,
1435,hard work pays,1,
1434,company hard work,1,
1433,server company hard,1,
1432,started server company,1,
1431,manager started server,1,
1430,every manager started,1,
1429,excellent every manager,1,
1456,little 20 00,1,
1457,20 00 per,1,
1458,00 per hour,1,
1473,given tools need,1,
1485,experience one restaurants,1,
1484,conflicts experience one,1,
1483,scheduling conflicts experience,1,
1482,understanding scheduling conflicts,1,
1481,friendly understanding scheduling,1,
1480,management friendly understanding,1,
1479,mostly management friendly,1,
1478,go mostly management,1,
1477,far go mostly,1,
1476,succeed far go,1,
1475,need succeed far,1,
1474,tools need succeed,1,
1472,attainable given tools,1,
1459,per hour friendly,1,
1471,generally attainable given,1,
1470,bonus generally attainable,1,
1469,good bonus generally,1,
1468,successpay good bonus,1,
1467,company successpay good,1,
1466,achieve company successpay,1,
1465,together achieve company,1,
1464,works together achieve,1,
1463,everyone works together,1,
1462,workplace everyone works,1,
1461,friendly workplace everyone,1,
1460,hour friendly workplace,1,
1428,advancement excellent every,1,
1426,wage opportunity advancement,1,
1367,sometimes ex dead,1,
1425,minimum wage opportunity,1,
1394,atmosphere love steps,1,
1393,food atmosphere love,1,
1392,conceptgreat food atmosphere,1,
1391,growing conceptgreat food,1,
1390,fast growing conceptgreat,1,
1389,opportunities fast growing,1,
1388,growth opportunities fast,1,
1387,lots growth opportunities,1,
1386,pay lots growth,1,
1385,great pay lots,1,
1384,guest great pay,1,
1383,issue guest great,1,
1382,help issue guest,1,
1381,actually help issue,1,
1380,managers actually help,1,
1379,everything managers actually,1,
1378,appearance everything managers,1,
1377,good appearance everything,1,
1376,foods good appearance,1,
1375,restaurant foods good,1,
1374,nice restaurant foods,1,
1251,benefits 401k etc,1,
1372,make money nice,1,
1371,training make money,1,
1370,pizookielots training make,1,
1369,dead pizookielots training,1,
1368,ex dead pizookielots,1,
1395,love steps service,1,
1396,steps service uniformity,1,
1397,service uniformity companyquick,1,
1412,exactly wanted base,1,
1424,server minimum wage,1,
