,name,count,pos
212,co workers,12,
184,place work,12,
367,good money,11,
402,flexible hours,11,
327,great money,8,
201,fast paced,8,
712,work environment,8,
7,team members,7,
474,management team,6,
711,great work,6,
100,good people,6,
85,great management,6,
868,easy get,6,
286,great atmosphere,5,
185,work great,5,
69,free food,5,
540,good management,5,
669,make good,5,
590,good tips,5,
244,great people,5,
419,advancement opportunities,4,
403,hours management,4,
685,people work,4,
211,great co,4,
355,great place,4,
549,work hard,4,
1221,make money,4,
166,hard work,4,
574,willing work,4,
583,fun environment,4,
609,good training,4,
674,minimum wage,4,
911,great job,4,
1086,fun work,4,
546,good hours,4,
323,flexible schedule,4,
1284,flexible scheduling,3,
202,paced good,3,
1069,pay good,3,
71,easy going,3,
65,money good,3,
1693,always busy,3,
1177,managers great,3,
790,friendly staff,3,
705,customer service,3,
354,well great,3,
1087,work good,3,
179,management cares,3,
347,make great,3,
365,great culture,3,
299,workers good,3,
1690,great food,3,
472,laid back,3,
1222,money flexible,3,
1323,staff great,3,
240,good environment,3,
1429,get along,3,
1411,pretty good,3,
1049,money make,3,
690,room growth,3,
448,get good,3,
1421,amount money,3,
803,schedule good,3,
254,growth opportunities,3,
5,taking care,3,
285,busy great,3,
665,easy job,3,
1593,food great,3,
1023,money fun,3,
2178,work lot,2,
1095,working restaurant,2,
1677,place start,2,
1953,employees easy,2,
131,management easy,2,
171,take home,2,
872,management fun,2,
169,food even,2,
445,money pretty,2,
1123,work restaurant,2,
556,food runner,2,
866,food shift,2,
1349,within company,2,
770,move server,2,
458,fast pace,2,
1108,managers nice,2,
1468,fun staff,2,
300,good food,2,
774,couple months,2,
554,decent tips,2,
555,tips food,2,
390,location great,2,
794,environment great,2,
1372,tips fun,2,
1037,serving good,2,
1447,opportunity move,2,
280,well managers,2,
476,easy work,2,
506,work company,2,
820,money great,2,
834,good pay,2,
832,take care,2,
517,free meal,2,
246,management good,2,
249,family environment,2,
1430,along well,2,
1022,shift great,2,
1907,management friendly,2,
1028,working bj,2,
1448,move around,2,
219,training good,2,
853,new restaurant,2,
1872,job good,2,
181,employees high,2,
182,high energy,2,
1085,people fun,2,
296,great tips,2,
787,ability make,2,
1452,good good,2,
1071,hours good,2,
1395,new people,2,
203,good place,2,
795,great team,2,
289,good benefits,2,
288,people good,2,
208,people great,2,
1633,potential make,2,
1131,job college,2,
1132,student flexible,2,
965,college student,2,
1178,environment management,2,
897,job taking,2,
1513,schedules online,2,
704,great customer,2,
1512,hot schedules,2,
53,team work,2,
709,opportunity advancement,2,
1185,hiring within,2,
360,like family,2,
73,people easy,2,
427,decent pay,2,
353,workers well,2,
722,nice people,2,
352,love co,2,
79,restaurant operations,2,
82,great pay,2,
83,pay benefits,2,
885,care employees,2,
344,discounts food,2,
1724,customers employees,2,
42,oiled machine,2,
41,well oiled,2,
40,like well,2,
666,job nice,2,
664,money easy,2,
1744,food beer,2,
910,bj great,2,
676,work way,2,
909,people bj,2,
1224,great benefits,2,
1756,menu great,2,
401,management flexible,2,
25,lot different,2,
1731,atmosphere great,2,
1984,food wonderful,2,
692,schedule great,2,
693,atmosphere easy,2,
1267,managers understanding,2,
900,great company,2,
1547,scheduling system,2,
91,employees good,2,
1024,fun place,2,
112,great opportunity,2,
97,people worked,2,
1154,around schedule,2,
113,opportunity growth,2,
1961,good amount,2,
333,busy location,2,
595,always something,2,
1486,pick shifts,2,
94,restaurant good,2,
437,friendly customers,2,
1329,also room,2,
749,restaurant industry,2,
126,team member,2,
1309,kitchen manager,2,
96,atmosphere people,2,
1153,work around,2,
1330,growth within,2,
111,management great,2,
1595,standard benefits,1,
1567,job stability,1,
1596,benefits package,1,
1545,staff hotschedule,1,
1597,package nice,1,
1544,industryflexible schedule,1,
1598,nice know,1,
1599,know still,1,
1574,manahement team,1,
1572,team atmosphere,1,
1600,still free,1,
1573,atmosphere manahement,1,
1561,company company,1,
1543,higher industryflexible,1,
1540,future bright,1,
1537,openings throughout,1,
1570,years dedicated,1,
1569,throughout years,1,
1538,throughout country,1,
1606,hours signed,1,
1539,country future,1,
1605,33 hours,1,
1601,free long,1,
1541,bright pay,1,
1542,pay higher,1,
1571,dedicated team,1,
1568,stability throughout,1,
1603,worked minimum,1,
1602,long worked,1,
1604,minimum 33,1,
1594,great standard,1,
1546,hotschedule scheduling,1,
1562,company provided,1,
1589,workers maintain,1,
1581,2 people,1,
1588,family great,1,
1587,support family,1,
1582,people 3,1,
1563,provided challenging,1,
1556,often work,1,
1557,work 5pm,1,
1575,team good,1,
1583,3 food,1,
1558,5pm 1am,1,
1584,food made,1,
1559,1am lots,1,
1560,lots room,1,
1586,money support,1,
1585,made great,1,
1607,signed give,1,
1555,schedules often,1,
1591,contact part,1,
1592,part food,1,
1576,good works,1,
1577,works hard,1,
1578,hard 1,1,
1548,system legitthe,1,
1549,legitthe best,1,
1579,1 money,1,
1566,well job,1,
1565,environment well,1,
1564,challenging work,1,
1550,best thing,1,
1580,money 2,1,
1551,thing working,1,
1552,bj restaurants,1,
1553,restaurants flexibility,1,
1554,flexibility schedules,1,
1590,maintain contact,1,
0,loved working,1,
1608,give pretty,1,
1695,salary bonus,1,
1709,around long,1,
1708,stick around,1,
1707,bonus stick,1,
1706,including bonus,1,
1705,100k including,1,
1704,top 100k,1,
1703,gm top,1,
1702,etc gm,1,
1701,401k etc,1,
1700,benefits 401k,1,
1699,health benefits,1,
1698,well health,1,
1697,great well,1,
1696,bonus great,1,
1694,busy salary,1,
1609,hours pay,1,
1692,processes always,1,
1691,food processes,1,
1689,money friendly,1,
1688,line great,1,
1687,shifts line,1,
1686,drop shifts,1,
1685,pick drop,1,
1684,scheduling pick,1,
1683,host flexible,1,
1682,take host,1,
1681,runner take,1,
1680,starting food,1,
1679,try starting,1,
1678,start try,1,
1710,long enough,1,
1711,enough lots,1,
1712,lots corporate,1,
1713,corporate structure,1,
1745,beer beat,1,
1743,love food,1,
1742,structure love,1,
1741,solid structure,1,
1740,teamwork solid,1,
1739,great teamwork,1,
1738,complain work,1,
1737,ever complain,1,
1736,hardly ever,1,
1735,work hardly,1,
1734,happy work,1,
1733,hires happy,1,
1732,bj hires,1,
1730,happy atmosphere,1,
1729,everyone happy,1,
1728,make everyone,1,
1727,everything make,1,
1726,management everything,1,
1725,employees management,1,
1723,treat customers,1,
1722,views treat,1,
1721,excellent views,1,
1720,expected excellent,1,
1719,exactly expected,1,
1718,know exactly,1,
1717,always know,1,
1716,guide always,1,
1715,support guide,1,
1714,structure support,1,
1676,way serving,1,
1675,want work,1,
1674,well want,1,
1641,years cooks,1,
1639,server 4,1,
1638,hours server,1,
1637,money hours,1,
1636,effort great,1,
1635,put effort,1,
1634,money put,1,
1632,back potential,1,
1631,pretty laid,1,
1630,friendly pretty,1,
1629,going friendly,1,
1628,workstaff easy,1,
1627,hard workstaff,1,
1626,appreciation hard,1,
1625,recognition appreciation,1,
1624,coworkers recognition,1,
1623,amongst coworkers,1,
1622,comraderie amongst,1,
1621,system comraderie,1,
1620,great scheduling,1,
1619,proud great,1,
1618,place proud,1,
1617,service place,1,
1616,food service,1,
1615,level food,1,
1614,professional level,1,
1613,growth professional,1,
1612,potential growth,1,
1611,great potential,1,
1610,pay well,1,
1640,4 years,1,
1536,restaurant openings,1,
1673,experience well,1,
1643,work extra,1,
1672,guest experience,1,
1671,care guest,1,
1670,really care,1,
1669,helpful really,1,
1668,nice helpful,1,
1667,ship managers,1,
1666,tight ship,1,
1665,runs tight,1,
1664,book runs,1,
1663,gm book,1,
1662,hard gm,1,
1661,advance work,1,
1660,easy advance,1,
1659,within easy,1,
1658,promotes within,1,
1657,store promotes,1,
1656,place store,1,
1655,busy place,1,
1654,learn busy,1,
1653,line learn,1,
1652,section line,1,
1651,every section,1,
1650,raises every,1,
1649,get raises,1,
1648,advance get,1,
1647,volume advance,1,
1646,high volume,1,
1645,hard high,1,
1644,extra hard,1,
1642,cooks work,1,
1489,mobile phone,1,
1535,opportunities new,1,
1337,managers work,1,
1331,within restaurant,1,
1332,restaurant desired,1,
1333,desired cash,1,
1334,cash hand,1,
1335,hand nicegreat,1,
1336,nicegreat managers,1,
1338,work attentive,1,
1346,tips amazing,1,
1339,attentive staff,1,
1340,staff needs,1,
1341,needs worked,1,
1342,worked little,1,
1343,little year,1,
1344,year saw,1,
1328,service also,1,
1327,communication customer,1,
1326,interpersonal communication,1,
1325,strengthen interpersonal,1,
1324,opportunity strengthen,1,
1322,great staff,1,
1321,every shift,1,
1320,end every,1,
1319,meal end,1,
1318,team free,1,
1317,less team,1,
1316,nothing less,1,
1315,expect nothing,1,
1314,best expect,1,
1313,perform best,1,
1312,everyday perform,1,
1311,challenged everyday,1,
1345,saw great,1,
1347,amazing training,1,
1383,hourseasy money,1,
1374,atmosphere generally,1,
1367,trainer location,1,
1368,location extremely,1,
1369,extremely busy,1,
1370,busy sales,1,
1371,sales tips,1,
1373,work atmosphere,1,
1375,generally good,1,
1348,training hiring,1,
1376,good staff,1,
1377,staff good,1,
1378,management training,1,
1379,training provide,1,
1380,provide endlessgood,1,
1381,endlessgood money,1,
1366,based trainer,1,
1365,great based,1,
1364,experience great,1,
1363,training experience,1,
1362,flexible training,1,
1361,extremely flexible,1,
1360,scheduling extremely,1,
1359,positions scheduling,1,
1358,server positions,1,
1357,managers server,1,
1356,became managers,1,
1355,servers became,1,
1354,time servers,1,
1353,long time,1,
1352,two long,1,
1351,time two,1,
1350,company time,1,
1310,manager challenged,1,
1308,executive kitchen,1,
1307,else executive,1,
1262,definition great,1,
1256,chill group,1,
1257,group co,1,
1258,workers amp,1,
1259,amp managers,1,
1260,managers would,1,
1261,would definition,1,
1263,great first,1,
1306,employees else,1,
1264,first job,1,
1265,job forsure,1,
1266,forsure managers,1,
1268,understanding flexible,1,
1269,hours availability,1,
1270,availability easy,1,
1255,pretty chill,1,
1254,surrounded pretty,1,
1253,think surrounded,1,
1252,say think,1,
1251,breaks say,1,
1250,make breaks,1,
1249,kind make,1,
1248,work kind,1,
1247,build work,1,
1246,relationships build,1,
1245,amp relationships,1,
1244,work amp,1,
1243,work people,1,
1242,love people,1,
1241,much love,1,
1240,pretty much,1,
1239,managersi pretty,1,
1271,easy switch,1,
1272,switch shifts,1,
1273,shifts ability,1,
1291,employees guests,1,
1305,values employees,1,
1304,bj values,1,
1303,work bj,1,
1302,company work,1,
1301,excellent company,1,
