,name,count,pos,norm
779,great work environment,6,,1.0000000000000002
729,make good money,4,,0.6000000000000001
380,great place work,4,,0.6000000000000001
1140,fun place work,4,,0.6000000000000001
435,flexible hours management,4,,0.6000000000000001
222,great co workers,4,,0.6000000000000001
208,fun fast paced,3,,0.4000000000000001
886,flexible schedule good,3,,0.4000000000000001
774,good management team,3,,0.4000000000000001
1378,money flexible hours,3,,0.4000000000000001
209,fast paced good,3,,0.4000000000000001
907,good money great,3,,0.4000000000000001
319,co workers good,3,,0.4000000000000001
725,easy job nice,2,,0.2
1394,great management fun,2,,0.2
44,like well oiled,2,,0.2
1197,flexible hours good,2,,0.2
320,workers good food,2,,0.2
1620,get along well,2,,0.2
45,well oiled machine,2,,0.2
191,place work great,2,,0.2
1396,place work good,2,,0.2
1271,student flexible hours,2,,0.2
1267,busy great job,2,,0.2
1496,great staff great,2,,0.2
1298,work around schedule,2,,0.2
756,schedule great atmosphere,2,,0.2
755,flexible schedule great,2,,0.2
1565,good money flexible,2,,0.2
1566,flexible hours easy,2,,0.2
2278,great food great,2,,0.2
958,free food shift,2,,0.2
752,lot room growth,2,,0.2
2216,managers great atmosphere,2,,0.2
1268,great job college,2,,0.2
1506,room growth within,2,,0.2
370,make great money,2,,0.2
909,work environment well,2,,0.2
192,work great management,2,,0.2
1714,hot schedules online,2,,0.2
186,management cares employees,2,,0.2
27,lot different people,2,,0.2
1328,work environment management,2,,0.2
998,job taking care,2,,0.2
1679,easy get along,2,,0.2
376,love co workers,2,,0.2
96,good tips fun,2,,0.2
1775,growth within company,1,,0.0
1777,company company provided,1,,0.0
1776,within company company,1,,0.0
1793,works hard 1,1,,0.0
1774,lots room growth,1,,0.0
1792,good works hard,1,,0.0
1773,1am lots room,1,,0.0
1794,hard 1 money,1,,0.0
1791,team good works,1,,0.0
1796,money 2 people,1,,0.0
1790,manahement team good,1,,0.0
1789,atmosphere manahement team,1,,0.0
1778,company provided challenging,1,,0.0
1787,dedicated team atmosphere,1,,0.0
1779,provided challenging work,1,,0.0
1780,challenging work environment,1,,0.0
1781,environment well job,1,,0.0
1788,team atmosphere manahement,1,,0.0
1782,well job stability,1,,0.0
1783,job stability throughout,1,,0.0
1784,stability throughout years,1,,0.0
1785,throughout years dedicated,1,,0.0
1786,years dedicated team,1,,0.0
1795,1 money 2,1,,0.0
1807,workers maintain contact,1,,0.0
1797,2 people 3,1,,0.0
1825,signed give pretty,1,,0.0
1818,still free long,1,,0.0
1819,free long worked,1,,0.0
1820,long worked minimum,1,,0.0
1821,worked minimum 33,1,,0.0
1822,minimum 33 hours,1,,0.0
1823,33 hours signed,1,,0.0
1824,hours signed give,1,,0.0
1826,give pretty good,1,,0.0
1798,people 3 food,1,,0.0
1827,pretty good hours,1,,0.0
1828,good hours pay,1,,0.0
1829,hours pay well,1,,0.0
1830,pay well great,1,,0.0
1831,well great potential,1,,0.0
1832,great potential growth,1,,0.0
1833,potential growth professional,1,,0.0
1817,know still free,1,,0.0
1816,nice know still,1,,0.0
1815,package nice know,1,,0.0
1814,benefits package nice,1,,0.0
1799,3 food made,1,,0.0
1800,food made great,1,,0.0
1801,made great money,1,,0.0
1802,great money support,1,,0.0
1803,money support family,1,,0.0
1804,support family great,1,,0.0
1805,family great co,1,,0.0
1806,co workers maintain,1,,0.0
1771,work 5pm 1am,1,,0.0
1808,maintain contact part,1,,0.0
1809,contact part food,1,,0.0
1810,part food great,1,,0.0
1811,food great standard,1,,0.0
1812,great standard benefits,1,,0.0
1813,standard benefits package,1,,0.0
1772,5pm 1am lots,1,,0.0
0,loved working easy,1,,0.0
1770,often work 5pm,1,,0.0
1721,get covered high,1,,0.0
1713,easy hot schedules,1,,0.0
1715,schedules online system,1,,0.0
1716,online system easy,1,,0.0
1717,system easy pick,1,,0.0
1718,easy pick shifts,1,,0.0
1719,pick shifts get,1,,0.0
1720,shifts get covered,1,,0.0
1722,covered high pay,1,,0.0
1711,monthly incentives easy,1,,0.0
1723,high pay someone,1,,0.0
1724,pay someone much,1,,0.0
1725,someone much kitchen,1,,0.0
1726,much kitchen experience,1,,0.0
1727,kitchen experience willing,1,,0.0
1728,experience willing work,1,,0.0
1729,willing work availability,1,,0.0
1712,incentives easy hot,1,,0.0
1710,scheduling monthly incentives,1,,0.0
1769,schedules often work,1,,0.0
1700,discount working visit,1,,0.0
1693,sections flexibility fun,1,,0.0
1694,flexibility fun environment,1,,0.0
1695,fun environment managers,1,,0.0
1696,environment managers care,1,,0.0
1697,managers care employees,1,,0.0
1698,care employees discount,1,,0.0
1699,employees discount working,1,,0.0
1701,working visit guest,1,,0.0
1709,easy scheduling monthly,1,,0.0
1702,visit guest decent,1,,0.0
1703,guest decent compensation,1,,0.0
1704,decent compensation working,1,,0.0
1705,compensation working busy,1,,0.0
1706,working busy location,1,,0.0
1707,busy location easy,1,,0.0
1708,location easy scheduling,1,,0.0
1730,work availability great,1,,0.0
1731,availability great crew,1,,0.0
1732,great crew members,1,,0.0
1760,scheduling system legit,1,,0.0
1753,industry flexible schedule,1,,0.0
1754,schedule good money,1,,0.0
1755,good money fun,1,,0.0
1756,money fun staff,1,,0.0
1757,fun staff hotschedule,1,,0.0
1758,staff hotschedule scheduling,1,,0.0
1834,growth professional level,1,,0.0
1761,system legit best,1,,0.0
1733,crew members works,1,,0.0
1762,legit best thing,1,,0.0
1763,best thing working,1,,0.0
1764,thing working bj,1,,0.0
1765,working bj restaurants,1,,0.0
1766,bj restaurants flexibility,1,,0.0
1767,restaurants flexibility schedules,1,,0.0
1768,flexibility schedules often,1,,0.0
1752,higher industry flexible,1,,0.0
1751,pay higher industry,1,,0.0
1750,bright pay higher,1,,0.0
1749,future bright pay,1,,0.0
1734,members works school,1,,0.0
1735,works school schedule,1,,0.0
1736,school schedule make,1,,0.0
1737,schedule make great,1,,0.0
1738,make great tips,1,,0.0
1739,great tips huge,1,,0.0
1740,tips huge growth,1,,0.0
1741,huge growth opportunities,1,,0.0
1742,growth opportunities new,1,,0.0
1743,opportunities new restaurant,1,,0.0
1744,new restaurant openings,1,,0.0
1745,restaurant openings throughout,1,,0.0
1746,openings throughout country,1,,0.0
1747,throughout country future,1,,0.0
1748,country future bright,1,,0.0
1759,hotschedule scheduling system,1,,0.0
1845,amongst coworkers recognition,1,,0.0
1835,professional level food,1,,0.0
1939,etc gm top,1,,0.0
1941,top 100k including,1,,0.0
1942,100k including bonus,1,,0.0
1943,including bonus stick,1,,0.0
1944,bonus stick around,1,,0.0
1945,stick around long,1,,0.0
1946,around long enough,1,,0.0
1947,long enough lots,1,,0.0
1948,enough lots corporate,1,,0.0
1949,lots corporate structure,1,,0.0
1950,corporate structure support,1,,0.0
1951,structure support guide,1,,0.0
1952,support guide always,1,,0.0
1953,guide always know,1,,0.0
1954,always know exactly,1,,0.0
1955,know exactly expected,1,,0.0
1956,exactly expected excellent,1,,0.0
1957,expected excellent views,1,,0.0
1940,gm top 100k,1,,0.0
1938,401k etc gm,1,,0.0
1959,views treat customers,1,,0.0
1937,benefits 401k etc,1,,0.0
1920,drop shifts line,1,,0.0
1921,shifts line great,1,,0.0
1922,line great money,1,,0.0
1923,great money friendly,1,,0.0
1924,money friendly staff,1,,0.0
1925,friendly staff great,1,,0.0
1926,staff great food,1,,0.0
1927,great food processes,1,,0.0
1928,food processes always,1,,0.0
1929,processes always busy,1,,0.0
1930,always busy salary,1,,0.0
1931,busy salary bonus,1,,0.0
1932,salary bonus great,1,,0.0
1933,bonus great well,1,,0.0
1934,great well health,1,,0.0
1935,well health benefits,1,,0.0
1936,health benefits 401k,1,,0.0
1958,excellent views treat,1,,0.0
1960,treat customers employees,1,,0.0
1836,level food service,1,,0.0
1981,solid structure love,1,,0.0
1983,love food beer,1,,0.0
1984,food beer beat,1,,0.0
1985,beer beat environment,1,,0.0
1986,beat environment makes,1,,0.0
1987,environment makes work,1,,0.0
1988,makes work fun,1,,0.0
1989,work fun love,1,,0.0
1990,fun love co,1,,0.0
1991,co workers excellent,1,,0.0
1992,workers excellent food,1,,0.0
1993,excellent food sells,1,,0.0
1994,food sells expansive,1,,0.0
1995,sells expansive menu,1,,0.0
1996,expansive menu great,1,,0.0
1997,menu great drinks,1,,0.0
1998,great drinks always,1,,0.0
1999,drinks always busy,1,,0.0
1982,structure love food,1,,0.0
1980,teamwork solid structure,1,,0.0
1961,customers employees management,1,,0.0
1979,great teamwork solid,1,,0.0
1962,employees management everything,1,,0.0
1963,management everything make,1,,0.0
1964,everything make everyone,1,,0.0
1965,make everyone happy,1,,0.0
1966,everyone happy atmosphere,1,,0.0
1967,happy atmosphere great,1,,0.0
1968,atmosphere great people,1,,0.0
1969,great people bj,1,,0.0
1970,people bj hires,1,,0.0
1971,bj hires happy,1,,0.0
1972,hires happy work,1,,0.0
1973,happy work hardly,1,,0.0
1974,work hardly ever,1,,0.0
1975,hardly ever complain,1,,0.0
1976,ever complain work,1,,0.0
1977,complain work great,1,,0.0
1978,work great teamwork,1,,0.0
1919,pick drop shifts,1,,0.0
1918,scheduling pick drop,1,,0.0
1917,flexible scheduling pick,1,,0.0
1856,laid back potential,1,,0.0
1858,potential make good,1,,0.0
1859,good money put,1,,0.0
1860,money put effort,1,,0.0
1861,put effort great,1,,0.0
1862,effort great money,1,,0.0
1863,great money hours,1,,0.0
1864,money hours server,1,,0.0
1865,hours server 4,1,,0.0
1866,server 4 years,1,,0.0
1867,4 years cooks,1,,0.0
1868,years cooks work,1,,0.0
1869,cooks work extra,1,,0.0
1870,work extra hard,1,,0.0
1871,extra hard high,1,,0.0
1872,hard high volume,1,,0.0
1873,high volume advance,1,,0.0
1874,volume advance get,1,,0.0
1857,back potential make,1,,0.0
1855,pretty laid back,1,,0.0
1916,host flexible scheduling,1,,0.0
1854,friendly pretty laid,1,,0.0
1837,food service place,1,,0.0
1838,service place proud,1,,0.0
1839,place proud great,1,,0.0
1840,proud great scheduling,1,,0.0
1841,great scheduling system,1,,0.0
1842,scheduling system comraderie,1,,0.0
1843,system comraderie amongst,1,,0.0
1844,comraderie amongst coworkers,1,,0.0
1691,tip good sections,1,,0.0
1846,coworkers recognition appreciation,1,,0.0
1847,recognition appreciation hard,1,,0.0
1848,appreciation hard work,1,,0.0
1849,hard work staff,1,,0.0
1850,work staff easy,1,,0.0
1851,staff easy going,1,,0.0
1852,easy going friendly,1,,0.0
1853,going friendly pretty,1,,0.0
1875,advance get raises,1,,0.0
1876,get raises every,1,,0.0
1877,raises every section,1,,0.0
1878,every section line,1,,0.0
1899,really care guest,1,,0.0
1900,care guest experience,1,,0.0
1901,guest experience well,1,,0.0
1902,experience well want,1,,0.0
1903,well want work,1,,0.0
1904,want work way,1,,0.0
1905,work way serving,1,,0.0
1906,way serving good,1,,0.0
1907,serving good place,1,,0.0
1908,good place start,1,,0.0
1909,place start try,1,,0.0
1910,start try starting,1,,0.0
1911,try starting food,1,,0.0
1912,starting food runner,1,,0.0
1913,food runner take,1,,0.0
1914,runner take host,1,,0.0
1915,take host flexible,1,,0.0
1898,helpful really care,1,,0.0
1897,nice helpful really,1,,0.0
1896,managers nice helpful,1,,0.0
1886,within easy advance,1,,0.0
1879,section line learn,1,,0.0
1880,line learn busy,1,,0.0
1881,learn busy place,1,,0.0
1882,busy place store,1,,0.0
1883,place store promotes,1,,0.0
1884,store promotes within,1,,0.0
1885,promotes within easy,1,,0.0
1887,easy advance work,1,,0.0
1895,ship managers nice,1,,0.0
1888,advance work hard,1,,0.0
1889,work hard gm,1,,0.0
1890,hard gm book,1,,0.0
1891,gm book runs,1,,0.0
1892,book runs tight,1,,0.0
1893,runs tight ship,1,,0.0
1894,tight ship managers,1,,0.0
1692,good sections flexibility,1,,0.0
1676,members part nice,1,,0.0
1690,good tip good,1,,0.0
1459,tips protection employees,1,,0.0
1461,employees guests line,1,,0.0
1462,guests line overall,1,,0.0
1463,line overall positive,1,,0.0
1464,overall positive work,1,,0.0
1465,positive work environment,1,,0.0
1466,environment management open,1,,0.0
1467,management open listening,1,,0.0
1468,open listening team,1,,0.0
1469,listening team members,1,,0.0
1470,team members problems,1,,0.0
1471,members problems excellent,1,,0.0
1472,problems excellent company,1,,0.0
1473,excellent company work,1,,0.0
1474,company work bj,1,,0.0
1475,work bj values,1,,0.0
1476,bj values employees,1,,0.0
1477,values employees else,1,,0.0
1460,protection employees guests,1,,0.0
1458,decent tips protection,1,,0.0
1689,phone good tip,1,,0.0
1457,flexibility decent tips,1,,0.0
1440,good tips jobs,1,,0.0
1441,tips jobs lots,1,,0.0
1442,jobs lots room,1,,0.0
1443,lots room grow,1,,0.0
1444,room grow hard,1,,0.0
1445,grow hard work,1,,0.0
1446,hard work healthcare,1,,0.0
1447,work healthcare amp,1,,0.0
1448,healthcare amp 401k,1,,0.0
1449,amp 401k offered,1,,0.0
1450,401k offered servers,1,,0.0
1451,offered servers flexible,1,,0.0
1452,servers flexible scheduling,1,,0.0
1453,flexible scheduling lots,1,,0.0
1454,scheduling lots schedule,1,,0.0
1455,lots schedule flexibility,1,,0.0
1456,schedule flexibility decent,1,,0.0
1478,employees else executive,1,,0.0
1479,else executive kitchen,1,,0.0
1480,executive kitchen manager,1,,0.0
1481,kitchen manager challenged,1,,0.0
1503,customer service also,1,,0.0
1504,service also room,1,,0.0
1505,also room growth,1,,0.0
1507,growth within restaurant,1,,0.0
1508,within restaurant desired,1,,0.0
1509,restaurant desired cash,1,,0.0
1510,desired cash hand,1,,0.0
1511,cash hand nice,1,,0.0
1512,hand nice great,1,,0.0
1513,nice great managers,1,,0.0
1514,great managers work,1,,0.0
1515,managers work attentive,1,,0.0
1516,work attentive staff,1,,0.0
1517,attentive staff needs,1,,0.0
1518,staff needs worked,1,,0.0
1519,needs worked little,1,,0.0
1520,worked little year,1,,0.0
1502,communication customer service,1,,0.0
1501,interpersonal communication customer,1,,0.0
1500,strengthen interpersonal communication,1,,0.0
1489,less team free,1,,0.0
1482,manager challenged everyday,1,,0.0
1483,challenged everyday perform,1,,0.0
1484,everyday perform best,1,,0.0
1485,perform best expect,1,,0.0
1486,best expect nothing,1,,0.0
1487,expect nothing less,1,,0.0
1488,nothing less team,1,,0.0
1490,team free meal,1,,0.0
1499,opportunity strengthen interpersonal,1,,0.0
1491,free meal end,1,,0.0
1492,meal end every,1,,0.0
1493,end every shift,1,,0.0
