,name,count,pos,norm
124,good money,16,,1.0
161,flexible hours,12,,0.7333333333333334
112,place work,12,,0.7333333333333334
52,co workers,11,,0.6666666666666666
480,work environment,9,,0.5333333333333333
22,flexible schedule,8,,0.4666666666666667
82,great money,8,,0.4666666666666667
60,fast paced,7,,0.4
57,flexible scheduling,7,,0.4
640,easy get,6,,0.33333333333333337
637,free food,6,,0.33333333333333337
37,great atmosphere,6,,0.33333333333333337
479,great work,6,,0.33333333333333337
54,good food,6,,0.33333333333333337
233,management team,6,,0.33333333333333337
299,team members,5,,0.26666666666666666
1050,hard work,5,,0.26666666666666666
436,make good,5,,0.26666666666666666
303,good management,5,,0.26666666666666666
695,great food,5,,0.26666666666666666
332,great people,5,,0.26666666666666666
331,work great,5,,0.26666666666666666
457,room growth,5,,0.26666666666666666
111,great place,5,,0.26666666666666666
357,good tips,5,,0.26666666666666666
561,managers great,4,,0.2
796,fun place,4,,0.2
559,friendly staff,4,,0.2
341,willing work,4,,0.2
312,work hard,4,,0.2
857,fun work,4,,0.2
127,great team,4,,0.2
685,great job,4,,0.2
309,good hours,4,,0.2
1008,great management,4,,0.2
162,hours management,4,,0.2
992,make money,4,,0.2
179,advancement opportunities,4,,0.2
484,always busy,4,,0.2
441,minimum wage,4,,0.2
452,people work,4,,0.2
840,pay good,4,,0.2
126,food great,4,,0.2
376,good training,4,,0.2
350,fun environment,4,,0.2
39,good people,4,,0.2
459,schedule great,3,,0.13333333333333336
947,great staff,3,,0.13333333333333336
110,well great,3,,0.13333333333333336
1179,pretty good,3,,0.13333333333333336
217,fast pace,3,,0.13333333333333336
1094,staff great,3,,0.13333333333333336
993,money flexible,3,,0.13333333333333336
62,easy money,3,,0.13333333333333336
795,money fun,3,,0.13333333333333336
1197,get along,3,,0.13333333333333336
473,customer service,3,,0.13333333333333336
103,make great,3,,0.13333333333333336
1189,amount money,3,,0.13333333333333336
858,work good,3,,0.13333333333333336
207,get good,3,,0.13333333333333336
574,schedule good,3,,0.13333333333333336
122,great culture,3,,0.13333333333333336
591,money great,3,,0.13333333333333336
432,easy job,3,,0.13333333333333336
231,laid back,3,,0.13333333333333336
48,great tips,3,,0.13333333333333336
644,management fun,3,,0.13333333333333336
51,great co,3,,0.13333333333333336
821,money make,3,,0.13333333333333336
53,workers good,3,,0.13333333333333336
2,growth opportunities,3,,0.13333333333333336
604,good pay,3,,0.13333333333333336
36,busy great,3,,0.13333333333333336
148,location great,2,,0.06666666666666667
472,great customer,2,,0.06666666666666667
684,bj great,2,,0.06666666666666667
160,management flexible,2,,0.06666666666666667
1220,good good,2,,0.06666666666666667
529,work worked,2,,0.06666666666666667
1504,food beer,2,,0.06666666666666667
1234,fun staff,2,,0.06666666666666667
518,restaurant industry,2,,0.06666666666666667
910,good environment,2,,0.06666666666666667
1215,opportunity move,2,,0.06666666666666667
738,college student,2,,0.06666666666666667
1717,employees easy,2,,0.06666666666666667
950,environment management,2,,0.06666666666666667
1216,move around,2,,0.06666666666666667
266,work company,2,,0.06666666666666667
1153,hours easy,2,,0.06666666666666667
820,work money,2,,0.06666666666666667
152,great coworkers,2,,0.06666666666666667
151,pay great,2,,0.06666666666666667
1516,menu great,2,,0.06666666666666667
602,take care,2,,0.06666666666666667
867,working restaurant,2,,0.06666666666666667
443,work way,2,,0.06666666666666667
1583,great pay,2,,0.06666666666666667
1250,pick shifts,2,,0.06666666666666667
900,job college,2,,0.06666666666666667
431,money easy,2,,0.06666666666666667
277,free meal,2,,0.06666666666666667
204,money pretty,2,,0.06666666666666667
196,friendly customers,2,,0.06666666666666667
491,nice people,2,,0.06666666666666667
433,job nice,2,,0.06666666666666667
482,decent salary,2,,0.06666666666666667
1439,place start,2,,0.06666666666666667
1484,customers employees,2,,0.06666666666666667
1725,good amount,2,,0.06666666666666667
892,work restaurant,2,,0.06666666666666667
187,decent pay,2,,0.06666666666666667
1942,work lot,2,,0.06666666666666667
1670,management friendly,2,,0.06666666666666667
877,time managers,2,,0.06666666666666667
1491,atmosphere great,2,,0.06666666666666667
958,hiring within,2,,0.06666666666666667
435,hours make,2,,0.06666666666666667
477,opportunity advancement,2,,0.06666666666666667
1276,hot schedules,2,,0.06666666666666667
1277,schedules online,2,,0.06666666666666667
362,always something,2,,0.06666666666666667
1394,potential make,2,,0.06666666666666667
951,management cares,2,,0.06666666666666667
1102,growth within,2,,0.06666666666666667
995,great benefits,2,,0.06666666666666667
879,nice great,2,,0.06666666666666667
878,managers nice,2,,0.06666666666666667
165,money good,2,,0.06666666666666667
683,people bj,2,,0.06666666666666667
901,student flexible,2,,0.06666666666666667
856,people fun,2,,0.06666666666666667
1120,within company,2,,0.06666666666666667
94,easy sidework,2,,0.06666666666666667
556,ability make,2,,0.06666666666666667
460,atmosphere easy,2,,0.06666666666666667
1748,food wonderful,2,,0.06666666666666667
88,busy location,2,,0.06666666666666667
560,staff managers,2,,0.06666666666666667
562,great opportunities,2,,0.06666666666666667
31,well managers,2,,0.06666666666666667
842,hours good,2,,0.06666666666666667
564,environment great,2,,0.06666666666666667
565,team work,2,,0.06666666666666667
40,people good,2,,0.06666666666666667
1093,every shift,2,,0.06666666666666667
794,shift great,2,,0.06666666666666667
638,food shift,2,,0.06666666666666667
657,care employees,2,,0.06666666666666667
333,people great,2,,0.06666666666666667
799,working bj,2,,0.06666666666666667
456,lot room,2,,0.06666666666666667
1081,kitchen manager,2,,0.06666666666666667
924,work around,2,,0.06666666666666667
59,fun fast,2,,0.06666666666666667
592,environment well,2,,0.06666666666666667
928,college students,2,,0.06666666666666667
651,great managers,2,,0.06666666666666667
925,around schedule,2,,0.06666666666666667
1047,lots room,2,,0.06666666666666667
461,easy going,2,,0.06666666666666667
319,food runner,2,,0.06666666666666667
674,great company,2,,0.06666666666666667
539,move server,2,,0.06666666666666667
1101,also room,2,,0.06666666666666667
1635,job good,2,,0.06666666666666667
1797,company management,2,,0.06666666666666667
624,new restaurant,2,,0.06666666666666667
235,easy work,2,,0.06666666666666667
543,couple months,2,,0.06666666666666667
317,decent tips,2,,0.06666666666666667
676,huge growth,2,,0.06666666666666667
590,coworkers good,2,,0.06666666666666667
117,like family,2,,0.06666666666666667
318,tips food,2,,0.06666666666666667
1164,new people,2,,0.06666666666666667
808,serving good,2,,0.06666666666666667
1038,managers understanding,2,,0.06666666666666667
1143,tips fun,2,,0.06666666666666667
26,decent food,2,,0.06666666666666667
109,workers well,2,,0.06666666666666667
108,love co,2,,0.06666666666666667
1198,along well,2,,0.06666666666666667
106,food lot,2,,0.06666666666666667
1311,scheduling system,2,,0.06666666666666667
671,taking care,2,,0.06666666666666667
41,good benefits,2,,0.06666666666666667
670,job taking,2,,0.06666666666666667
100,discounts food,2,,0.06666666666666667
1452,food processes,1,,0.0
1447,pick drop,1,,0.0
1451,money friendly,1,,0.0
1443,runner take,1,,0.0
1392,pretty laid,1,,0.0
1450,line great,1,,0.0
1391,friendly pretty,1,,0.0
1449,shifts line,1,,0.0
1444,take host,1,,0.0
1448,drop shifts,1,,0.0
1445,host flexible,1,,0.0
1446,scheduling pick,1,,0.0
1401,4 years,1,,0.0
1423,hard gm,1,,0.0
1442,starting food,1,,0.0
1441,try starting,1,,0.0
1418,store promotes,1,,0.0
1398,money hours,1,,0.0
1417,place store,1,,0.0
1454,busy salary,1,,0.0
1416,busy place,1,,0.0
1415,learn busy,1,,0.0
1414,line learn,1,,0.0
1413,section line,1,,0.0
1412,every section,1,,0.0
1399,hours server,1,,0.0
1400,server 4,1,,0.0
1411,raises every,1,,0.0
1410,get raises,1,,0.0
1409,advance get,1,,0.0
1408,volume advance,1,,0.0
1407,high volume,1,,0.0
1406,hard high,1,,0.0
1405,extra hard,1,,0.0
1404,work extra,1,,0.0
1403,cooks work,1,,0.0
1402,years cooks,1,,0.0
1397,effort great,1,,0.0
1419,promotes within,1,,0.0
1420,within easy,1,,0.0
1431,really care,1,,0.0
1440,start try,1,,0.0
1438,good place,1,,0.0
1437,way serving,1,,0.0
1436,want work,1,,0.0
1435,well want,1,,0.0
1393,back potential,1,,0.0
1434,experience well,1,,0.0
1433,guest experience,1,,0.0
1432,care guest,1,,0.0
1430,helpful really,1,,0.0
1421,easy advance,1,,0.0
1429,nice helpful,1,,0.0
1428,ship managers,1,,0.0
1427,tight ship,1,,0.0
1395,money put,1,,0.0
1426,runs tight,1,,0.0
1425,book runs,1,,0.0
1424,gm book,1,,0.0
1396,put effort,1,,0.0
1422,advance work,1,,0.0
1453,processes always,1,,0.0
1490,happy atmosphere,1,,0.0
1455,salary bonus,1,,0.0
1515,expansive menu,1,,0.0
1542,something work,1,,0.0
1541,talk always,1,,0.0
1540,easy talk,1,,0.0
1539,relaxed easy,1,,0.0
1538,managers relaxed,1,,0.0
1537,connect managers,1,,0.0
1536,talk connect,1,,0.0
1535,fun talk,1,,0.0
1534,servers fun,1,,0.0
1533,money servers,1,,0.0
1532,system good,1,,0.0
1531,computer system,1,,0.0
1530,great computer,1,,0.0
1529,help great,1,,0.0
1528,servers help,1,,0.0
1527,work servers,1,,0.0
1526,understanding willing,1,,0.0
1525,usually understanding,1,,0.0
1524,managers usually,1,,0.0
1523,team managers,1,,0.0
1522,outgoing team,1,,0.0
1521,fun outgoing,1,,0.0
1520,staffed fun,1,,0.0
1519,busy staffed,1,,0.0
1518,drinks always,1,,0.0
1543,work roll,1,,0.0
1544,roll silverware,1,,0.0
1545,silverware clean,1,,0.0
1559,made sure,1,,0.0
1570,training make,1,,0.0
1569,lots training,1,,0.0
1568,pizookie lots,1,,0.0
1567,dead pizookie,1,,0.0
1566,ex dead,1,,0.0
1565,sometimes ex,1,,0.0
1564,food sometimes,1,,0.0
1563,alright free,1,,0.0
1562,including alright,1,,0.0
1561,team including,1,,0.0
1560,sure team,1,,0.0
1558,passion made,1,,0.0
1546,clean tables,1,,0.0
1557,showed passion,1,,0.0
1556,location showed,1,,0.0
1555,manager location,1,,0.0
1554,silverware kitchen,1,,0.0
1553,organize silverware,1,,0.0
1552,clean organize,1,,0.0
1551,tables clean,1,,0.0
1550,silverware tables,1,,0.0
1549,sure silverware,1,,0.0
1548,make sure,1,,0.0
1547,tables make,1,,0.0
1517,great drinks,1,,0.0
1514,sells expansive,1,,0.0
1456,bonus great,1,,0.0
1513,food sells,1,,0.0
1481,excellent views,1,,0.0
1480,expected excellent,1,,0.0
1479,exactly expected,1,,0.0
1478,know exactly,1,,0.0
1477,always know,1,,0.0
1476,guide always,1,,0.0
1475,support guide,1,,0.0
1474,structure support,1,,0.0
1473,corporate structure,1,,0.0
1472,lots corporate,1,,0.0
1471,enough lots,1,,0.0
1470,long enough,1,,0.0
1469,around long,1,,0.0
1468,stick around,1,,0.0
1467,bonus stick,1,,0.0
1466,including bonus,1,,0.0
1465,100k including,1,,0.0
1464,top 100k,1,,0.0
1463,gm top,1,,0.0
1462,etc gm,1,,0.0
1461,401k etc,1,,0.0
1460,benefits 401k,1,,0.0
1459,health benefits,1,,0.0
1458,well health,1,,0.0
1457,great well,1,,0.0
1482,views treat,1,,0.0
1483,treat customers,1,,0.0
1485,employees management,1,,0.0
1500,teamwork solid,1,,0.0
1512,excellent food,1,,0.0
1511,workers excellent,1,,0.0
1510,fun love,1,,0.0
1509,work fun,1,,0.0
1508,makes work,1,,0.0
1507,environment makes,1,,0.0
1506,beat environment,1,,0.0
1505,beer beat,1,,0.0
1503,love food,1,,0.0
1502,structure love,1,,0.0
1501,solid structure,1,,0.0
1499,great teamwork,1,,0.0
1486,management everything,1,,0.0
1498,complain work,1,,0.0
1497,ever complain,1,,0.0
1496,hardly ever,1,,0.0
1495,work hardly,1,,0.0
1494,happy work,1,,0.0
1493,hires happy,1,,0.0
1492,bj hires,1,,0.0
1389,staff easy,1,,0.0
1489,everyone happy,1,,0.0
1488,make everyone,1,,0.0
1487,everything make,1,,0.0
1390,going friendly,1,,0.0
1349,support family,1,,0.0
1388,work staff,1,,0.0
1209,tending lot,1,,0.0
1225,food every,1,,0.0
1224,restaurants free,1,,0.0
1223,meals restaurants,1,,0.0
1222,free meals,1,,0.0
1221,benefits free,1,,0.0
1219,pays good,1,,0.0
1218,country pays,1,,0.0
1217,around country,1,,0.0
1214,plenty opportunity,1,,0.0
1213,management plenty,1,,0.0
1212,supervising management,1,,0.0
1211,money supervising,1,,0.0
1210,lot money,1,,0.0
1208,bar tending,1,,0.0
1191,several different,1,,0.0
1207,move bar,1,,0.0
1206,liked move,1,,0.0
1205,really liked,1,,0.0
1204,year really,1,,0.0
1203,worked year,1,,0.0
1202,movement worked,1,,0.0
1201,upward movement,1,,0.0
1200,room upward,1,,0.0
1199,well also,1,,0.0
1196,one get,1,,0.0
1195,opportunity one,1,,0.0
1194,gives opportunity,1,,0.0
1193,managers gives,1,,0.0
1226,shift decent,1,,0.0
1227,salary flexible,1,,0.0
1228,easy trade,1,,0.0
1229,trade hours,1,,0.0
1258,sections flexibility,1,,0.0
1257,good sections,1,,0.0
1256,tip good,1,,0.0
1255,good tip,1,,0.0
1254,phone good,1,,0.0
1253,mobile phone,1,,0.0
1252,use mobile,1,,0.0
1251,shifts use,1,,0.0
1249,cover pick,1,,0.0
1248,easy cover,1,,0.0
1247,management easy,1,,0.0
1246,well management,1,,0.0
1245,nice easy,1,,0.0
1244,part nice,1,,0.0
1243,members part,1,,0.0
1242,atmosphere team,1,,0.0
1241,great flexible,1,,0.0
1240,coworkers great,1,,0.0
1239,well coworkers,1,,0.0
1238,compensate well,1,,0.0
1237,systems compensate,1,,0.0
1236,quality systems,1,,0.0
1235,managers quality,1,,0.0
1233,good fun,1,,0.0
1232,enjoyable place,1,,0.0
1231,colleages enjoyable,1,,0.0
1230,hours colleages,1,,0.0
1192,different managers,1,,0.0
1190,make several,1,,0.0
1387,appreciation hard,1,,0.0
1139,location extremely,1,,0.0
1154,money fast,1,,0.0
1152,endless good,1,,0.0
1151,provide endless,1,,0.0
1150,training provide,1,,0.0
1149,management training,1,,0.0
1148,staff good,1,,0.0
1147,good staff,1,,0.0
1146,generally good,1,,0.0
1145,atmosphere generally,1,,0.0
1144,work atmosphere,1,,0.0
1142,sales tips,1,,0.0
1141,busy sales,1,,0.0
1140,extremely busy,1,,0.0
1138,trainer location,1,,0.0
1188,schedule amount,1,,0.0
1137,based trainer,1,,0.0
1136,great based,1,,0.0
1135,experience great,1,,0.0
1134,training experience,1,,0.0
1133,flexible training,1,,0.0
1132,extremely flexible,1,,0.0
1131,scheduling extremely,1,,0.0
1130,positions scheduling,1,,0.0
1129,server positions,1,,0.0
1128,managers server,1,,0.0
1127,became managers,1,,0.0
1126,servers became,1,,0.0
1125,time servers,1,,0.0
1155,paced friendly,1,,0.0
1156,staff free,1,,0.0
1157,food friends,1,,0.0
1158,friends family,1,,0.0
1187,good schedule,1,,0.0
1186,oftentimes get,1,,0.0
1185,worker oftentimes,1,,0.0
1184,hard worker,1,,0.0
1183,prove hard,1,,0.0
1182,culture prove,1,,0.0
1181,overall culture,1,,0.0
1180,good overall,1,,0.0
1178,pay pretty,1,,0.0
1177,beat pay,1,,0.0
1176,sidework beat,1,,0.0
1175,ohio easy,1,,0.0
1174,central ohio,1,,0.0
1173,work central,1,,0.0
1172,restaurants work,1,,0.0
1171,best restaurants,1,,0.0
1170,one best,1,,0.0
1169,financially one,1,,0.0
1168,experience financially,1,,0.0
1167,build experience,1,,0.0
1166,good build,1,,0.0
1165,fun coworkers,1,,0.0
1163,meeting new,1,,0.0
1162,kegs meeting,1,,0.0
1161,discount kegs,1,,0.0
1160,discount discount,1,,0.0
1159,family discount,1,,0.0
1259,flexibility fun,1,,0.0
1260,environment managers,1,,0.0
1261,managers care,1,,0.0
1342,money 2,1,,0.0
1355,great standard,1,,0.0
1354,part food,1,,0.0
1353,contact part,1,,0.0
1352,maintain contact,1,,0.0
1351,workers maintain,1,,0.0
1350,family great,1,,0.0
1572,nice restaurant,1,,0.0
1348,money support,1,,0.0
1347,made great,1,,0.0
1346,food made,1,,0.0
1345,3 food,1,,0.0
1344,people 3,1,,0.0
1343,2 people,1,,0.0
1341,1 money,1,,0.0
1262,employees discount,1,,0.0
1340,hard 1,1,,0.0
1339,works hard,1,,0.0
1338,good works,1,,0.0
1337,team good,1,,0.0
1336,manahement team,1,,0.0
1335,atmosphere manahement,1,,0.0
1334,team atmosphere,1,,0.0
1333,dedicated team,1,,0.0
1332,years dedicated,1,,0.0
1331,throughout years,1,,0.0
1330,stability throughout,1,,0.0
1329,job stability,1,,0.0
1328,well job,1,,0.0
1356,standard benefits,1,,0.0
1357,benefits package,1,,0.0
1358,package nice,1,,0.0
1359,nice know,1,,0.0
1386,recognition appreciation,1,,0.0
1385,coworkers recognition,1,,0.0
1384,amongst coworkers,1,,0.0
1383,comraderie amongst,1,,0.0
1382,system comraderie,1,,0.0
1381,great scheduling,1,,0.0
1380,proud great,1,,0.0
1379,place proud,1,,0.0
1378,service place,1,,0.0
1377,food service,1,,0.0
1376,level food,1,,0.0
1375,professional level,1,,0.0
1374,growth professional,1,,0.0
1373,potential growth,1,,0.0
1372,great potential,1,,0.0
1371,pay well,1,,0.0
1370,hours pay,1,,0.0
1369,give pretty,1,,0.0
1368,signed give,1,,0.0
1367,hours signed,1,,0.0
1366,33 hours,1,,0.0
1365,minimum 33,1,,0.0
1364,worked minimum,1,,0.0
1363,long worked,1,,0.0
1362,free long,1,,0.0
1361,still free,1,,0.0
1360,know still,1,,0.0
1327,challenging work,1,,0.0
1326,provided challenging,1,,0.0
1325,company provided,1,,0.0
1293,crew members,1,,0.0
1291,availability great,1,,0.0
1290,work availability,1,,0.0
1289,experience willing,1,,0.0
1288,kitchen experience,1,,0.0
1287,much kitchen,1,,0.0
1286,someone much,1,,0.0
1285,pay someone,1,,0.0
1284,high pay,1,,0.0
1283,covered high,1,,0.0
1282,get covered,1,,0.0
1281,shifts get,1,,0.0
1280,easy pick,1,,0.0
1279,system easy,1,,0.0
1278,online system,1,,0.0
1275,easy hot,1,,0.0
1274,incentives easy,1,,0.0
1273,monthly incentives,1,,0.0
1272,scheduling monthly,1,,0.0
1271,easy scheduling,1,,0.0
1270,location easy,1,,0.0
1269,working busy,1,,0.0
1268,compensation working,1,,0.0
1267,decent compensation,1,,0.0
1266,guest decent,1,,0.0
1265,visit guest,1,,0.0
1264,working visit,1,,0.0
1263,discount working,1,,0.0
1292,great crew,1,,0.0
1294,members works,1,,0.0
1324,company company,1,,0.0
1295,works school,1,,0.0
1323,1am lots,1,,0.0
1322,5pm 1am,1,,0.0
1321,work 5pm,1,,0.0
1320,often work,1,,0.0
1319,schedules often,1,,0.0
1318,flexibility schedules,1,,0.0
1317,restaurants flexibility,1,,0.0
1316,bj restaurants,1,,0.0
1315,thing working,1,,0.0
1314,best thing,1,,0.0
1313,legit best,1,,0.0
1312,system legit,1,,0.0
1310,hotschedule scheduling,1,,0.0
1309,staff hotschedule,1,,0.0
1308,industry flexible,1,,0.0
1307,higher industry,1,,0.0
1306,pay higher,1,,0.0
1305,bright pay,1,,0.0
1304,future bright,1,,0.0
1303,country future,1,,0.0
1302,throughout country,1,,0.0
1301,openings throughout,1,,0.0
1300,restaurant openings,1,,0.0
1299,opportunities new,1,,0.0
1298,tips huge,1,,0.0
1297,schedule make,1,,0.0
1296,school schedule,1,,0.0
1571,money nice,1,,0.0
0,development career,1,,0.0
1573,restaurant foods,1,,0.0
1910,salary good,1,,0.0
1923,support center,1,,0.0
1922,restaurant support,1,,0.0
1921,operations working,1,,0.0
1920,restaurant operations,1,,0.0
1919,staying restaurant,1,,0.0
1918,options staying,1,,0.0
1917,many options,1,,0.0
1916,company many,1,,0.0
1915,travel company,1,,0.0
1914,grow travel,1,,0.0
1913,opportunity grow,1,,0.0
1912,lots opportunity,1,,0.0
1911,good lots,1,,0.0
1909,benefits salary,1,,0.0
1925,huntington beach,1,,0.0
1908,play schedule,1,,0.0
1907,terrible play,1,,0.0
1906,hours terrible,1,,0.0
1905,hear hours,1,,0.0
1904,joy hear,1,,0.0
1903,leaping joy,1,,0.0
1902,employees leaping,1,,0.0
1901,garden employees,1,,0.0
1900,olive garden,1,,0.0
1899,ex olive,1,,0.0
1898,make ex,1,,0.0
1897,salad make,1,,0.0
1896,soup salad,1,,0.0
1924,center huntington,1,,0.0
1926,beach california,1,,0.0
1574,foods good,1,,0.0
1943,lot different,1,,0.0
1956,compared restaurants,1,,0.0
1955,sales compared,1,,0.0
1954,increase sales,1,,0.0
1953,helps increase,1,,0.0
1952,microbrewery helps,1,,0.0
1951,work microbrewery,1,,0.0
1950,employees work,1,,0.0
1949,cares employees,1,,0.0
1948,around company,1,,0.0
1947,room move,1,,0.0
1946,job room,1,,0.0
1945,fun atmosphere,1,,0.0
1944,different people,1,,0.0
1941,get work,1,,0.0
1927,california steady,1,,0.0
1940,tips get,1,,0.0
1939,recognition good,1,,0.0
1938,gain recognition,1,,0.0
1937,promote gain,1,,0.0
1936,ways promote,1,,0.0
1935,looking ways,1,,0.0
1934,guiding looking,1,,0.0
1933,always guiding,1,,0.0
1932,concept always,1,,0.0
1931,innovative concept,1,,0.0
1930,base innovative,1,,0.0
1929,customer base,1,,0.0
1928,steady customer,1,,0.0
1895,orders soup,1,,0.0
1894,guest orders,1,,0.0
1893,also guest,1,,0.0
1847,team member,1,,0.0
1860,time practice,1,,0.0
1859,comes time,1,,0.0
1858,machine comes,1,,0.0
1857,oiled machine,1,,0.0
1856,well oiled,1,,0.0
1855,like well,1,,0.0
1854,run like,1,,0.0
1853,time run,1,,0.0
1852,stressful time,1,,0.0
1851,super stressful,1,,0.0
1850,family super,1,,0.0
1849,store family,1,,0.0
1848,member store,1,,0.0
1846,enter management,1,,0.0
1892,floor also,1,,0.0
1845,take enter,1,,0.0
1844,steps take,1,,0.0
1843,laid steps,1,,0.0
1842,well laid,1,,0.0
1841,move well,1,,0.0
1840,want move,1,,0.0
1839,growth want,1,,0.0
1838,goals lot,1,,0.0
1837,reaching goals,1,,0.0
1836,incentives reaching,1,,0.0
1835,management incentives,1,,0.0
1834,attitudes management,1,,0.0
1833,positive attitudes,1,,0.0
1861,practice relationship,1,,0.0
1862,relationship ever,1,,0.0
1863,ever speak,1,,0.0
1864,speak ask,1,,0.0
1891,money floor,1,,0.0
1890,daily money,1,,0.0
1889,making daily,1,,0.0
1888,still making,1,,0.0
1887,experience still,1,,0.0
1886,server experience,1,,0.0
1885,hey server,1,,0.0
1884,resume hey,1,,0.0
1883,good resume,1,,0.0
1882,looks good,1,,0.0
1881,career looks,1,,0.0
1880,real career,1,,0.0
1879,read real,1,,0.0
1878,thing read,1,,0.0
1877,office thing,1,,0.0
1876,bookkeeping office,1,,0.0
1875,pick bookkeeping,1,,0.0
1874,train pick,1,,0.0
1873,cross train,1,,0.0
1872,members cross,1,,0.0
1871,money team,1,,0.0
1870,space money,1,,0.0
1869,opening space,1,,0.0
1868,start opening,1,,0.0
1867,doors start,1,,0.0
1866,occasion doors,1,,0.0
1865,ask occasion,1,,0.0
1957,restaurants tips,1,,0.0
1958,wonderful people,1,,0.0
1959,people meet,1,,0.0
2038,think ever,1,,0.0
2051,someone working,1,,0.0
2050,much someone,1,,0.0
2049,twice much,1,,0.0
