,name,count,pos,norm
185,co workers,12,,0.9999999999999999
157,place work,12,,0.9999999999999999
340,good money,11,,0.9090909090909091
375,flexible hours,11,,0.9090909090909091
174,fast paced,8,,0.6363636363636364
685,work environment,8,,0.6363636363636364
300,great money,8,,0.6363636363636364
57,great management,6,,0.4545454545454545
93,team members,6,,0.4545454545454545
684,great work,6,,0.4545454545454545
447,management team,6,,0.4545454545454545
72,good people,6,,0.4545454545454545
841,easy get,6,,0.4545454545454545
513,good management,5,,0.36363636363636365
217,great people,5,,0.36363636363636365
642,make good,5,,0.36363636363636365
41,free food,5,,0.36363636363636365
259,great atmosphere,5,,0.36363636363636365
158,work great,5,,0.36363636363636365
563,good tips,5,,0.36363636363636365
296,flexible schedule,4,,0.2727272727272727
392,advancement opportunities,4,,0.2727272727272727
1060,fun work,4,,0.2727272727272727
1195,make money,4,,0.2727272727272727
522,work hard,4,,0.2727272727272727
376,hours management,4,,0.2727272727272727
328,great place,4,,0.2727272727272727
519,good hours,4,,0.2727272727272727
547,willing work,4,,0.2727272727272727
658,people work,4,,0.2727272727272727
139,hard work,4,,0.2727272727272727
582,good training,4,,0.2727272727272727
556,fun environment,4,,0.2727272727272727
885,great job,4,,0.2727272727272727
647,minimum wage,4,,0.2727272727272727
184,great co,4,,0.2727272727272727
997,money fun,3,,0.1818181818181818
272,workers good,3,,0.1818181818181818
776,schedule good,3,,0.1818181818181818
663,room growth,3,,0.1818181818181818
1061,work good,3,,0.1818181818181818
1297,staff great,3,,0.1818181818181818
258,busy great,3,,0.1818181818181818
213,good environment,3,,0.1818181818181818
1023,money make,3,,0.1818181818181818
1403,get along,3,,0.1818181818181818
1385,pretty good,3,,0.1818181818181818
1151,managers great,3,,0.1818181818181818
1395,amount money,3,,0.1818181818181818
227,growth opportunities,3,,0.1818181818181818
1043,pay good,3,,0.1818181818181818
1667,always busy,3,,0.1818181818181818
175,paced good,3,,0.1818181818181818
1567,food great,3,,0.1818181818181818
1664,great food,3,,0.1818181818181818
152,management cares,3,,0.1818181818181818
421,get good,3,,0.1818181818181818
763,friendly staff,3,,0.1818181818181818
678,customer service,3,,0.1818181818181818
338,great culture,3,,0.1818181818181818
327,well great,3,,0.1818181818181818
1196,money flexible,3,,0.1818181818181818
37,money good,3,,0.1818181818181818
638,easy job,3,,0.1818181818181818
1258,flexible scheduling,3,,0.1818181818181818
320,make great,3,,0.1818181818181818
43,easy going,3,,0.1818181818181818
445,laid back,3,,0.1818181818181818
793,money great,2,,0.09090909090909091
144,take home,2,,0.09090909090909091
1105,job college,2,,0.09090909090909091
2152,work lot,2,,0.09090909090909091
760,ability make,2,,0.09090909090909091
154,employees high,2,,0.09090909090909091
155,high energy,2,,0.09090909090909091
1097,work restaurant,2,,0.09090909090909091
176,good place,2,,0.09090909090909091
1346,tips fun,2,,0.09090909090909091
529,food runner,2,,0.09090909090909091
1045,hours good,2,,0.09090909090909091
528,tips food,2,,0.09090909090909091
767,environment great,2,,0.09090909090909091
768,great team,2,,0.09090909090909091
181,people great,2,,0.09090909090909091
1059,people fun,2,,0.09090909090909091
1082,managers nice,2,,0.09090909090909091
1846,job good,2,,0.09090909090909091
527,decent tips,2,,0.09090909090909091
1369,new people,2,,0.09090909090909091
192,training good,2,,0.09090909090909091
219,management good,2,,0.09090909090909091
1421,opportunity move,2,,0.09090909090909091
222,family environment,2,,0.09090909090909091
874,great company,2,,0.09090909090909091
