,name,count,pos,norm
45,management,11,NOUN,1.0
28,people,8,NOUN,0.7000000000000001
37,restaurant,5,NOUN,0.4
69,food,5,NOUN,0.4
8,team,4,NOUN,0.30000000000000004
55,work,4,NOUN,0.30000000000000004
25,environment,4,NOUN,0.30000000000000004
92,help,3,NOUN,0.20000000000000004
52,atmosphere,3,NOUN,0.20000000000000004
47,top,3,NOUN,0.20000000000000004
173,bonus,2,NOUN,0.1
95,growth,2,NOUN,0.1
78,pay,2,NOUN,0.1
58,staff,2,NOUN,0.1
79,benefits,2,NOUN,0.1
81,lots,2,NOUN,0.1
53,store,2,NOUN,0.1
84,employees,2,NOUN,0.1
163,support,2,NOUN,0.1
108,willing,2,NOUN,0.1
148,schedule,2,NOUN,0.1
143,place,2,NOUN,0.1
153,fun,2,NOUN,0.1
9,members,2,NOUN,0.1
190,program,2,NOUN,0.1
90,training,2,NOUN,0.1
165,managementmanagement,1,NOUN,0.0
135,organizedstaff,1,NOUN,0.0
138,managers,1,NOUN,0.0
142,energy,1,NOUN,0.0
156,friendsgreat,1,NOUN,0.0
149,conflicts,1,NOUN,0.0
161,beer,1,NOUN,0.0
159,workers,1,NOUN,0.0
157,company,1,NOUN,0.0
151,employee,1,NOUN,0.0
152,opinions,1,NOUN,0.0
5,experienceculture,1,NOUN,0.0
174,hours,1,NOUN,0.0
166,schedules,1,NOUN,0.0
183,opportunities,1,NOUN,0.0
191,performers,1,NOUN,0.0
189,incentive,1,NOUN,0.0
188,tech,1,NOUN,0.0
187,policy,1,NOUN,0.0
186,vacation,1,NOUN,0.0
185,restaurants,1,NOUN,0.0
184,locations,1,NOUN,0.0
182,career,1,NOUN,0.0
169,bosses,1,NOUN,0.0
180,family,1,NOUN,0.0
179,discounts,1,NOUN,0.0
178,job,1,NOUN,0.0
176,growthculture,1,NOUN,0.0
175,room,1,NOUN,0.0
127,parents,1,NOUN,0.0
171,days,1,NOUN,0.0
131,discount,1,NOUN,0.0
110,reason,1,NOUN,0.0
126,students,1,NOUN,0.0
39,runs,1,NOUN,0.0
72,upgreat,1,NOUN,0.0
65,money,1,NOUN,0.0
63,server,1,NOUN,0.0
60,tables,1,NOUN,0.0
50,sync,1,NOUN,0.0
48,line,1,NOUN,0.0
44,machine,1,NOUN,0.0
36,managementthis,1,NOUN,0.0
125,flexibility,1,NOUN,0.0
26,lot,1,NOUN,0.0
22,jobs,1,NOUN,0.0
20,technology,1,NOUN,0.0
19,use,1,NOUN,0.0
17,guest,1,NOUN,0.0
15,price,1,NOUN,0.0
11,saleshigh,1,NOUN,0.0
74,experience,1,NOUN,0.0
75,operations,1,NOUN,0.0
83,group,1,NOUN,0.0
88,customers,1,NOUN,0.0
124,scheduling,1,NOUN,0.0
123,clientele,1,NOUN,0.0
121,appetizers,1,NOUN,0.0
120,desserts,1,NOUN,0.0
119,sell,1,NOUN,0.0
118,table,1,NOUN,0.0
116,tab,1,NOUN,0.0
112,everyone,1,NOUN,0.0
7,care,1,NOUN,0.0
106,access,1,NOUN,0.0
105,something,1,NOUN,0.0
104,member,1,NOUN,0.0
98,teams,1,NOUN,0.0
96,industry,1,NOUN,0.0
94,opportunity,1,NOUN,0.0
192,club,1,NOUN,0.0
