,name,count,pos,norm
184,place work,11,,1.0
402,flexible hours,10,,0.9
212,co workers,9,,0.8
201,fast paced,8,,0.7000000000000001
100,good people,6,,0.5000000000000001
7,team members,6,,0.5000000000000001
367,good money,5,,0.4
327,great money,5,,0.4
244,great people,4,,0.30000000000000004
85,great management,4,,0.30000000000000004
403,hours management,4,,0.30000000000000004
185,work great,4,,0.30000000000000004
69,free food,4,,0.30000000000000004
669,make good,4,,0.30000000000000004
323,flexible schedule,4,,0.30000000000000004
712,work environment,4,,0.30000000000000004
711,great work,4,,0.30000000000000004
685,people work,4,,0.30000000000000004
868,easy get,4,,0.30000000000000004
583,fun environment,4,,0.30000000000000004
911,great job,4,,0.30000000000000004
546,good hours,3,,0.20000000000000004
299,workers good,3,,0.20000000000000004
540,good management,3,,0.20000000000000004
705,customer service,3,,0.20000000000000004
240,good environment,3,,0.20000000000000004
5,taking care,3,,0.20000000000000004
590,good tips,3,,0.20000000000000004
202,paced good,3,,0.20000000000000004
1087,work good,3,,0.20000000000000004
609,good training,3,,0.20000000000000004
355,great place,3,,0.20000000000000004
448,get good,3,,0.20000000000000004
285,busy great,3,,0.20000000000000004
549,work hard,3,,0.20000000000000004
211,great co,3,,0.20000000000000004
419,advancement opportunities,3,,0.20000000000000004
365,great culture,3,,0.20000000000000004
897,job taking,2,,0.1
1071,hours good,2,,0.1
112,great opportunity,2,,0.1
344,discounts food,2,,0.1
113,opportunity growth,2,,0.1
354,well great,2,,0.1
111,management great,2,,0.1
347,make great,2,,0.1
885,care employees,2,,0.1
353,workers well,2,,0.1
333,busy location,2,,0.1
97,people worked,2,,0.1
94,restaurant good,2,,0.1
1429,get along,2,,0.1
1430,along well,2,,0.1
900,great company,2,,0.1
169,food even,2,,0.1
131,management easy,2,,0.1
1222,money flexible,2,,0.1
246,management good,2,,0.1
249,family environment,2,,0.1
574,willing work,2,,0.1
219,training good,2,,0.1
965,college student,2,,0.1
208,people great,2,,0.1
1329,also room,2,,0.1
554,decent tips,2,,0.1
1022,shift great,2,,0.1
280,well managers,2,,0.1
286,great atmosphere,2,,0.1
288,people good,2,,0.1
289,good benefits,2,,0.1
182,high energy,2,,0.1
181,employees high,2,,0.1
179,management cares,2,,0.1
296,great tips,2,,0.1
171,take home,2,,0.1
166,hard work,2,,0.1
1049,money make,2,,0.1
664,money easy,2,,0.1
665,easy job,2,,0.1
666,job nice,2,,0.1
517,free meal,2,,0.1
910,bj great,2,,0.1
360,like family,2,,0.1
690,room growth,2,,0.1
832,take care,2,,0.1
71,easy going,2,,0.1
770,move server,2,,0.1
787,ability make,2,,0.1
474,management team,2,,0.1
774,couple months,2,,0.1
1185,hiring within,2,,0.1
476,easy work,2,,0.1
65,money good,2,,0.1
1132,student flexible,2,,0.1
390,location great,2,,0.1
401,management flexible,2,,0.1
1131,job college,2,,0.1
83,pay benefits,2,,0.1
1178,environment management,2,,0.1
820,money great,2,,0.1
458,fast pace,2,,0.1
73,people easy,2,,0.1
427,decent pay,2,,0.1
1085,people fun,2,,0.1
803,schedule good,2,,0.1
866,food shift,2,,0.1
722,nice people,2,,0.1
1086,fun work,2,,0.1
834,good pay,2,,0.1
1119,management roles,1,,0.0
1125,well maintained,1,,0.0
1122,nice work,1,,0.0
1120,roles people,1,,0.0
1124,restaurant well,1,,0.0
1024,fun place,1,,0.0
1123,work restaurant,1,,0.0
1023,money fun,1,,0.0
1121,people nice,1,,0.0
1025,place worki,1,,0.0
1117,host trainer,1,,0.0
1026,worki enjoy,1,,0.0
1027,enjoy working,1,,0.0
1118,trainer management,1,,0.0
1028,working bj,1,,0.0
1020,someone else,1,,0.0
1116,server host,1,,0.0
1029,work school,1,,0.0
1115,definitely move,1,,0.0
1030,school need,1,,0.0
1114,could definitely,1,,0.0
1031,need flexible,1,,0.0
1113,wanted could,1,,0.0
1032,flexible work,1,,0.0
1112,advancement wanted,1,,0.0
1111,opportunities advancement,1,,0.0
1021,else shift,1,,0.0
1084,working nice,1,,0.0
1019,pick someone,1,,0.0
998,food days,1,,0.0
1004,food free,1,,0.0
1003,tgood food,1,,0.0
1002,days tgood,1,,0.0
1001,25 days,1,,0.0
1000,work 25,1,,0.0
999,days work,1,,0.0
