,name,count,pos,norm
203,fast paced good,3,,1.0
215,great co workers,3,,1.0
367,great place work,2,,0.5
307,workers good food,2,,0.5
306,co workers good,2,,0.5
447,great career oportunitiesfast,1,,0.0
446,pay great career,1,,0.0
445,decent pay great,1,,0.0
444,moved decent pay,1,,0.0
443,location moved decent,1,,0.0
448,career oportunitiesfast paced,1,,0.0
449,oportunitiesfast paced time,1,,0.0
441,transfer new location,1,,0.0
440,easy transfer new,1,,0.0
439,also easy transfer,1,,0.0
438,opportunities also easy,1,,0.0
437,advancement opportunities also,1,,0.0
436,shift advancement opportunities,1,,0.0
435,work shift advancement,1,,0.0
434,day work shift,1,,0.0
442,new location moved,1,,0.0
433,every day work,1,,0.0
451,time goes faster,1,,0.0
422,great money good,1,,0.0
414,good people strong,1,,0.0
415,people strong management,1,,0.0
416,strong management flexible,1,,0.0
417,management flexible hours,1,,0.0
418,flexible hours management,1,,0.0
419,hours management awesome,1,,0.0
420,management awesome great,1,,0.0
421,awesome great money,1,,0.0
423,money good tippers,1,,0.0
432,meals every day,1,,0.0
424,good tippers awesome,1,,0.0
425,tippers awesome food,1,,0.0
426,awesome food servers,1,,0.0
427,food servers get,1,,0.0
428,servers get 50,1,,0.0
429,get 50 discount,1,,0.0
430,50 discount meals,1,,0.0
431,discount meals every,1,,0.0
450,paced time goes,1,,0.0
0,loved working easy,1,,0.0
452,goes faster everyone,1,,0.0
480,lots upside growing,1,,0.0
473,long pretty well,1,,0.0
474,pretty well managers,1,,0.0
475,well managers good,1,,0.0
476,managers good fast,1,,0.0
477,good fast pace,1,,0.0
478,fast pace lots,1,,0.0
479,pace lots upside,1,,0.0
481,upside growing company,1,,0.0
471,team gets long,1,,0.0
482,growing company right,1,,0.0
483,company right great,1,,0.0
484,right great program,1,,0.0
485,great program developing,1,,0.0
486,program developing servers,1,,0.0
487,developing servers managers,1,,0.0
488,servers managers awesome,1,,0.0
472,gets long pretty,1,,0.0
470,sections team gets,1,,0.0
412,meal perks good,1,,0.0
460,cause gripe minuscule,1,,0.0
453,faster everyone friendly,1,,0.0
454,everyone friendly customers,1,,0.0
455,friendly customers typically,1,,0.0
456,customers typically good,1,,0.0
457,typically good people,1,,0.0
458,good people cause,1,,0.0
459,people cause gripe,1,,0.0
461,gripe minuscule thingsgood,1,,0.0
469,server sections team,1,,0.0
462,minuscule thingsgood money,1,,0.0
463,thingsgood money pretty,1,,0.0
464,money pretty regular,1,,0.0
465,pretty regular get,1,,0.0
466,regular get good,1,,0.0
467,get good server,1,,0.0
468,good server sections,1,,0.0
413,perks good people,1,,0.0
410,culture awesome meal,1,,0.0
411,awesome meal perks,1,,0.0
490,awesome staff laid,1,,0.0
352,doubles employee discounts,1,,0.0
353,employee discounts food,1,,0.0
354,discounts food work,1,,0.0
355,food work make,1,,0.0
356,work make great,1,,0.0
357,make great money,1,,0.0
358,great money like,1,,0.0
359,money like food,1,,0.0
360,like food lot,1,,0.0
361,food lot love,1,,0.0
362,lot love co,1,,0.0
363,love co workers,1,,0.0
364,co workers well,1,,0.0
365,workers well great,1,,0.0
366,well great place,1,,0.0
368,place work server,1,,0.0
369,work server coworkers,1,,0.0
351,work doubles employee,1,,0.0
350,option work doubles,1,,0.0
349,sidework option work,1,,0.0
339,u put fastpaced,1,,0.0
332,flexible schedule uses,1,,0.0
333,schedule uses hotschedules,1,,0.0
334,uses hotschedules great,1,,0.0
335,hotschedules great money,1,,0.0
336,great money work,1,,0.0
337,money work u,1,,0.0
338,work u put,1,,0.0
340,put fastpaced busy,1,,0.0
348,easy sidework option,1,,0.0
341,fastpaced busy location,1,,0.0
342,busy location potential,1,,0.0
343,location potential meet,1,,0.0
344,potential meet cool,1,,0.0
345,meet cool people,1,,0.0
346,cool people easy,1,,0.0
347,people easy sidework,1,,0.0
370,server coworkers become,1,,0.0
371,coworkers become like,1,,0.0
372,become like family,1,,0.0
401,truly cared employeesgreat,1,,0.0
394,aware new policies,1,,0.0
395,new policies management,1,,0.0
396,policies management backed,1,,0.0
397,management backed employees,1,,0.0
398,backed employees needed,1,,0.0
399,employees needed truly,1,,0.0
400,needed truly cared,1,,0.0
