,year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
0,2010Q2,0.01,6248583.0,0.047883,0.01,0.01,0.01,0.01,-85417.0,0.01,8667000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,669713850.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.198012,0.01,0.065588,0.066415,0.048538,0.801988,0.068668,0.01,0.132425,0.73006,1.001038,0.26994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,393.9545,284.0265,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7190360.3,0.0551,0.066484
1,2010Q3,0.01,5427083.8,0.042142,0.01,0.01,0.01,0.01,-113916.2,0.01,7579000.0,7366000.0,14945000.0,17223000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,795286600.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.01315,0.01,-0.125534,-0.13147,-0.125197,-0.130435,0.01,0.01,0.01,0.199851,0.11605,0.05771,0.058852,0.043027,0.800149,0.064109,0.01,0.142141,0.730232,1.001187,0.269768,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95535,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,329.5217,235.9602,-419.3043,-512.8659,715.3913,-33.4348,0.01,0.01,0.01,0.01,0.01,0.01,7386296.1,0.057355,0.058922
2,2011Q1,0.01,7026801.6,0.048507,0.01,0.01,0.01,0.01,-168198.4,0.01,10348000.0,7947000.0,18295000.0,15237000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1115415160.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.736717,0.01,0.01,0.405054,0.126293,0.069791,0.071434,0.049668,0.594946,0.068465,0.01,0.335264,0.695035,1.000387,0.304965,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.50863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,369.5714,250.9572,-174.6071,-293.2214,276.7857,-267.3929,0.01,0.01,0.01,0.01,0.01,0.01,7990119.8,0.055157,0.071461
3,2011Q2,0.171575,7635805.3,0.049944,250449000.0,0.01,0.01,0.01,-532194.7,-60546000.0,10699000.0,8256000.0,18955000.0,26150000.0,-32200000.0,23370000.0,23370000.0,0.01,0.01,-60546000.0,310995000.0,10.6648,10.5045,1497708960.0,1437162960.0,4.8159,4.8893,0.01,0.01,0.01,0.01,5.7383,0.01,0.01,0.01,0.01,16.1586,0.01,0.01,0.234453,0.222006,0.289548,0.217391,0.01,0.01,0.01,0.055398,0.036075,0.03392,0.086669,0.135233,0.12,3.554968,0.01,0.01,0.410015,0.12398,0.069352,0.06998,0.053425,0.589985,0.06406,0.01,0.340663,0.720155,1.060099,0.279845,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.1947,1.4734,1.5619,0.01,0.01,0.01,0.00879,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.349943,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,396.2593,282.8076,-572.2593,-685.7109,1307.4444,338.9259,0.01,1.3749,1.0598,0.01,0.01,0.01,9787629.0,0.064019,0.074186
4,2011Q3,0.175833,6265186.3,0.041375,269386000.0,0.01,0.01,0.01,-70813.7,-49378000.0,8639000.0,8644000.0,17283000.0,27975000.0,-26358000.0,13943000.0,13943000.0,0.01,0.01,-49378000.0,318764000.0,10.908,10.7481,1410301980.0,1360923980.0,4.4243,4.4901,0.01,0.01,0.01,0.01,5.0519,0.01,0.01,0.01,0.01,15.053,0.01,0.15644,0.13986,0.15443,0.143476,0.1,0.089218,0.01,0.01,-0.009563,-0.088209,-0.192541,-0.179499,-0.22429,-0.214286,-0.492309,0.01,0.075612,0.411213,0.114136,0.056675,0.057051,0.041842,0.588787,0.061932,0.01,0.354539,0.730038,1.00463,0.269962,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.1549,1.4659,1.4727,0.01,0.01,0.01,0.001434,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.640643,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,308.5357,223.7567,-690.5714,-775.3505,640.0714,-359.0357,0.01,1.2406,0.8839,0.01,0.01,0.01,8949536.1,0.059102,0.057316
5,2011Q4,0.01,9731992.8,0.056657,279314000.0,2.2231,0.01,0.01,-139007.2,-53135000.0,13263000.0,9228000.0,22491000.0,21881000.0,-32565000.0,12831000.0,12831000.0,0.01,0.01,-53135000.0,332449000.0,11.4075,11.2472,1283166290.0,1230031290.0,3.8597,3.9148,2.0665,40.6451,0.01,0.024603,4.4038,1.9809,15.9695,28.6393,40.1248,15.1951,0.01,0.01,0.01,0.01,0.01,0.01,-0.321375,0.01,0.01,0.13435,0.301337,0.535247,0.553345,0.557923,0.5,0.114608,0.01,0.036854,0.40838,0.130937,0.076219,0.077214,0.057467,0.59162,0.063236,0.01,0.332161,0.743354,1.001206,0.256646,1.3323,50.5242,71.3912,1.7232,17.0874,7.2243,5.1127,21.3608,-9.0239,-0.1598,1.5028,1.5046,0.01,0.01,0.125955,0.002616,0.123339,-0.019713,0.106242,-0.05381,0.102869,0.076561,0.01,0.106242,0.01,0.01,0.912938,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,6.2298,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.173,0.8081,-0.052444,0.020664,0.020664,9720842.5,0.056593,0.077307
6,2012Q1,0.156991,8346779.1,0.049801,288373000.0,2.2321,0.01,0.01,-268220.9,-54880000.0,12096000.0,9526000.0,21622000.0,18027000.0,-27978000.0,15010000.0,15010000.0,0.01,0.01,-54880000.0,343253000.0,11.8322,11.6711,1476028800.0,1421148800.0,4.3001,4.3595,2.2931,44.7417,0.01,0.022351,4.9282,2.2078,17.6868,31.7952,44.4486,15.0027,0.01,0.181853,0.168922,0.187849,0.197359,0.2,1.777677,0.01,0.01,-0.024248,-0.038638,-0.087989,-0.142336,-0.127241,-0.090909,0.077643,0.01,0.032433,0.405104,0.129006,0.070183,0.07217,0.051401,0.594896,0.063919,0.01,0.33492,0.709579,1.00372,0.290421,1.254,40.0725,69.8765,1.61,18.0986,9.1085,5.2235,20.1673,-5.8353,-0.1599,1.4954,1.5009,0.01,0.01,0.111161,0.004887,0.106274,-0.016991,0.09417,0.01,0.090504,0.064458,0.01,0.09417,0.01,0.01,1.194153,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,6.9278,504.0,347.7825,-247.125,-403.3425,896.9583,145.8333,0.01,1.2176,0.8561,-0.043465,0.023319,0.023319,9150732.2,0.054597,0.072439
7,2012Q2,0.181893,8646448.1,0.047851,308293000.0,2.4036,57844000.0,-49197551.9,-320551.9,-45626000.0,12370000.0,10060000.0,22430000.0,38065000.0,-25129000.0,8330000.0,8330000.0,0.01,0.01,-45626000.0,353919000.0,12.2113,12.05,1093238760.0,1047612760.0,3.089,3.1303,1.6281,32.3549,0.01,0.030907,3.3981,1.5601,12.4975,22.5934,31.7622,12.4327,0.01,0.183329,0.156183,0.132356,0.097821,0.107143,-0.296394,0.01,0.230961,0.078113,0.037369,0.022652,0.035902,0.040859,0.033333,0.153807,0.01,0.069077,0.408426,0.124131,0.067921,0.068458,0.049625,0.591574,0.061877,0.01,0.340506,0.70451,1.028941,0.29549,1.3657,53.4352,65.4934,1.7415,21.0138,6.8307,5.5731,17.3696,-4.9658,-0.1597,1.479,1.5218,0.01,0.01,0.115014,0.006038,0.108975,-0.017401,0.097613,0.01,0.093491,0.067771,0.01,0.097613,0.01,0.01,0.652515,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,5.574,1237.0,864.6448,-2569.5,-2941.8552,2483.8,-1322.7,-4919.7552,1.1259,0.7268,-0.037423,0.012405,0.012405,10981897.9,0.060776,0.070439
8,2012Q3,0.15714,6648256.0,0.037942,312680000.0,2.389,43294000.0,-36645744.0,-190744.0,-49586000.0,9051000.0,10562000.0,19613000.0,29680000.0,-37563000.0,988000.0,988000.0,0.01,0.01,-49586000.0,362266000.0,12.5569,12.3949,1302577500.0,1252991500.0,3.5956,3.6426,1.8734,37.9849,0.01,0.026326,4.0073,1.8021,14.5433,26.7848,37.5513,12.6172,0.01,0.134815,0.047691,0.061143,0.079388,0.090909,0.839471,0.01,0.160714,-0.030305,-0.125591,-0.26831,-0.2311,-0.237315,-0.225806,0.327281,0.255131,0.01423,0.403299,0.111934,0.050525,0.051655,0.039031,0.596701,0.059611,0.01,0.352774,0.750961,1.006187,0.249039,1.3761,72.2603,67.919,1.72,22.6155,5.0512,5.374,16.1394,-5.7142,-0.1453,1.4838,1.493,0.01,0.01,0.090646,0.003855,0.086791,-0.012612,0.078034,0.01,0.071082,0.05371,0.01,0.078034,0.01,0.01,1.110748,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,6.0295,905.1,664.8256,-2062.9,-2303.1744,3296.7,328.7,-3664.5744,1.0135,0.6402,-0.054025,0.001421,0.001421,8446056.1,0.048203,0.051975
9,2012Q4,0.075893,6421231.3,0.034746,330910000.0,2.3215,51596000.0,-45174768.7,-566768.7,-40924000.0,8120000.0,11199000.0,19319000.0,19670000.0,-40509000.0,-7119000.0,-7119000.0,0.01,0.01,-40924000.0,371834000.0,12.8854,12.7235,949395300.0,908471300.0,2.5533,2.5858,1.3403,30.2269,0.01,0.033083,2.7454,1.2826,10.9475,21.8188,30.1916,10.2849,0.01,-0.141034,-0.38777,-0.340194,-0.292068,-0.272727,-0.549509,0.01,0.184724,0.054703,-0.01499,-0.102862,-0.034148,0.021787,0.01,-0.72703,-0.232743,0.058302,0.40717,0.104537,0.043159,0.043938,0.037813,0.59283,0.069219,0.01,0.364011,0.805069,1.068966,0.194931,1.3344,42.3285,69.979,1.6704,17.0254,8.623,5.2158,21.4386,-7.5997,-0.1336,1.5073,1.6113,0.01,0.01,0.080664,0.012051,0.068612,-0.009163,0.0715,-0.070485,0.058633,0.050459,0.01,0.0715,0.01,0.01,0.457499,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,4.7141,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9137,0.6343,-0.05719,-0.01005,-0.01005,8156155.3,0.044134,0.046968
