index,year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adj_close
0,2009Q2,0.01,35327056.8,0.090853,0.01,0.01,0.01,0.01,-65943.2,0.01,57429000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2575600000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.445535,0.01,0.147419,0.147695,0.091023,0.554465,0.179104,0.01,0.298115,0.616291,1.0,0.383709,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,37121697.4,0.095469,0.147695,97.05
1,2009Q3,0.01,34427568.0,0.088827,0.01,0.01,0.01,0.01,-36432.0,0.01,54867000.0,15451000.0,70318000.0,28473000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3100650450.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.003228,0.01,-0.044612,-0.025462,-0.026248,-0.018182,0.01,0.01,0.01,0.442976,0.181428,0.141413,0.141563,0.088921,0.557024,0.177184,0.01,0.301563,0.628137,1.0,0.371863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.262881,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36989739.4,0.095437,0.141563,88.16
2,2010Q1,0.01,37726366.2,0.092086,0.01,0.01,0.01,0.01,-120633.8,0.01,61492000.0,16734000.0,78226000.0,19703000.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3584483380.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.266156,0.01,0.01,0.443659,0.190941,0.149617,0.150095,0.092381,0.556341,0.17055,0.01,0.294042,0.615478,1.0,0.384522,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.038471,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,39431857.0,0.096249,0.150095,136.81
3,2010Q2,0.200612,46249984.7,0.09907,442972000.0,0.01,0.01,0.01,-211015.3,-307042000.0,75301000.0,17053000.0,92354000.0,21950000.0,-68268000.0,238774000.0,238774000.0,0.01,0.01,-307042000.0,750014000.0,23.5839,22.894,4350831620.0,4043789620.0,5.801,5.9758,0.01,0.01,0.01,0.01,9.1288,0.01,0.01,0.01,0.01,14.7065,0.01,0.01,0.311202,0.309194,0.312717,0.327273,0.01,0.01,0.01,0.139509,0.180605,0.224566,0.225933,0.227601,0.226891,0.154041,0.01,0.01,0.450108,0.197828,0.160566,0.161299,0.099522,0.549892,0.178024,0.01,0.289542,0.617004,1.0,0.382996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.4094,1.3455,1.3455,0.01,0.01,0.01,0.000687,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.147563,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.3741,3.0906,0.01,0.01,0.01,48246608.9,0.103347,0.161299,172.0
4,2010Q3,0.230385,47992319.0,0.100639,460033000.0,0.01,0.01,0.01,-235681.0,-300996000.0,77965000.0,17319000.0,95284000.0,29526000.0,-59030000.0,241966000.0,241966000.0,0.01,0.01,-300996000.0,761029000.0,24.0611,23.3675,5440188000.0,5139192000.0,7.1485,7.3607,0.01,0.01,0.01,0.01,11.1714,0.01,0.01,0.01,0.01,18.5012,0.01,0.355044,0.420982,0.394008,0.399373,0.407407,0.043597,0.01,0.01,0.021491,0.031726,0.035378,0.037672,0.038032,0.041096,-0.026763,0.01,0.038515,0.452849,0.19981,0.162693,0.163492,0.101134,0.547151,0.179291,0.01,0.290156,0.618585,1.0,0.381415,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.3955,1.3565,1.3565,0.01,0.01,0.01,0.000783,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.277315,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.3394,2.953,0.01,0.01,0.01,50128912.5,0.10512,0.163492,212.66
5,2010Q4,0.01,46250601.5,0.095852,461269000.0,3.9802,0.01,0.01,-194398.5,-349604000.0,74303000.0,17815000.0,92118000.0,42036000.0,-66437000.0,283167000.0,283167000.0,0.01,0.01,-349604000.0,810873000.0,25.5514,24.8601,6748765100.0,6399161100.0,8.3228,8.5543,3.676,37.7066,0.01,0.026521,13.8729,3.4855,17.8757,22.1378,35.9061,22.1278,0.01,0.01,0.01,0.01,0.01,0.01,0.139924,0.01,0.01,0.011842,-0.033227,-0.04697,-0.036292,-0.03697,-0.032895,0.383031,0.01,0.002687,0.442261,0.19091,0.153345,0.153989,0.096255,0.557739,0.172042,0.01,0.288916,0.625076,1.0,0.374924,1.7627,352.3504,159.6413,2.7959,34.4339,1.0359,2.2864,10.6,-7.2778,-0.4311,1.3756,1.3756,0.01,0.01,0.381506,0.000556,0.38095,-0.164245,0.217261,0.327023,0.271433,0.169666,0.01,0.217261,0.01,0.707349,2.21227,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,15.7596,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.3012,2.887,-0.036187,0.154237,0.154237,49127199.8,0.101814,0.153989,112.67
6,2011Q1,0.243352,46204766.8,0.090707,475351000.0,4.072,0.01,0.01,-177233.2,-387395000.0,75108000.0,18494000.0,93602000.0,26438000.0,-50123000.0,277816000.0,277816000.0,0.01,0.01,-387395000.0,862746000.0,27.2014,26.5097,8638759290.0,8251364290.0,10.0131,10.2744,4.463,46.0695,0.01,0.021706,17.3585,4.2629,22.1004,27.2613,44.1964,27.7237,0.01,0.196559,0.221427,0.224734,0.225513,0.226891,0.140946,0.01,0.01,0.055672,0.01611,0.010834,-0.000991,-0.001356,-0.006803,-0.265498,0.01,0.030529,0.434226,0.183755,0.146885,0.147449,0.091055,0.565774,0.175901,0.01,0.287341,0.617537,1.0,0.382463,1.6714,253.9184,123.0203,2.8324,29.9188,1.4375,2.967,12.1997,-7.7952,-0.449,1.3423,1.3423,0.01,0.01,0.369358,0.000458,0.3689,-0.165646,0.203712,0.01,0.246452,0.152193,0.01,0.203712,0.01,0.652355,2.583592,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,20.3333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.7965,3.3778,-0.025895,0.143528,0.143528,48030824.9,0.094292,0.147449,308.19
7,2011Q2,0.224316,51898408.1,0.090801,464790000.0,4.4953,21818000.0,30080408.1,1241408.1,-474272000.0,81857000.0,18505000.0,100362000.0,31243000.0,-60264000.0,324296000.0,324296000.0,0.01,0.01,-474272000.0,939062000.0,29.5665,28.8758,9788422590.0,9314150590.0,10.4236,10.673,4.7974,51.058,0.01,0.019586,20.0395,4.565,24.4231,30.1202,48.4233,27.8075,0.01,0.08671,0.087064,0.122128,0.090312,0.089041,0.540202,0.01,0.049254,0.122063,0.072221,0.089857,0.123226,0.092169,0.089041,0.55788,0.01,-0.022217,0.429937,0.175593,0.146726,0.143217,0.088629,0.570063,0.182289,0.01,0.28321,0.618848,1.0,0.381152,1.7955,409.4602,154.5512,3.0516,32.47,0.8914,2.3617,11.2411,-7.988,-0.4626,1.3455,1.3455,0.01,0.01,0.40818,-0.003178,0.411358,-0.190281,0.217899,0.01,0.257148,0.159135,0.01,0.217899,0.01,0.472078,3.405915,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,20.8475,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.7619,3.3278,-0.029536,0.158942,0.158942,53744430.2,0.094031,0.143217,302.95
8,2011Q3,0.241112,60158020.0,0.101643,455089000.0,4.7105,-4944000.0,65102020.0,-274980.0,-544352000.0,98458000.0,18741000.0,117199000.0,35186000.0,-85348000.0,359286000.0,359286000.0,0.01,0.01,-544352000.0,999441000.0,31.3974,30.7082,9643504400.0,9099152400.0,9.6489,9.8655,4.4743,47.2913,0.01,0.021146,19.9942,4.2217,22.5628,27.5961,44.4923,23.7041,0.01,0.229997,0.262849,0.253493,0.253069,0.25,0.727439,0.01,-0.010747,0.035505,0.167763,0.202805,0.15915,0.192984,0.194969,0.091551,1.164267,-0.020872,0.435944,0.19802,0.165598,0.166355,0.102108,0.564056,0.169672,0.01,0.270345,0.613795,1.0,0.386205,1.8144,422.1565,152.6666,3.1287,28.7526,0.8646,2.3908,12.6945,-9.4391,-0.4802,1.3495,1.3495,0.01,0.01,0.478786,0.000651,0.478136,-0.229593,0.249194,0.01,0.301841,0.185269,0.01,0.249194,0.01,0.279192,3.301114,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,19.6305,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.7972,3.5066,-0.039599,0.166697,0.166697,62445019.1,0.105507,0.166355,337.74
9,2011Q4,0.236732,57220631.3,0.095887,459737000.0,4.9284,-1532000.0,58752631.3,-252368.7,-584489000.0,94282000.0,19198000.0,113480000.0,58280000.0,-112509000.0,343739000.0,343739000.0,0.01,0.01,-584489000.0,1044226000.0,32.8631,32.1727,10731688500.0,10147199500.0,10.2772,10.4977,4.7286,49.9276,0.01,0.020029,22.0717,4.471,23.8958,29.0165,47.0929,24.6833,46.7605,0.231898,0.268886,0.237187,0.237442,0.231293,0.292833,0.01,-0.003321,0.008271,-0.031732,-0.042414,-0.048828,-0.04898,-0.047368,0.035074,-0.09753,0.010213,0.440338,0.190164,0.157299,0.157993,0.09631,0.559662,0.178338,0.01,0.283039,0.609586,1.0,0.390414,1.7822,323.1363,160.1198,3.1768,32.0112,1.1296,2.2795,11.4023,-7.9932,-0.5035,1.3729,1.3729,0.01,0.01,0.472572,0.00054,0.472032,-0.237681,0.234891,0.471232,0.281574,0.171644,0.01,0.234891,0.01,0.295462,2.06292,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,19.6562,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.1831,2.951,-0.049573,0.151457,0.151457,60046063.1,0.100622,0.157993,272.37
