,name,count,pos
270,team members,5,
101,work environment,4,
255,care employees,3,
689,food runner,3,
46,food runners,3,
904,one day,3,
81,upper management,3,
266,managers care,3,
263,bad bad,3,
242,horrible clientele,3,
122,managers managers,3,
799,co workers,2,
1329,incompetent managers,2,
917,servers get,2,
150,management stand,2,
1450,turnover high,2,
633,management completely,2,
546,constantly running,2,
436,far worst,2,
547,running around,2,
634,completely incompetent,2,
434,opening training,2,
74,never felt,2,
423,really shocked,2,
847,horrible management,2,
636,one manager,2,
528,hard work,2,
87,bad management,2,
412,service managers,2,
325,want work,2,
641,someone else,2,
455,managers unprofessional,2,
305,feel like,2,
235,management favoritism,2,
2,lack communication,2,
1642,would always,2,
271,members like,2,
739,general manager,2,
250,free food,2,
495,food run,2,
18,time status,2,
253,management unprofessional,2,
273,lot favoritism,2,
1262,going home,1,
1263,home tips,1,
1265,ludicrous system,1,
1264,tips ludicrous,1,
1266,system ever,1,
1197,annoyed frankly,1,
1261,runners going,1,
1259,money also,1,
1260,also food,1,
1198,frankly pissed,1,
1268,heard 20years,1,
1258,keep money,1,
1257,amount keep,1,
1256,correct amount,1,
1199,pissed pushovers,1,
1255,runner correct,1,
1200,pushovers came,1,
1254,tip food,1,
1253,going tip,1,
1252,waiter going,1,
1267,ever heard,1,
1211,waste gas,1,
1269,20years restaurant,1,
1250,tipped accordingly,1,
1287,many managers,1,
1286,needed many,1,
1285,together needed,1,
1284,seems together,1,
1283,never seems,1,
1282,kitchen never,1,
1281,time kitchen,1,
1280,reviews time,1,
1279,service reviews,1,
1278,customer service,1,
1277,terrible customer,1,
1276,time terrible,1,
1275,complaints time,1,
1274,many complaints,1,
1273,workers many,1,
1272,uncaring co,1,
1194,awful begin,1,
1195,begin easily,1,
1271,business uncaring,1,
1196,easily annoyed,1,
1270,restaurant business,1,
1251,accordingly waiter,1,
1249,shift tipped,1,
1201,came certain,1,
1230,screwed leads,1,
1228,everyone gets,1,
1227,outs everyone,1,
1226,tip outs,1,
1225,fair tip,1,
1224,nobody fair,1,
1223,screwed nobody,1,
1222,server screwed,1,
1221,runner server,1,
1220,shifts food,1,
1206,great gueststhe,1,
1207,gueststhe sidework,1,
1208,sidework amount,1,
1219,closing shifts,1,
1218,opening closing,1,
1209,amount insane,1,
1217,mornings opening,1,
1216,set mornings,1,
1210,insane waste,1,
1215,cut set,1,
1214,work cut,1,
1213,go work,1,
1229,gets screwed,1,
1205,genders great,1,
1212,gas go,1,
1204,people genders,1,
1248,run shift,1,
1247,receipts food,1,
1246,based receipts,1,
1245,math based,1,
1244,correctly math,1,
1243,manager correctly,1,
1242,ends manager,1,
1241,shift ends,1,
1240,tips shift,1,
1202,certain types,1,
1203,types people,1,
1239,get tips,1,
1238,wait get,1,
1237,shouldnt wait,1,
1236,runners shouldnt,1,
1289,promotes much,1,
1235,tipping food,1,
1234,tips tipping,1,
1233,skimming tips,1,
1232,people skimming,1,
1231,leads people,1,
1288,managers promotes,1,
0,managers severely,1,
1290,much micromanaging,1,
1364,workplace drama,1,
1376,cheat pay,1,
1375,tried cheat,1,
1374,disappointed tried,1,
1373,employer disappointed,1,
1372,previous employer,1,
1371,upgrade previous,1,
1370,thought upgrade,1,
1369,process thought,1,
1368,hiring process,1,
1367,biased hiring,1,
1366,managers biased,1,
1365,drama incompetent,1,
1363,service workplace,1,
1291,micromanaging room,1,
1362,period service,1,
1361,time period,1,
1360,hour time,1,
1359,three hour,1,
1358,handle three,1,
1357,person handle,1,
1356,one person,1,
1355,lot one,1,
1354,already lot,1,
1353,expecting already,1,
1352,station expecting,1,
1351,work station,1,
1377,pay promising,1,
1378,promising one,1,
1379,one rate,1,
1380,rate delivering,1,
1405,given dishwasher,1,
1404,promotion given,1,
1403,werent promotion,1,
1402,though werent,1,
1401,even though,1,
1400,book even,1,
1399,everything book,1,
1398,expected everything,1,
1397,hits expected,1,
1396,rush hits,1,
1395,till rush,1,
1394,office till,1,
1393,hide office,1,
1392,overpaid hide,1,
1391,incompetent overpaid,1,
1390,books management,1,
1389,system books,1,
1388,put system,1,
1387,weeks put,1,
1386,2 weeks,1,
1385,id 2,1,
1384,till id,1,
1383,waited till,1,
1382,another waited,1,
1381,delivering another,1,
1350,amount work,1,
1349,twice amount,1,
1348,horror twice,1,
