,name,count,pos
1,one day,2,
46,would always,2,
186,demands coworkers,1,
191,unpleasant two,1,
190,working unpleasant,1,
189,made working,1,
188,also made,1,
187,coworkers also,1,
185,ridiculous demands,1,
193,girls front,1,
184,keep ridiculous,1,
183,able keep,1,
182,scolded able,1,
181,expect scolded,1,
180,seated expect,1,
179,need seated,1,
192,two girls,1,
194,front constantly,1,
177,amount guests,1,
203,also unorganized,1,
209,certain table,1,
208,party certain,1,
207,take party,1,
206,tell take,1,
205,surprised tell,1,
204,unorganized surprised,1,
202,two also,1,
195,constantly rude,1,
201,customers two,1,
200,angry customers,1,
199,apologizing angry,1,
198,always apologizing,1,
197,guests always,1,
196,rude guests,1,
178,guests need,1,
176,large amount,1,
211,get mad,1,
150,staff working,1,
156,order pick,1,
155,smoothly order,1,
154,run smoothly,1,
153,restaurant run,1,
152,make restaurant,1,
151,working make,1,
149,enough staff,1,
158,slack made,1,
148,keep enough,1,
147,refuse keep,1,
146,restaurants refuse,1,
145,hostesses restaurants,1,
144,beyond hostesses,1,
143,well beyond,1,
157,pick slack,1,
159,made clean,1,
175,keep large,1,
168,people busy,1,
174,trying keep,1,
173,everything trying,1,
172,complete everything,1,
171,impossible complete,1,
170,days impossible,1,
169,busy days,1,
167,seating people,1,
160,clean bathrooms,1,
166,top seating,1,
165,silverware top,1,
164,wash silverware,1,
163,tables wash,1,
162,clear tables,1,
161,bathrooms clear,1,
210,table get,1,
0,randomly one,1,
142,work well,1,
256,place want,1,
262,interview manager,1,
261,hour interview,1,
260,wait hour,1,
259,expect wait,1,
258,work expect,1,
257,want work,1,
255,decided place,1,
264,tell come,1,
254,still decided,1,
253,taken still,1,
252,taxes taken,1,
251,40 taxes,1,
250,amounts 40,1,
249,slave amounts,1,
263,manager tell,1,
265,come back,1,
213,taking get,1,
274,lot bureaucratic,1,
280,stand call,1,
279,management stand,1,
278,restaurant management,1,
277,incompetent restaurant,1,
276,measures incompetent,1,
275,bureaucratic measures,1,
273,applicants lot,1,
266,back another,1,
272,time applicants,1,
271,numerous time,1,
270,happened numerous,1,
269,also happened,1,
268,day also,1,
267,another day,1,
248,like slave,1,
247,working like,1,
246,shift working,1,
221,expect get,1,
227,weeks scheduled,1,
226,working weeks,1,
225,months working,1,
224,first months,1,
223,hours first,1,
222,get hours,1,
220,addition expect,1,
245,hour shift,1,
219,times addition,1,
218,several times,1,
217,hostesses several,1,
216,happened hostesses,1,
215,back happened,1,
214,get back,1,
228,scheduled work,1,
229,work yet,1,
230,yet girls,1,
231,girls seniority,1,
232,seniority would,1,
233,would work,1,
234,work six,1,
235,six days,1,
236,days every,1,
237,every week,1,
238,week hostesses,1,
239,hostesses also,1,
240,also ones,1,
241,ones get,1,
242,get tipped,1,
243,tipped five,1,
244,five hour,1,
212,mad taking,1,
141,expect work,1,
140,also expect,1,
44,shifts work,1,
51,silverware weekends,1,
50,glasses silverware,1,
49,staff glasses,1,
48,short staff,1,
47,always short,1,
45,work would,1,
43,worst shifts,1,
35,completely avoided,1,
42,get worst,1,
41,advanvancement get,1,
40,training advanvancement,1,
39,get training,1,
38,gm get,1,
37,liked gm,1,
52,weekends busy,1,
53,busy would,1,
54,always run,1,
55,run product,1,
56,product night,1,
57,night shift,1,
58,shift gm,1,
59,gm ekm,1,
60,ekm make,1,
61,make orders,1,
62,orders would,1,
63,would home,1,
64,home dealing,1,
65,dealing upset,1,
66,upset customers,1,
67,customers dont,1,
68,dont order,1,
36,avoided liked,1,
34,could completely,1,
70,would called,1,
9,one month,1,
15,managed month,1,
14,store managed,1,
13,first store,1,
12,knew first,1,
11,one knew,1,
10,month one,1,
8,new one,1,
33,frustrating could,1,
7,gone new,1,
6,gm gone,1,
5,told gm,1,
4,shift told,1,
3,came shift,1,
2,day came,1,
16,month later,1,
17,later new,1,
18,new management,1,
19,management excluding,1,
20,excluding agm,1,
21,agm long,1,
22,long time,1,
23,time along,1,
24,along came,1,
25,came stressful,1,
26,stressful unhappy,1,
27,unhappy work,1,
28,work environment,1,
29,environment ever,1,
30,ever reason,1,
31,reason believe,1,
32,believe frustrating,1,
69,order would,1,
71,called home,1,
139,us also,1,
115,care yet,1,
121,complain recently,1,
120,something complain,1,
119,find something,1,
118,still find,1,
117,managers still,1,
116,yet managers,1,
114,taken care,1,
106,slaves constantly,1,
113,everything taken,1,
112,sure everything,1,
111,making sure,1,
110,restaurant making,1,
109,around restaurant,1,
108,running around,1,
122,recently yelled,1,
123,yelled losing,1,
124,losing three,1,
125,three parties,1,
126,parties one,1,
127,day guests,1,
128,guests thought,1,
129,thought wait,1,
130,wait long,1,
131,long decided,1,
132,decided eat,1,
133,eat somewhere,1,
134,somewhere else,1,
135,else course,1,
136,course managers,1,
137,managers blamed,1,
138,blamed us,1,
107,constantly running,1,
105,like slaves,1,
72,home would,1,
80,selling real,1,
86,mgr attention,1,
85,area mgr,1,
84,bring area,1,
83,would bring,1,
82,estate would,1,
81,real estate,1,
79,concerned selling,1,
104,work like,1,
78,location concerned,1,
77,sugarland location,1,
76,gm sugarland,1,
75,phones gm,1,
74,answer phones,1,
73,would answer,1,
87,attention would,1,
88,would get,1,
89,get upset,1,
90,upset ask,1,
91,ask change,1,
92,change product,1,
93,product situation,1,
94,situation management,1,
95,management particular,1,
96,particular restaurant,1,
97,restaurant poor,1,
98,poor order,1,
99,order save,1,
100,save money,1,
101,money make,1,
102,make hostesses,1,
103,hostesses work,1,
281,call shifts,1,
