,name,count,pos
121,team members,5,
117,managers care,3,
93,horrible clientele,3,
760,one day,3,
114,bad bad,3,
106,care employees,3,
543,food runner,3,
236,work environment,3,
1094,food runners,2,
400,running around,2,
488,completely incompetent,2,
490,one manager,2,
104,management unprofessional,2,
495,someone else,2,
101,free food,2,
156,feel like,2,
593,general manager,2,
1309,turnover high,2,
399,constantly running,2,
348,food run,2,
276,really shocked,2,
702,horrible management,2,
308,managers unprofessional,2,
86,management favoritism,2,
287,opening training,2,
289,far worst,2,
381,hard work,2,
176,want work,2,
487,management completely,2,
265,service managers,2,
660,managers managers,2,
773,servers get,2,
1501,would always,2,
653,co workers,2,
995,upper management,2,
1188,incompetent managers,2,
124,lot favoritism,2,
1,management stand,2,
122,members like,2,
1189,managers nowhere,1,
1165,individuals get,1,
1299,make sure,1,
1156,make anyone,1,
1191,found need,1,
1157,anyone able,1,
1167,passed lower,1,
1166,get passed,1,
1164,working individuals,1,
1159,suck enough,1,
1163,hard working,1,
1158,able suck,1,
1162,instead hard,1,
1190,nowhere found,1,
1161,manager instead,1,
1160,enough manager,1,
1181,servers frustrated,1,
1187,tips incompetent,1,
1180,kitchen servers,1,
1168,lower managers,1,
1179,managers kitchen,1,
1178,communication managers,1,
1177,management communication,1,
1182,frustrated customers,1,
1183,customers blaming,1,
1176,hypocriticalpoor management,1,
1184,blaming server,1,
1175,extremely hypocriticalpoor,1,
1174,rules extremely,1,
1154,ideas company,1,
1173,think rules,1,
1185,server lower,1,
1172,especially think,1,
1171,ones especially,1,
1170,newer ones,1,
1186,lower tips,1,
1169,managers newer,1,
1155,company make,1,
1149,much micromanaging,1,
1153,voice ideas,1,
1152,improve voice,1,
1125,system ever,1,
1124,ludicrous system,1,
1123,tips ludicrous,1,
1122,home tips,1,
1121,going home,1,
1120,runners going,1,
1119,also food,1,
1118,money also,1,
1117,keep money,1,
1116,amount keep,1,
1115,correct amount,1,
1114,runner correct,1,
1113,tip food,1,
1112,going tip,1,
1111,waiter going,1,
1110,accordingly waiter,1,
1109,tipped accordingly,1,
1108,shift tipped,1,
1107,run shift,1,
1106,receipts food,1,
1105,based receipts,1,
1104,math based,1,
1103,correctly math,1,
1126,ever heard,1,
1127,heard 20years,1,
1128,20years restaurant,1,
1141,kitchen never,1,
1151,room improve,1,
1150,micromanaging room,1,
1193,clientele horrible,1,
1148,promotes much,1,
1147,managers promotes,1,
1146,many managers,1,
1145,needed many,1,
1144,together needed,1,
1143,seems together,1,
1142,never seems,1,
1140,time kitchen,1,
1129,restaurant business,1,
1139,reviews time,1,
1138,service reviews,1,
1137,customer service,1,
1136,terrible customer,1,
1135,time terrible,1,
1134,complaints time,1,
1133,many complaints,1,
1132,workers many,1,
1131,uncaring co,1,
1130,business uncaring,1,
1192,need horrible,1,
1294,tip bar,1,
1194,management horrible,1,
1195,horrible flexibility,1,
1266,never worked,1,
1265,dishwasher never,1,
1264,given dishwasher,1,
1263,promotion given,1,
1262,werent promotion,1,
1261,though werent,1,
1260,even though,1,
1259,book even,1,
1258,everything book,1,
1257,expected everything,1,
1256,hits expected,1,
1255,rush hits,1,
1254,till rush,1,
1253,office till,1,
1252,hide office,1,
1251,overpaid hide,1,
1250,incompetent overpaid,1,
1249,books management,1,
1248,system books,1,
1247,put system,1,
1246,weeks put,1,
1245,2 weeks,1,
1244,id 2,1,
1267,worked boh,1,
1268,boh kitchen,1,
1269,kitchen manager,1,
1282,absolute worst,1,
1292,snakes servers,1,
1291,spineless snakes,1,
1290,communication spineless,1,
1289,horrible communication,1,
1288,joke horrible,1,
1287,management joke,1,
1286,ever management,1,
1285,ive ever,1,
1284,job ive,1,
1283,worst job,1,
1281,places absolute,1,
1270,manager clearly,1,
1280,shady places,1,
1279,worked shady,1,
1278,ive worked,1,
1277,days ive,1,
1276,2 days,1,
1275,job 2,1,
1274,got job,1,
1273,fraternizing got,1,
1272,began fraternizing,1,
1271,clearly began,1,
1243,till id,1,
1242,waited till,1,
1241,another waited,1,
1205,left figured,1,
1214,lot one,1,
1213,already lot,1,
1212,expecting already,1,
1211,station expecting,1,
1210,work station,1,
1296,5 management,1,
1209,amount work,1,
1208,twice amount,1,
1207,horror twice,1,
1206,figured horror,1,
1204,trainers left,1,
1216,person handle,1,
1297,management even,1,
1203,expected trainers,1,
1202,work expected,1,
1201,enough work,1,
1293,servers tip,1,
1200,paid enough,1,
1199,get paid,1,
1198,trainingyou get,1,
1197,horrible trainingyou,1,
1196,flexibility horrible,1,
1215,one person,1,
1295,bar 5,1,
1240,delivering another,1,
1229,thought upgrade,1,
1239,rate delivering,1,
1238,one rate,1,
1237,promising one,1,
1236,pay promising,1,
1235,cheat pay,1,
1234,tried cheat,1,
1233,disappointed tried,1,
1232,employer disappointed,1,
1231,previous employer,1,
1230,upgrade previous,1,
1228,process thought,1,
1217,handle three,1,
1227,hiring process,1,
1226,biased hiring,1,
1225,managers biased,1,
1224,drama incompetent,1,
1223,workplace drama,1,
1222,service workplace,1,
1221,period service,1,
1220,time period,1,
1219,hour time,1,
1218,three hour,1,
1298,even make,1,
0,awful management,1,
1102,manager correctly,1,
952,lot weight,1,
963,complaint rather,1,
962,guest complaint,1,
961,one guest,1,
960,felt one,1,
959,never felt,1,
