,name,count,pos
0,management,15,NOUN
51,work,12,NOUN
117,managers,9,NOUN
166,one,8,NOUN
2,lot,6,NOUN
106,time,6,NOUN
15,restaurant,6,NOUN
80,manager,6,NOUN
25,people,6,NOUN
72,tips,6,NOUN
229,staff,5,NOUN
78,shift,5,NOUN
66,tip,5,NOUN
60,food,5,NOUN
128,make,5,NOUN
384,hostesses,4,NOUN
301,guests,4,NOUN
9,everything,4,NOUN
146,customers,4,NOUN
112,kitchen,4,NOUN
59,shifts,4,NOUN
13,servers,4,NOUN
46,amount,4,NOUN
366,order,3,NOUN
109,service,3,NOUN
10,ones,3,NOUN
328,day,3,NOUN
215,days,3,NOUN
170,hour,3,NOUN
214,job,2,NOUN
356,silverware,2,NOUN
144,communication,2,NOUN
101,business,2,NOUN
129,anyone,2,NOUN
279,store,2,NOUN
333,month,2,NOUN
4,favoritism,2,NOUN
359,product,2,NOUN
257,table,2,NOUN
193,weeks,2,NOUN
237,times,2,NOUN
231,turnover,2,NOUN
97,system,2,NOUN
62,server,2,NOUN
251,employees,2,NOUN
31,training,2,NOUN
74,runners,2,NOUN
21,change,2,NOUN
61,runner,2,NOUN
431,girls,2,NOUN
57,closing,2,NOUN
93,money,2,NOUN
64,nobody,2,NOUN
304,steps,1,NOUN
357,weekends,1,NOUN
284,matter,1,NOUN
300,robot,1,NOUN
354,glasses,1,NOUN
360,night,1,NOUN
350,advanvancement,1,NOUN
344,reason,1,NOUN
343,environment,1,NOUN
339,agm,1,NOUN
309,things,1,NOUN
311,others,1,NOUN
324,lack,1,NOUN
468,stand,1,NOUN
315,mistakes,1,NOUN
326,consideration,1,NOUN
319,practices,1,NOUN
287,nothing,1,NOUN
321,covina,1,NOUN
325,empathy,1,NOUN
361,ekm,1,NOUN
303,introduction,1,NOUN
459,taxes,1,NOUN
362,orders,1,NOUN
369,phones,1,NOUN
427,demands,1,NOUN
428,coworkers,1,NOUN
433,front,1,NOUN
440,take,1,NOUN
467,measures,1,NOUN
441,party,1,NOUN
448,addition,1,NOUN
465,applicants,1,NOUN
462,interview,1,NOUN
449,hours,1,NOUN
450,months,1,NOUN
460,place,1,NOUN
452,seniority,1,NOUN
454,week,1,NOUN
456,slave,1,NOUN
416,tables,1,NOUN
414,bathrooms,1,NOUN
412,slack,1,NOUN
381,situation,1,NOUN
370,sugarland,1,NOUN
371,location,1,NOUN
375,estate,1,NOUN
377,area,1,NOUN
378,mgr,1,NOUN
379,attention,1,NOUN
457,amounts,1,NOUN
408,restaurants,1,NOUN
385,slaves,1,NOUN
390,care,1,NOUN
394,something,1,NOUN
398,parties,1,NOUN
400,eat,1,NOUN
403,course,1,NOUN
280,air,1,NOUN
223,snakes,1,NOUN
270,minute,1,NOUN
124,voice,1,NOUN
104,workers,1,NOUN
105,complaints,1,NOUN
108,customer,1,NOUN
111,reviews,1,NOUN
121,micromanaging,1,NOUN
122,room,1,NOUN
125,ideas,1,NOUN
265,works,1,NOUN
126,company,1,NOUN
135,individuals,1,NOUN
141,rules,1,NOUN
153,clientele,1,NOUN
154,flexibility,1,NOUN
155,trainingyou,1,NOUN
89,waiter,1,NOUN
84,receipts,1,NOUN
82,math,1,NOUN
68,everyone,1,NOUN
67,outs,1,NOUN
55,mornings,1,NOUN
53,cut,1,NOUN
49,gas,1,NOUN
48,waste,1,NOUN
45,sidework,1,NOUN
42,genders,1,NOUN
41,types,1,NOUN
39,pushovers,1,NOUN
34,begin,1,NOUN
32,mess,1,NOUN
20,managermanagement,1,NOUN
7,worker,1,NOUN
158,trainers,1,NOUN
160,horror,1,NOUN
162,station,1,NOUN
221,joke,1,NOUN
263,btw,1,NOUN
262,help,1,NOUN
260,complex,1,NOUN
259,superiority,1,NOUN
256,buss,1,NOUN
254,sleeves,1,NOUN
253,roll,1,NOUN
249,expectations,1,NOUN
247,weight,1,NOUN
246,pull,1,NOUN
239,heck,1,NOUN
233,stress,1,NOUN
230,employee,1,NOUN
224,bar,1,NOUN
218,places,1,NOUN
167,person,1,NOUN
207,dishwasher,1,NOUN
205,promotion,1,NOUN
202,book,1,NOUN
200,rush,1,NOUN
199,office,1,NOUN
198,hide,1,NOUN
195,books,1,NOUN
186,rate,1,NOUN
180,employer,1,NOUN
176,process,1,NOUN
175,hiring,1,NOUN
173,drama,1,NOUN
172,workplace,1,NOUN
171,period,1,NOUN
469,call,1,NOUN
