,name,count,pos
50,management,33,NOUN
0,managers,27,NOUN
36,work,24,NOUN
79,one,18,NOUN
64,people,16,NOUN
10,lot,15,NOUN
199,get,15,NOUN
191,servers,13,NOUN
120,food,12,NOUN
47,make,12,NOUN
20,time,12,NOUN
302,manager,10,NOUN
3,employees,9,NOUN
382,guests,8,NOUN
101,restaurant,8,NOUN
360,tips,8,NOUN
181,kitchen,8,NOUN
485,everything,8,NOUN
2,care,8,NOUN
22,shift,8,NOUN
35,good,7,NOUN
224,shifts,7,NOUN
7,team,7,NOUN
206,hours,7,NOUN
85,day,7,NOUN
340,tip,6,NOUN
39,job,6,NOUN
137,training,6,NOUN
124,service,6,NOUN
276,staff,6,NOUN
12,favoritism,6,NOUN
213,server,5,NOUN
8,members,5,NOUN
278,pay,5,NOUN
72,communication,5,NOUN
198,hour,5,NOUN
76,take,5,NOUN
385,times,5,NOUN
105,store,4,NOUN
435,location,4,NOUN
421,days,4,NOUN
668,customers,4,NOUN
130,opening,4,NOUN
619,amount,4,NOUN
822,hostesses,4,NOUN
163,year,4,NOUN
431,company,4,NOUN
433,money,4,NOUN
359,tables,4,NOUN
69,lack,4,NOUN
185,complaints,3,NOUN
377,wall,3,NOUN
372,employee,3,NOUN
168,way,3,NOUN
368,know,3,NOUN
306,someone,3,NOUN
807,order,3,NOUN
174,everyone,3,NOUN
335,beer,3,NOUN
337,runner,3,NOUN
354,weeks,3,NOUN
284,problems,3,NOUN
117,years,3,NOUN
519,table,3,NOUN
60,coworkers,3,NOUN
475,product,3,NOUN
119,quality,3,NOUN
48,break,3,NOUN
21,call,3,NOUN
100,environment,3,NOUN
83,months,3,NOUN
457,help,3,NOUN
600,ones,3,NOUN
521,station,2,NOUN
726,turnover,2,NOUN
310,answer,2,NOUN
309,minute,2,NOUN
412,raise,2,NOUN
604,change,2,NOUN
545,compassion,2,NOUN
299,hiring,2,NOUN
281,crap,2,NOUN
578,pull,2,NOUN
570,cut,2,NOUN
274,issues,2,NOUN
535,night,2,NOUN
478,robot,2,NOUN
500,clientele,2,NOUN
448,responsibility,2,NOUN
398,schedule,2,NOUN
413,nothing,2,NOUN
662,anyone,2,NOUN
262,rules,2,NOUN
653,business,2,NOUN
650,system,2,NOUN
454,provide,2,NOUN
327,well,2,NOUN
635,runners,2,NOUN
357,hostess,2,NOUN
471,expectations,2,NOUN
629,nobody,2,NOUN
626,closing,2,NOUN
404,workers,2,NOUN
271,harassment,2,NOUN
559,weight,2,NOUN
140,restaurants,2,NOUN
32,position,2,NOUN
77,class,2,NOUN
189,apply,2,NOUN
84,advance,2,NOUN
193,week,2,NOUN
178,favorites,2,NOUN
91,thing,2,NOUN
67,room,2,NOUN
59,reason,2,NOUN
853,girls,2,NOUN
802,silverware,2,NOUN
103,treatment,2,NOUN
58,place,2,NOUN
41,stars,2,NOUN
155,ideas,2,NOUN
184,guest,2,NOUN
152,practices,2,NOUN
146,blame,2,NOUN
784,month,2,NOUN
231,cooks,2,NOUN
26,things,2,NOUN
6,value,2,NOUN
148,trainers,2,NOUN
252,individuals,2,NOUN
659,micromanaging,1,NOUN
834,course,1,NOUN
661,voice,1,NOUN
631,outs,1,NOUN
865,addition,1,NOUN
860,party,1,NOUN
639,math,1,NOUN
851,demands,1,NOUN
855,front,1,NOUN
641,receipts,1,NOUN
645,waiter,1,NOUN
839,slack,1,NOUN
841,bathrooms,1,NOUN
867,seniority,1,NOUN
656,reviews,1,NOUN
655,customer,1,NOUN
776,mistakes,1,NOUN
870,slave,1,NOUN
603,managermanagement,1,NOUN
563,anxiety,1,NOUN
565,complaint,1,NOUN
569,section,1,NOUN
572,approach,1,NOUN
878,measures,1,NOUN
580,point,1,NOUN
583,stability,1,NOUN
591,cig,1,NOUN
599,worker,1,NOUN
876,applicants,1,NOUN
874,interview,1,NOUN
625,mornings,1,NOUN
607,mess,1,NOUN
609,begin,1,NOUN
613,pushovers,1,NOUN
615,types,1,NOUN
616,genders,1,NOUN
618,sidework,1,NOUN
873,taxes,1,NOUN
621,waste,1,NOUN
832,eat,1,NOUN
871,amounts,1,NOUN
622,gas,1,NOUN
673,trainingyou,1,NOUN
830,parties,1,NOUN
741,buss,1,NOUN
723,snakes,1,NOUN
724,bar,1,NOUN
805,orders,1,NOUN
728,stress,1,NOUN
804,ekm,1,NOUN
803,weekends,1,NOUN
732,heck,1,NOUN
800,glasses,1,NOUN
798,advanvancement,1,NOUN
738,roll,1,NOUN
739,sleeves,1,NOUN
743,superiority,1,NOUN
672,flexibility,1,NOUN
790,agm,1,NOUN
744,complex,1,NOUN
746,btw,1,NOUN
748,works,1,NOUN
781,consideration,1,NOUN
562,fatigue,1,NOUN
758,matter,1,NOUN
780,empathy,1,NOUN
768,introduction,1,NOUN
779,covina,1,NOUN
769,steps,1,NOUN
721,joke,1,NOUN
719,places,1,NOUN
712,dishwasher,1,NOUN
710,promotion,1,NOUN
827,something,1,NOUN
773,others,1,NOUN
823,slaves,1,NOUN
677,horror,1,NOUN
681,person,1,NOUN
684,period,1,NOUN
685,workplace,1,NOUN
819,situation,1,NOUN
686,drama,1,NOUN
688,process,1,NOUN
818,attention,1,NOUN
817,mgr,1,NOUN
691,employer,1,NOUN
695,rate,1,NOUN
816,area,1,NOUN
814,estate,1,NOUN
810,sugarland,1,NOUN
701,books,1,NOUN
703,hide,1,NOUN
809,phones,1,NOUN
704,office,1,NOUN
705,rush,1,NOUN
707,book,1,NOUN
756,air,1,NOUN
419,california,1,NOUN
557,medications,1,NOUN
195,wage,1,NOUN
208,dollars,1,NOUN
209,pennsylvania,1,NOUN
215,state,1,NOUN
222,reinforcement,1,NOUN
225,ladder,1,NOUN
228,head,1,NOUN
230,prep,1,NOUN
243,line,1,NOUN
253,criteria,1,NOUN
255,require,1,NOUN
256,item,1,NOUN
257,sleep,1,NOUN
260,practice,1,NOUN
266,females,1,NOUN
273,ignores,1,NOUN
275,teamwork,1,NOUN
277,awfulcrap,1,NOUN
282,managementbecause,1,NOUN
283,corporation,1,NOUN
286,serversits,1,NOUN
291,vacation,1,NOUN
292,opportunity,1,NOUN
293,respect,1,NOUN
305,cover,1,NOUN
315,points,1,NOUN
203,sales,1,NOUN
188,warning,1,NOUN
317,inspection,1,NOUN
182,items,1,NOUN
15,accountability,1,NOUN
30,body,1,NOUN
55,beings,1,NOUN
66,bjs,1,NOUN
71,productivity,1,NOUN
73,school,1,NOUN
81,saturday,1,NOUN
93,managment,1,NOUN
94,self,1,NOUN
98,chaos,1,NOUN
102,politics,1,NOUN
107,conditions,1,NOUN
113,problem,1,NOUN
115,arm,1,NOUN
123,clienteleall,1,NOUN
133,lexington,1,NOUN
134,ky,1,NOUN
142,decade,1,NOUN
149,jobs,1,NOUN
156,names,1,NOUN
165,man,1,NOUN
166,bachelors,1,NOUN
170,decades,1,NOUN
176,standards,1,NOUN
177,play,1,NOUN
316,health,1,NOUN
320,water,1,NOUN
556,cancer,1,NOUN
444,healthcare,1,NOUN
464,motivation,1,NOUN
469,shoppers,1,NOUN
472,bill,1,NOUN
473,averages,1,NOUN
476,scripts,1,NOUN
479,selections,1,NOUN
482,picture,1,NOUN
483,kind,1,NOUN
491,competition,1,NOUN
492,lots,1,NOUN
493,fail,1,NOUN
496,angeles,1,NOUN
505,notice,1,NOUN
512,family,1,NOUN
517,floor,1,NOUN
526,clock,1,NOUN
528,transfer,1,NOUN
536,potential,1,NOUN
540,group,1,NOUN
543,ignorance,1,NOUN
544,principles,1,NOUN
547,companies,1,NOUN
548,core,1,NOUN
549,values,1,NOUN
555,liver,1,NOUN
455,return,1,NOUN
443,requirements,1,NOUN
321,glass,1,NOUN
442,aca,1,NOUN
322,ice,1,NOUN
323,bev,1,NOUN
324,sink,1,NOUN
325,sa,1,NOUN
332,star,1,NOUN
334,pizza,1,NOUN
349,gms,1,NOUN
350,assistant,1,NOUN
363,operation,1,NOUN
367,talk,1,NOUN
374,letter,1,NOUN
375,resignation,1,NOUN
379,fun,1,NOUN
389,tomorrow,1,NOUN
393,force,1,NOUN
396,scheduling,1,NOUN
402,bullying,1,NOUN
418,advancement,1,NOUN
424,life,1,NOUN
425,balance,1,NOUN
427,bonus,1,NOUN
430,7the,1,NOUN
434,backs,1,NOUN
436,permit,1,NOUN
439,status,1,NOUN
879,stand,1,NOUN
