,name,count,pos
15,management,44,NOUN
0,managers,34,NOUN
96,work,31,NOUN
278,one,18,NOUN
22,time,17,NOUN
269,people,16,NOUN
118,get,16,NOUN
144,lot,16,NOUN
75,servers,15,NOUN
42,food,15,NOUN
71,employees,13,NOUN
258,make,12,NOUN
172,care,10,NOUN
146,tips,10,NOUN
466,manager,10,NOUN
158,kitchen,9,NOUN
76,guests,9,NOUN
3,lack,9,NOUN
170,team,9,NOUN
65,training,8,NOUN
235,shift,8,NOUN
137,shifts,8,NOUN
100,hours,8,NOUN
298,restaurant,8,NOUN
93,favoritism,8,NOUN
620,everything,8,NOUN
284,day,7,NOUN
248,good,7,NOUN
149,tip,7,NOUN
4,communication,7,NOUN
141,take,6,NOUN
89,customers,6,NOUN
197,pay,6,NOUN
446,staff,6,NOUN
55,tables,6,NOUN
250,job,6,NOUN
318,service,6,NOUN
230,members,5,NOUN
175,u,5,NOUN
536,times,5,NOUN
381,hour,5,NOUN
110,call,5,NOUN
212,money,5,NOUN
393,server,5,NOUN
741,amount,4,NOUN
185,problems,4,NOUN
352,year,4,NOUN
324,opening,4,NOUN
929,hostesses,4,NOUN
28,workers,4,NOUN
142,home,4,NOUN
25,schedule,4,NOUN
302,store,4,NOUN
36,know,4,NOUN
41,coworkers,4,NOUN
98,environment,4,NOUN
57,break,4,NOUN
575,location,4,NOUN
84,table,4,NOUN
67,general,4,NOUN
572,company,4,NOUN
564,days,4,NOUN
593,help,3,NOUN
45,runners,3,NOUN
188,turnover,3,NOUN
203,favorites,3,NOUN
213,clientele,3,NOUN
105,business,3,NOUN
370,complaints,3,NOUN
362,everyone,3,NOUN
357,way,3,NOUN
17,unorganized,3,NOUN
610,product,3,NOUN
315,quality,3,NOUN
313,years,3,NOUN
282,months,3,NOUN
79,talk,3,NOUN
915,order,3,NOUN
723,ones,3,NOUN
515,weeks,3,NOUN
470,someone,3,NOUN
82,nothing,3,NOUN
529,wall,3,NOUN
499,beer,3,NOUN
524,employee,3,NOUN
152,hostess,3,NOUN
501,runner,3,NOUN
369,guest,2,NOUN
650,station,2,NOUN
607,expectations,2,NOUN
703,pull,2,NOUN
344,practices,2,NOUN
347,ideas,2,NOUN
374,apply,2,NOUN
340,trainers,2,NOUN
54,buss,2,NOUN
333,restaurants,2,NOUN
613,robot,2,NOUN
695,cut,2,NOUN
557,raise,2,NOUN
300,treatment,2,NOUN
491,well,2,NOUN
463,hiring,2,NOUN
377,week,2,NOUN
590,provide,2,NOUN
748,closing,2,NOUN
448,crap,2,NOUN
