,name,count,pos,norm
15,management,41,NOUN,1.0000000000000002
0,managers,32,NOUN,0.775
95,work,24,NOUN,0.5750000000000001
21,time,15,NOUN,0.35
264,people,15,NOUN,0.35
141,lot,15,NOUN,0.35
74,servers,15,NOUN,0.35
41,food,15,NOUN,0.35
273,one,14,NOUN,0.325
70,employees,13,NOUN,0.3
142,tips,10,NOUN,0.225
3,lack,9,NOUN,0.2
253,make,9,NOUN,0.2
154,kitchen,9,NOUN,0.2
117,get,9,NOUN,0.2
166,team,9,NOUN,0.2
168,care,9,NOUN,0.2
461,manager,9,NOUN,0.2
92,favoritism,8,NOUN,0.17500000000000002
99,hours,7,NOUN,0.15000000000000002
243,good,7,NOUN,0.15000000000000002
64,training,7,NOUN,0.15000000000000002
145,tip,7,NOUN,0.15000000000000002
4,communication,7,NOUN,0.15000000000000002
313,service,6,NOUN,0.12500000000000003
193,pay,6,NOUN,0.12500000000000003
135,shifts,6,NOUN,0.12500000000000003
245,job,6,NOUN,0.12500000000000003
612,everything,6,NOUN,0.12500000000000003
75,guests,6,NOUN,0.12500000000000003
225,members,5,NOUN,0.1
230,shift,5,NOUN,0.1
54,tables,5,NOUN,0.1
388,server,5,NOUN,0.1
171,u,5,NOUN,0.1
109,call,4,NOUN,0.07500000000000001
88,customers,4,NOUN,0.07500000000000001
181,problems,4,NOUN,0.07500000000000001
208,money,4,NOUN,0.07500000000000001
279,day,4,NOUN,0.07500000000000001
441,staff,4,NOUN,0.07500000000000001
293,restaurant,4,NOUN,0.07500000000000001
24,schedule,4,NOUN,0.07500000000000001
27,workers,4,NOUN,0.07500000000000001
564,company,4,NOUN,0.07500000000000001
347,year,4,NOUN,0.07500000000000001
35,know,4,NOUN,0.07500000000000001
319,opening,4,NOUN,0.07500000000000001
528,times,4,NOUN,0.07500000000000001
56,break,4,NOUN,0.07500000000000001
66,general,4,NOUN,0.07500000000000001
308,years,3,NOUN,0.05000000000000001
310,quality,3,NOUN,0.05000000000000001
184,turnover,3,NOUN,0.05000000000000001
733,amount,3,NOUN,0.05000000000000001
199,favorites,3,NOUN,0.05000000000000001
352,way,3,NOUN,0.05000000000000001
357,everyone,3,NOUN,0.05000000000000001
297,store,3,NOUN,0.05000000000000001
365,complaints,3,NOUN,0.05000000000000001
209,clientele,3,NOUN,0.05000000000000001
148,hostess,3,NOUN,0.05000000000000001
376,hour,3,NOUN,0.05000000000000001
465,someone,3,NOUN,0.05000000000000001
516,employee,3,NOUN,0.05000000000000001
494,runner,3,NOUN,0.05000000000000001
83,table,3,NOUN,0.05000000000000001
78,talk,3,NOUN,0.05000000000000001
521,wall,3,NOUN,0.05000000000000001
567,location,3,NOUN,0.05000000000000001
44,runners,3,NOUN,0.05000000000000001
97,environment,3,NOUN,0.05000000000000001
104,business,3,NOUN,0.05000000000000001
81,nothing,3,NOUN,0.05000000000000001
585,help,3,NOUN,0.05000000000000001
40,coworkers,3,NOUN,0.05000000000000001
492,beer,3,NOUN,0.05000000000000001
58,hosts,2,NOUN,0.025
740,closing,2,NOUN,0.025
295,treatment,2,NOUN,0.025
285,thing,2,NOUN,0.025
53,buss,2,NOUN,0.025
17,unorganized,2,NOUN,0.025
50,bussers,2,NOUN,0.025
439,issues,2,NOUN,0.025
278,advance,2,NOUN,0.025
277,months,2,NOUN,0.025
743,nobody,2,NOUN,0.025
443,crap,2,NOUN,0.025
642,station,2,NOUN,0.025
436,harassment,2,NOUN,0.025
139,home,2,NOUN,0.025
335,trainers,2,NOUN,0.025
429,rules,2,NOUN,0.025
333,blame,2,NOUN,0.025
678,weight,2,NOUN,0.025
22,status,2,NOUN,0.025
369,apply,2,NOUN,0.025
687,cut,2,NOUN,0.025
556,days,2,NOUN,0.025
364,guest,2,NOUN,0.025
402,cooks,2,NOUN,0.025
695,pull,2,NOUN,0.025
420,individuals,2,NOUN,0.025
31,scheduling,2,NOUN,0.025
664,compassion,2,NOUN,0.025
549,raise,2,NOUN,0.025
715,ones,2,NOUN,0.025
342,ideas,2,NOUN,0.025
339,practices,2,NOUN,0.025
267,room,2,NOUN,0.025
271,class,2,NOUN,0.025
224,value,2,NOUN,0.025
507,weeks,2,NOUN,0.025
582,provide,2,NOUN,0.025
212,menu,2,NOUN,0.025
458,hiring,2,NOUN,0.025
13,state,2,NOUN,0.025
155,foh,2,NOUN,0.025
198,school,2,NOUN,0.025
771,anyone,2,NOUN,0.025
90,experience,2,NOUN,0.025
234,things,2,NOUN,0.025
240,position,2,NOUN,0.025
576,responsibility,2,NOUN,0.025
599,expectations,2,NOUN,0.025
247,stars,2,NOUN,0.025
61,section,2,NOUN,0.025
760,system,2,NOUN,0.025
192,consideration,2,NOUN,0.025
468,minute,2,NOUN,0.025
605,robot,2,NOUN,0.025
609,picture,1,NOUN,0.0
606,selections,1,NOUN,0.0
566,backs,1,NOUN,0.0
666,companies,1,NOUN,0.0
639,floor,1,NOUN,0.0
603,scripts,1,NOUN,0.0
602,product,1,NOUN,0.0
663,principles,1,NOUN,0.0
592,motivation,1,NOUN,0.0
597,shoppers,1,NOUN,0.0
667,core,1,NOUN,0.0
668,values,1,NOUN,0.0
674,liver,1,NOUN,0.0
600,bill,1,NOUN,0.0
610,kind,1,NOUN,0.0
659,group,1,NOUN,0.0
583,return,1,NOUN,0.0
617,competition,1,NOUN,0.0
628,notice,1,NOUN,0.0
601,averages,1,NOUN,0.0
572,healthcare,1,NOUN,0.0
622,angeles,1,NOUN,0.0
645,clock,1,NOUN,0.0
571,requirements,1,NOUN,0.0
647,transfer,1,NOUN,0.0
619,fail,1,NOUN,0.0
654,night,1,NOUN,0.0
570,aca,1,NOUN,0.0
568,permit,1,NOUN,0.0
655,potential,1,NOUN,0.0
618,lots,1,NOUN,0.0
635,family,1,NOUN,0.0
662,ignorance,1,NOUN,0.0
675,cancer,1,NOUN,0.0
870,steps,1,NOUN,0.0
676,medications,1,NOUN,0.0
792,period,1,NOUN,0.0
794,drama,1,NOUN,0.0
796,process,1,NOUN,0.0
799,employer,1,NOUN,0.0
803,rate,1,NOUN,0.0
809,books,1,NOUN,0.0
880,covina,1,NOUN,0.0
811,hide,1,NOUN,0.0
812,office,1,NOUN,0.0
813,rush,1,NOUN,0.0
815,book,1,NOUN,0.0
818,promotion,1,NOUN,0.0
819,dishwasher,1,NOUN,0.0
826,places,1,NOUN,0.0
828,joke,1,NOUN,0.0
877,mistakes,1,NOUN,0.0
830,snakes,1,NOUN,0.0
831,bar,1,NOUN,0.0
833,stress,1,NOUN,0.0
837,heck,1,NOUN,0.0
843,roll,1,NOUN,0.0
844,sleeves,1,NOUN,0.0
846,superiority,1,NOUN,0.0
847,complex,1,NOUN,0.0
874,others,1,NOUN,0.0
849,btw,1,NOUN,0.0
851,works,1,NOUN,0.0
859,air,1,NOUN,0.0
861,matter,1,NOUN,0.0
869,introduction,1,NOUN,0.0
793,workplace,1,NOUN,0.0
789,person,1,NOUN,0.0
681,fatigue,1,NOUN,0.0
785,horror,1,NOUN,0.0
682,anxiety,1,NOUN,0.0
683,complaint,1,NOUN,0.0
689,approach,1,NOUN,0.0
697,point,1,NOUN,0.0
700,stability,1,NOUN,0.0
707,cig,1,NOUN,0.0
714,worker,1,NOUN,0.0
718,managermanagement,1,NOUN,0.0
719,change,1,NOUN,0.0
722,mess,1,NOUN,0.0
723,begin,1,NOUN,0.0
727,pushovers,1,NOUN,0.0
729,types,1,NOUN,0.0
730,genders,1,NOUN,0.0
732,sidework,1,NOUN,0.0
735,waste,1,NOUN,0.0
736,gas,1,NOUN,0.0
739,mornings,1,NOUN,0.0
561,bonus,1,NOUN,0.0
745,outs,1,NOUN,0.0
751,math,1,NOUN,0.0
753,receipts,1,NOUN,0.0
756,waiter,1,NOUN,0.0
764,customer,1,NOUN,0.0
765,reviews,1,NOUN,0.0
768,micromanaging,1,NOUN,0.0
770,voice,1,NOUN,0.0
780,flexibility,1,NOUN,0.0
781,trainingyou,1,NOUN,0.0
563,7the,1,NOUN,0.0
424,item,1,NOUN,0.0
560,balance,1,NOUN,0.0
559,life,1,NOUN,0.0
176,game,1,NOUN,0.0
180,thinghave,1,NOUN,0.0
186,schedules,1,NOUN,0.0
188,changes,1,NOUN,0.0
196,benefits,1,NOUN,0.0
203,overtime,1,NOUN,0.0
204,allowedpoor,1,NOUN,0.0
205,employeesit,1,NOUN,0.0
214,coupons,1,NOUN,0.0
229,accountability,1,NOUN,0.0
238,body,1,NOUN,0.0
258,beings,1,NOUN,0.0
259,place,1,NOUN,0.0
260,reason,1,NOUN,0.0
266,bjs,1,NOUN,0.0
269,productivity,1,NOUN,0.0
275,saturday,1,NOUN,0.0
287,managment,1,NOUN,0.0
288,self,1,NOUN,0.0
291,chaos,1,NOUN,0.0
294,politics,1,NOUN,0.0
298,conditions,1,NOUN,0.0
304,problem,1,NOUN,0.0
306,arm,1,NOUN,0.0
312,clienteleall,1,NOUN,0.0
322,lexington,1,NOUN,0.0
323,ky,1,NOUN,0.0
174,integrity,1,NOUN,0.0
164,talent,1,NOUN,0.0
161,director,1,NOUN,0.0
59,knowledge,1,NOUN,0.0
5,skills,1,NOUN,0.0
12,accordance,1,NOUN,0.0
14,laws,1,NOUN,0.0
20,part,1,NOUN,0.0
26,everabuse,1,NOUN,0.0
28,frames,1,NOUN,0.0
30,lunches,1,NOUN,0.0
33,arrival,1,NOUN,0.0
38,sense,1,NOUN,0.0
46,tickets,1,NOUN,0.0
49,ticket,1,NOUN,0.0
57,rotation,1,NOUN,0.0
65,hands,1,NOUN,0.0
158,disasters,1,NOUN,0.0
68,lac,1,NOUN,0.0
69,cooperation,1,NOUN,0.0
80,culture,1,NOUN,0.0
98,fighting,1,NOUN,0.0
105,discipline,1,NOUN,0.0
110,show,1,NOUN,0.0
115,phones,1,NOUN,0.0
121,kiss,1,NOUN,0.0
127,behavior,1,NOUN,0.0
128,friends,1,NOUN,0.0
131,list,1,NOUN,0.0
157,ratio,1,NOUN,0.0
328,restaurants,1,NOUN,0.0
330,decade,1,NOUN,0.0
336,jobs,1,NOUN,0.0
485,well,1,NOUN,0.0
453,respect,1,NOUN,0.0
464,cover,1,NOUN,0.0
469,answer,1,NOUN,0.0
473,points,1,NOUN,0.0
474,health,1,NOUN,0.0
475,inspection,1,NOUN,0.0
478,water,1,NOUN,0.0
479,glass,1,NOUN,0.0
480,ice,1,NOUN,0.0
481,bev,1,NOUN,0.0
482,sink,1,NOUN,0.0
483,sa,1,NOUN,0.0
489,star,1,NOUN,0.0
451,vacation,1,NOUN,0.0
491,pizza,1,NOUN,0.0
503,gms,1,NOUN,0.0
504,assistant,1,NOUN,0.0
511,operation,1,NOUN,0.0
518,letter,1,NOUN,0.0
519,resignation,1,NOUN,0.0
523,fun,1,NOUN,0.0
532,tomorrow,1,NOUN,0.0
536,force,1,NOUN,0.0
541,bullying,1,NOUN,0.0
553,advancement,1,NOUN,0.0
554,california,1,NOUN,0.0
452,opportunity,1,NOUN,0.0
446,serversits,1,NOUN,0.0
343,names,1,NOUN,0.0
394,reinforcement,1,NOUN,0.0
349,man,1,NOUN,0.0
350,bachelors,1,NOUN,0.0
354,decades,1,NOUN,0.0
359,standards,1,NOUN,0.0
360,play,1,NOUN,0.0
362,items,1,NOUN,0.0
368,warning,1,NOUN,0.0
372,week,1,NOUN,0.0
373,wage,1,NOUN,0.0
379,sales,1,NOUN,0.0
383,dollars,1,NOUN,0.0
384,pennsylvania,1,NOUN,0.0
396,ladder,1,NOUN,0.0
445,corporation,1,NOUN,0.0
399,head,1,NOUN,0.0
401,prep,1,NOUN,0.0
411,line,1,NOUN,0.0
421,criteria,1,NOUN,0.0
423,require,1,NOUN,0.0
425,sleep,1,NOUN,0.0
427,practice,1,NOUN,0.0
433,females,1,NOUN,0.0
438,ignores,1,NOUN,0.0
440,teamwork,1,NOUN,0.0
442,awfulcrap,1,NOUN,0.0
444,managementbecause,1,NOUN,0.0
881,empathy,1,NOUN,0.0
