,name,count,pos,norm
270,team members,5,,1.0
101,work environment,4,,0.75
255,care employees,3,,0.5
689,food runner,3,,0.5
46,food runners,3,,0.5
904,one day,3,,0.5
81,upper management,3,,0.5
266,managers care,3,,0.5
263,bad bad,3,,0.5
242,horrible clientele,3,,0.5
122,managers managers,3,,0.5
799,co workers,2,,0.25
1329,incompetent managers,2,,0.25
917,servers get,2,,0.25
150,management stand,2,,0.25
1450,turnover high,2,,0.25
633,management completely,2,,0.25
546,constantly running,2,,0.25
436,far worst,2,,0.25
547,running around,2,,0.25
634,completely incompetent,2,,0.25
434,opening training,2,,0.25
74,never felt,2,,0.25
423,really shocked,2,,0.25
847,horrible management,2,,0.25
636,one manager,2,,0.25
528,hard work,2,,0.25
87,bad management,2,,0.25
412,service managers,2,,0.25
325,want work,2,,0.25
641,someone else,2,,0.25
455,managers unprofessional,2,,0.25
305,feel like,2,,0.25
235,management favoritism,2,,0.25
2,lack communication,2,,0.25
1642,would always,2,,0.25
271,members like,2,,0.25
739,general manager,2,,0.25
250,free food,2,,0.25
495,food run,2,,0.25
18,time status,2,,0.25
253,management unprofessional,2,,0.25
273,lot favoritism,2,,0.25
1262,going home,1,,0.0
1263,home tips,1,,0.0
1265,ludicrous system,1,,0.0
1264,tips ludicrous,1,,0.0
1266,system ever,1,,0.0
1197,annoyed frankly,1,,0.0
1261,runners going,1,,0.0
1259,money also,1,,0.0
1260,also food,1,,0.0
1198,frankly pissed,1,,0.0
1268,heard 20years,1,,0.0
1258,keep money,1,,0.0
1257,amount keep,1,,0.0
1256,correct amount,1,,0.0
1199,pissed pushovers,1,,0.0
1255,runner correct,1,,0.0
1200,pushovers came,1,,0.0
1254,tip food,1,,0.0
1253,going tip,1,,0.0
1252,waiter going,1,,0.0
1267,ever heard,1,,0.0
1211,waste gas,1,,0.0
1269,20years restaurant,1,,0.0
1250,tipped accordingly,1,,0.0
1287,many managers,1,,0.0
1286,needed many,1,,0.0
1285,together needed,1,,0.0
1284,seems together,1,,0.0
1283,never seems,1,,0.0
1282,kitchen never,1,,0.0
1281,time kitchen,1,,0.0
1280,reviews time,1,,0.0
1279,service reviews,1,,0.0
1278,customer service,1,,0.0
1277,terrible customer,1,,0.0
1276,time terrible,1,,0.0
1275,complaints time,1,,0.0
1274,many complaints,1,,0.0
1273,workers many,1,,0.0
1272,uncaring co,1,,0.0
1194,awful begin,1,,0.0
1195,begin easily,1,,0.0
1271,business uncaring,1,,0.0
1196,easily annoyed,1,,0.0
1270,restaurant business,1,,0.0
1251,accordingly waiter,1,,0.0
1249,shift tipped,1,,0.0
1201,came certain,1,,0.0
1230,screwed leads,1,,0.0
1228,everyone gets,1,,0.0
1227,outs everyone,1,,0.0
1226,tip outs,1,,0.0
1225,fair tip,1,,0.0
1224,nobody fair,1,,0.0
1223,screwed nobody,1,,0.0
1222,server screwed,1,,0.0
