,name,count,pos,norm
0,managers severely,1,,0.0
121,lazy managers,1,,0.0
103,fighting hours,1,,0.0
104,hours due,1,,0.0
105,due slow,1,,0.0
106,slow business,1,,0.0
107,business lack,1,,0.0
108,lack discipline,1,,0.0
109,discipline employees,1,,0.0
110,employees come,1,,0.0
111,come work,1,,0.0
112,work late,1,,0.0
113,late call,1,,0.0
114,call show,1,,0.0
115,show call,1,,0.0
116,call time,1,,0.0
117,time work,1,,0.0
118,work properly,1,,0.0
119,properly etc,1,,0.0
102,environment fighting,1,,0.0
101,work environment,1,,0.0
100,chaotic work,1,,0.0
90,difficult give,1,,0.0
83,talk culture,1,,0.0
84,culture nothing,1,,0.0
85,nothing table,1,,0.0
86,table bad,1,,0.0
87,bad management,1,,0.0
88,management makes,1,,0.0
89,makes difficult,1,,0.0
91,give customers,1,,0.0
99,managers chaotic,1,,0.0
92,customers best,1,,0.0
93,best experience,1,,0.0
94,experience highly,1,,0.0
95,highly unprofessional,1,,0.0
96,unprofessional favoritism,1,,0.0
97,favoritism showed,1,,0.0
98,showed managers,1,,0.0
120,etc lazy,1,,0.0
122,managers managers,1,,0.0
1,severely lack,1,,0.0
123,managers constantly,1,,0.0
144,work sleeping,1,,0.0
145,sleeping employees,1,,0.0
146,employees list,1,,0.0
147,list goes,1,,0.0
148,goes awful,1,,0.0
149,awful management,1,,0.0
150,management stand,1,,0.0
151,stand shifts,1,,0.0
152,shifts illegal,1,,0.0
153,illegal ca,1,,0.0
154,ca servers,1,,0.0
155,servers take,1,,0.0
156,take home,1,,0.0
157,home lot,1,,0.0
158,lot tips,1,,0.0
159,tips high,1,,0.0
160,high tip,1,,0.0
143,outside work,1,,0.0
142,friends outside,1,,0.0
141,managers friends,1,,0.0
131,kiss management,1,,0.0
124,constantly phones,1,,0.0
125,phones unqualified,1,,0.0
126,unqualified lazy,1,,0.0
127,lazy get,1,,0.0
128,get promoted,1,,0.0
129,promoted faster,1,,0.0
130,faster kiss,1,,0.0
132,management hard,1,,0.0
140,behavior managers,1,,0.0
133,hard workers,1,,0.0
134,workers appreciated,1,,0.0
135,appreciated respected,1,,0.0
136,respected managers,1,,0.0
137,managers disciplined,1,,0.0
138,disciplined fired,1,,0.0
139,fired behavior,1,,0.0
82,management talk,1,,0.0
81,upper management,1,,0.0
80,poor upper,1,,0.0
79,guests poor,1,,0.0
22,worst unorganized,1,,0.0
23,unorganized management,1,,0.0
24,management everabuse,1,,0.0
25,everabuse workers,1,,0.0
26,workers time,1,,0.0
27,time frames,1,,0.0
28,frames regards,1,,0.0
29,regards breaks,1,,0.0
30,breaks lunches,1,,0.0
31,lunches scheduling,1,,0.0
32,scheduling shows,1,,0.0
33,shows arrival,1,,0.0
34,arrival time,1,,0.0
35,time never,1,,0.0
36,never know,1,,0.0
37,know leaving,1,,0.0
38,leaving makes,1,,0.0
21,schedule worst,1,,0.0
20,horrible schedule,1,,0.0
19,status horrible,1,,0.0
9,given never,1,,0.0
2,lack communication,1,,0.0
3,communication skills,1,,0.0
4,skills breaks,1,,0.0
5,breaks hardly,1,,0.0
6,hardly ever,1,,0.0
7,ever actually,1,,0.0
8,actually given,1,,0.0
10,never accordance,1,,0.0
18,time status,1,,0.0
11,accordance state,1,,0.0
12,state laws,1,,0.0
13,laws management,1,,0.0
14,management unorganized,1,,0.0
15,unorganized worked,1,,0.0
16,worked part,1,,0.0
17,part time,1,,0.0
39,makes sense,1,,0.0
40,sense unprofessional,1,,0.0
41,unprofessional coworkers,1,,0.0
70,general lac,1,,0.0
63,full section,1,,0.0
64,section tables,1,,0.0
65,tables relatively,1,,0.0
66,relatively training,1,,0.0
67,training hands,1,,0.0
68,hands management,1,,0.0
69,management general,1,,0.0
71,lac cooperation,1,,0.0
61,lack knowledge,1,,0.0
72,cooperation employees,1,,0.0
73,employees never,1,,0.0
74,never felt,1,,0.0
75,felt respected,1,,0.0
76,respected management,1,,0.0
77,management servers,1,,0.0
78,servers guests,1,,0.0
62,knowledge full,1,,0.0
60,hosts lack,1,,0.0
42,coworkers food,1,,0.0
50,run whole,1,,0.0
43,food prepared,1,,0.0
44,prepared correctly,1,,0.0
45,correctly food,1,,0.0
46,food runners,1,,0.0
47,runners read,1,,0.0
48,read tickets,1,,0.0
49,tickets run,1,,0.0
51,whole ticket,1,,0.0
59,rotation hosts,1,,0.0
52,ticket bussers,1,,0.0
53,bussers halfway,1,,0.0
54,halfway buss,1,,0.0
55,buss tables,1,,0.0
56,tables circular,1,,0.0
57,circular break,1,,0.0
58,break rotation,1,,0.0
161,tip outs,1,,0.0
