,name,count,pos,norm
263,bad bad bad,2,,1.0
272,team members like,2,,1.0
0,managers severely lack,1,,0.0
787,work replaced tomorrow,1,,0.0
793,bad flexible hours,1,,0.0
792,pretty bad flexible,1,,0.0
791,tends pretty bad,1,,0.0
790,management tends pretty,1,,0.0
789,tomorrow management tends,1,,0.0
788,replaced tomorrow management,1,,0.0
786,begging work replaced,1,,0.0
778,times take management,1,,0.0
785,people begging work,1,,0.0
784,know people begging,1,,0.0
783,almost know people,1,,0.0
782,employees almost know,1,,0.0
781,care employees almost,1,,0.0
780,management care employees,1,,0.0
794,flexible hours force,1,,0.0
795,hours force work,1,,0.0
796,force work serving,1,,0.0
797,work serving food,1,,0.0
812,bullying co workers,1,,0.0
811,harassment bullying co,1,,0.0
810,come harassment bullying,1,,0.0
809,able come harassment,1,,0.0
808,punishing able come,1,,0.0
807,available punishing able,1,,0.0
806,schedule available punishing,1,,0.0
805,said schedule available,1,,0.0
804,scheduling said schedule,1,,0.0
803,constantly scheduling said,1,,0.0
802,illegal constantly scheduling,1,,0.0
801,sick illegal constantly,1,,0.0
800,people sick illegal,1,,0.0
799,food people sick,1,,0.0
798,serving food people,1,,0.0
779,take management care,1,,0.0
776,upset wait times,1,,0.0
777,wait times take,1,,0.0
814,workers managers care,1,,0.0
757,hates someone another,1,,0.0
756,know hates someone,1,,0.0
755,make know hates,1,,0.0
754,talk make know,1,,0.0
753,degrade talk make,1,,0.0
752,manager degrade talk,1,,0.0
751,general manager degrade,1,,0.0
750,suckedthe general manager,1,,0.0
749,operation suckedthe general,1,,0.0
748,whole operation suckedthe,1,,0.0
747,sucked whole operation,1,,0.0
746,corporate sucked whole,1,,0.0
745,sucked corporate sucked,1,,0.0
744,management sucked corporate,1,,0.0
743,sucked management sucked,1,,0.0
758,someone another former,1,,0.0
759,another former employee,1,,0.0
760,former employee resigned,1,,0.0
769,wall made fun,1,,0.0
775,guests upset wait,1,,0.0
774,sometimes guests upset,1,,0.0
773,employee sometimes guests,1,,0.0
772,every employee sometimes,1,,0.0
771,fun every employee,1,,0.0
770,made fun every,1,,0.0
768,posted wall made,1,,0.0
761,employee resigned gave,1,,0.0
767,manager posted wall,1,,0.0
766,general manager posted,1,,0.0
765,resignation general manager,1,,0.0
764,letter resignation general,1,,0.0
763,gave letter resignation,1,,0.0
762,resigned gave letter,1,,0.0
813,co workers managers,1,,0.0
815,managers care really,1,,0.0
741,servers tips sucked,1,,0.0
816,care really bad,1,,0.0
867,played 24 7the,1,,0.0
866,favoritism played 24,1,,0.0
865,management favoritism played,1,,0.0
864,horrible management favoritism,1,,0.0
863,bonus horrible management,1,,0.0
862,make bonus horrible,1,,0.0
861,difficult make bonus,1,,0.0
860,balance difficult make,1,,0.0
859,life balance difficult,1,,0.0
858,work life balance,1,,0.0
857,poor work life,1,,0.0
856,environment poor work,1,,0.0
855,work environment poor,1,,0.0
854,stressful work environment,1,,0.0
853,makes stressful work,1,,0.0
868,24 7the company,1,,0.0
869,7the company saves,1,,0.0
870,company saves money,1,,0.0
879,members full time,1,,0.0
885,requirements want pay,1,,0.0
884,aca requirements want,1,,0.0
883,due aca requirements,1,,0.0
882,status due aca,1,,0.0
881,time status due,1,,0.0
880,full time status,1,,0.0
878,team members full,1,,0.0
871,saves money backs,1,,0.0
877,26 team members,1,,0.0
876,permit 26 team,1,,0.0
875,location permit 26,1,,0.0
874,employees location permit,1,,0.0
873,backs employees location,1,,0.0
872,money backs employees,1,,0.0
852,understaffed makes stressful,1,,0.0
851,habitually understaffed makes,1,,0.0
850,straight habitually understaffed,1,,0.0
824,favorites instead actually,1,,0.0
830,yelled lot guests,1,,0.0
829,got yelled lot,1,,0.0
828,hardest got yelled,1,,0.0
827,worked hardest got,1,,0.0
826,actually worked hardest,1,,0.0
825,instead actually worked,1,,0.0
823,chose favorites instead,1,,0.0
832,guests worked year,1,,0.0
822,managers chose favorites,1,,0.0
821,managers managers chose,1,,0.0
820,coworkers managers managers,1,,0.0
819,communication coworkers managers,1,,0.0
818,bad communication coworkers,1,,0.0
817,really bad communication,1,,0.0
831,lot guests worked,1,,0.0
833,worked year raise,1,,0.0
849,working straight habitually,1,,0.0
842,top advancement california,1,,0.0
848,days working straight,1,,0.0
847,10 days working,1,,0.0
846,9 10 days,1,,0.0
845,lot 9 10,1,,0.0
844,california lot 9,1,,0.0
843,advancement california lot,1,,0.0
841,micromanaged top advancement,1,,0.0
834,year raise nothing,1,,0.0
840,employees micromanaged top,1,,0.0
839,hourly employees micromanaged,1,,0.0
838,overworked hourly employees,1,,0.0
837,breaks overworked hourly,1,,0.0
836,nothing breaks overworked,1,,0.0
835,raise nothing breaks,1,,0.0
742,tips sucked management,1,,0.0
740,tables servers tips,1,,0.0
887,pay healthcare raise,1,,0.0
647,one manager literally,1,,0.0
645,completely incompetent one,1,,0.0
644,management completely incompetent,1,,0.0
643,hiring management completely,1,,0.0
642,besides hiring management,1,,0.0
641,boring besides hiring,1,,0.0
640,slow boring besides,1,,0.0
639,hours slow boring,1,,0.0
638,staffbad hours slow,1,,0.0
637,respect staffbad hours,1,,0.0
636,little respect staffbad,1,,0.0
635,grow little respect,1,,0.0
634,opportunity grow little,1,,0.0
633,enough opportunity grow,1,,0.0
632,vacation enough opportunity,1,,0.0
631,payed vacation enough,1,,0.0
646,incompetent one manager,1,,0.0
648,manager literally forced,1,,0.0
739,rotated tables servers,1,,0.0
649,literally forced cover,1,,0.0
664,points health inspection,1,,0.0
663,missing points health,1,,0.0
662,blamed missing points,1,,0.0
661,one blamed missing,1,,0.0
660,another one blamed,1,,0.0
659,answer another one,1,,0.0
658,take answer another,1,,0.0
657,minute take answer,1,,0.0
656,last minute take,1,,0.0
655,extremely last minute,1,,0.0
654,shift extremely last,1,,0.0
653,else shift extremely,1,,0.0
652,someone else shift,1,,0.0
651,cover someone else,1,,0.0
650,forced cover someone,1,,0.0
630,pay payed vacation,1,,0.0
629,much pay payed,1,,0.0
628,expect much pay,1,,0.0
627,payed expect much,1,,0.0
608,management teamwork kitchen,1,,0.0
607,issues management teamwork,1,,0.0
