,year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
0,2010Q2,0.01,0.421504330523205,0.836750641908235,0.01,0.01,0.01,0.83279390024084,0.1773759906313675,0.26807821055381403,0.4927852271145548,0.01,0.01,0.01,1.0,0.7414193720817013,0.7414193720817013,0.01,0.01,0.26807821055381403,0.01,0.01,0.01,0.005339544247731642,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2553467198655033,0.1566586110189386,0.06576216730806299,0.05752825452392572,0.032322659608597044,0.240422982950224,0.4792614619043228,0.016902473749777543,0.3894904381797574,0.32282404619363064,0.26929392475551617,0.1141627035227112,0.0957657181176649,0.058599038364255854,0.17399156741466346,0.7407061773847822,0.3308312085670576,0.01,0.01,0.8594745267494317,0.8651361355224018,0.8374890797903319,1.0,0.9665004863813231,0.01,0.01,0.3186528138940473,0.8959428304444735,0.6813471861059526,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.3179558869214042,0.01,0.01,0.01,0.01,0.026858487781620595,0.4385507246376812,0.01146952836029401,0.4997897428134094,0.027408272726130806,0.4164295249231661,0.1841887782529507,0.08850310385622567,0.01,0.027408272726130806,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31847023823959775,0.3284814582989257,1.0,0.9999999999999998,0.01,0.7960335716962524,0.9901118924110781,0.01,0.01,1.0,0.8533085157936473,0.8533085157936473,0.3692202294019273,0.8377153878345674,0.8756019907359517
1,2010Q3,0.01,0.36040273332887407,0.7299333903918431,0.01,0.01,0.01,0.83279390024084,0.16687416040577263,0.26807821055381403,0.4423050155430798,0.4226047042011502,0.4193439769408075,0.45246289227701636,1.0,0.7414193720817013,0.7414193720817013,0.01,0.01,0.26807821055381403,0.01,0.01,0.01,0.15618856163512373,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2553467198655033,0.1566586110189386,0.06576216730806299,0.05752825452392572,0.032322659608597044,0.240422982950224,0.4792614619043228,0.016902473749777543,0.2778353871753443,0.32282404619363064,0.24542511918200724,0.09485436171033118,0.08091527756495702,0.04977944903488189,0.17399156741466346,0.7407061773847822,0.3308312085670576,0.008496620294863755,0.8011694581057499,0.7712836816711257,0.7792651633853351,0.7371869539895166,0.9915033797051365,0.6893239299610898,0.01,0.03682604658214417,0.31870816148496295,0.896171079741726,0.6812918385150369,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.3179558869214042,0.01,0.01,0.01,0.01,0.026858487781620595,0.4385507246376812,0.01146952836029401,0.4997897428134094,0.027408272726130806,0.4164295249231661,0.1841887782529507,0.08850310385622567,0.01,0.027408272726130806,0.01,0.01,0.40565161719978304,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26638186242411016,0.27289001090402554,0.8368115710777541,0.8256630181423674,0.2169998695661406,0.7759058161045757,0.9901118924110781,0.01,0.01,1.0,0.8533085157936473,0.8533085157936473,0.38382780960283275,0.8787459742717297,0.7886854476282428
2,2011Q1,0.01,0.4793867964176771,0.8483608082461951,0.01,0.01,0.01,0.83279390024084,0.14687140774353,0.26807821055381403,0.5707790098826149,0.4559380375536077,0.5133421250633694,0.4002889792198316,1.0,0.7414193720817013,0.7414193720817013,0.01,0.01,0.26807821055381403,0.01,0.01,0.01,0.5407551074314116,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2553467198655033,0.1566586110189386,0.06576216730806299,0.05752825452392572,0.032322659608597044,0.240422982950224,0.4792614619043228,0.016902473749777543,0.3894904381797574,0.32282404619363064,0.26929392475551617,0.1141627035227112,0.0957657181176649,0.058599038364255854,0.01,0.7407061773847822,0.3308312085670576,0.9565836101626788,0.8785516246251011,0.9065253165265479,0.922122306242478,0.8580554746651136,0.04341638983732121,0.9541585603112837,0.01,0.7688100517368809,0.3073821780113674,0.8949455801591616,0.6926178219886324,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.3179558869214042,0.01,0.01,0.01,0.01,0.026858487781620595,0.4385507246376812,0.01146952836029401,0.4997897428134094,0.027408272726130806,0.4164295249231661,0.1841887782529507,0.08850310385622567,0.01,0.027408272726130806,0.01,0.01,0.21396315214928632,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2987585995036338,0.2902349061129623,0.9320426462632954,0.900324664773899,0.08395563428772497,0.6351051100009936,0.9901118924110781,0.01,0.01,1.0,0.8533085157936473,0.8533085157936473,0.4288446116622699,0.8387525246092541,0.9328069147040907
3,2011Q2,0.9399742863292864,0.5246833697646228,0.8750976816879396,0.6016590432898752,0.01,0.01,0.83279390024084,0.012740367386443019,0.01,0.5870644457848095,0.47366609264123133,0.5318611632009488,0.6869827925093873,0.6413015628288941,1.0,1.0,0.01,0.01,0.01,0.7076205818442941,0.7535912071123936,0.7508191795326742,1.0,0.9900463471018218,0.9999999999999999,1.0,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,1.0,0.01,0.2553467198655033,0.18477421200646005,0.08092579936722237,0.07467541309889127,0.03924530780801455,0.240422982950224,0.4792614619043228,0.016902473749777543,0.6084500928449128,0.34650854594883784,0.27350646057175665,0.12462676840157855,0.10952168327767041,0.06550725089126933,1.0,0.7407061773847822,0.3308312085670576,0.9795046179293012,0.861077744789188,0.9016108990361473,0.9056134614074529,0.9264341875364007,0.02049538207069901,0.6863448443579774,0.01,0.7892735990296965,0.3154655005916078,0.9864168690017537,0.6845344994083922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.5862745883578382,0.6837467506718948,0.01,0.01,0.026858487781620595,0.3947101449275362,0.01146952836029401,0.4997897428134094,0.027408272726130806,0.4164295249231661,0.1841887782529507,0.08850310385622567,0.01,0.027408272726130806,0.01,0.01,0.5749722800079641,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3203334707637087,0.3270717301686214,0.7772846573860386,0.7669094763417439,0.3965900342464715,1.0,0.9901118924110781,1.0,0.9999999999999999,1.0,0.8533085157936473,0.8533085157936473,0.5628541178416682,0.9999999999999999,0.9641276737583762
4,2011Q3,0.964745510288377,0.42273925339190244,0.7156625609347672,0.6471518074982979,0.01,0.01,0.83279390024084,0.18275724264312324,0.04944831128349539,0.49148610402264187,0.49592656310724426,0.4849462665857477,0.7349270983147056,0.7063797078382983,0.8956936422580717,0.8956936422580717,0.01,0.01,0.04944831128349539,0.7252977287454504,0.7707922227644691,0.7682473135203973,0.8949990579500773,0.9375261209638659,0.918516823071641,0.9181849855512061,0.01,0.01,0.01,0.01,0.8801738735750572,0.01,0.01,0.01,0.01,0.9315358606938063,0.01,0.3420355658690788,0.17292523229038312,0.07609245691450993,0.06571552160489966,0.0353268321037756,0.2744632358565237,0.4792614619043228,0.016902473749777543,0.2951358911905853,0.23361863731696172,0.23362455950647112,0.08829918853646535,0.07003060774469858,0.044513444229403655,0.056949193615095234,0.7407061773847822,1.0,0.9850396647554276,0.7867098792013237,0.7596972987495663,0.7588164498035743,0.7156195398951659,0.01496033524457241,0.5569674124513622,0.01,0.8418670760134174,0.3186457345510232,0.9014453235701864,0.6813542654489767,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.06182044113078597,0.5832699010456311,0.644446402608274,0.01,0.01,0.026858487781620595,0.12818840579710145,0.01146952836029401,0.4997897428134094,0.027408272726130806,0.4164295249231661,0.1841887782529507,0.08850310385622567,0.01,0.027408272726130806,0.01,0.01,0.2706102002705059,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24941648679455777,0.25877595951493043,0.7312400418756884,0.7364391475177039,0.19415274108272237,0.5799526235117062,0.9901118924110781,0.9016045131511465,0.832444275100019,1.0,0.8533085157936473,0.8533085157936473,0.500371869816757,0.910533306646773,0.7702263140351482
5,2011Q4,0.01,0.6805939345817177,1.0,0.671002056379389,0.8601577985930273,0.01,0.83279390024084,0.1576282369345734,0.03281352390060749,0.7060270032014104,0.5294320134993873,0.6310783129804648,0.5748325232036864,0.637235571228683,0.8833897629954193,0.8833897629954193,0.01,0.01,0.03281352390060749,0.7564358102671808,0.8061207890400108,0.8039549558573125,0.7422724997488106,0.8473555326558199,0.8010362263051666,0.8002787285061381,0.9007489816477595,0.6659886879719149,0.01,0.35290848014693443,0.7670338494841402,0.8967603967603966,0.902850063359884,0.5455486108464499,0.6331869595825349,0.9403353851107836,0.01,0.2553467198655033,0.1566586110189386,0.06576216730806299,0.05752825452392572,0.032322659608597044,0.09802998127352089,0.4792614619043228,0.016902473749777543,0.9892444594496829,0.5874518929887522,0.361794836121438,0.18832041174387204,0.1559512099478191,0.08937198507549765,0.19836614290191382,0.7407061773847822,0.6047118816930137,0.971950526476282,0.9136353677975962,0.9784840309417993,0.9877489383927154,1.0,0.028049473523718227,0.6362475680933852,0.01,0.757048913146474,0.3229306678105168,0.8962001853568119,0.6770693321894831,0.8913380519042803,0.5971665614530357,0.983774471633234,0.9894311290788336,0.7554533188825728,0.7929109193823158,0.878685080589613,0.909039817432474,0.19232007152436315,0.05420938179558871,0.5980529626216897,0.6585011234964971,0.01,0.01,0.904394681277765,0.17101449275362318,0.9110853586906483,0.01,0.6318599188554346,0.0862764779535789,0.929328508500959,0.973281580241662,0.01,0.6318599188554346,0.01,0.01,0.3874525413139448,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.8991008702188555,0.01,0.01,1.0,0.9999999999999998,0.01,0.7960335716962524,0.9901118924110781,0.8520770752436077,0.7602400457229949,0.3780292239807963,0.9707586237279175,0.9707586237279175,0.5578749912344438,0.864881093178551,1.0
6,2012Q1,0.8551308081190042,0.5775642913082139,0.8724370185688237,0.6927646877869036,0.8636557969606281,0.01,0.83279390024084,0.11001355511119076,0.025087225262561325,0.6518814086206096,0.5465289727748301,0.6066949127659853,0.4735846576838525,0.6883333889551702,0.9074996127376131,0.9074996127376131,0.01,0.01,0.025087225262561325,0.781018625960332,0.8361589113567726,0.8342824845822542,0.9739558874612408,0.9790143618285481,0.8926735887138724,0.8914188510647019,0.9999999999999999,0.7331298850932644,0.01,0.2984847386355397,0.8585793341829164,0.9999999999999999,1.0,0.6056861923091581,0.7014354308660253,0.9284210395947637,0.01,0.3570794312302429,0.17656561845541252,0.07848273558485439,0.06902064396490534,0.03866480154286288,0.9999999999999999,0.4792614619043228,0.016902473749777543,0.22430848626618757,0.27864507403279587,0.25203714498555024,0.093371330381192,0.08069075852614895,0.05226175820163402,0.1897529758125305,0.7407061773847822,0.5596226415094339,0.956814622133719,0.8990473600314275,0.9109135890920081,0.9304789154574563,0.8895966802562609,0.04318537786628118,0.6777723735408565,0.01,0.7675062065305965,0.3120622673269333,0.9000513177950197,0.6879377326730666,0.8385574654533198,0.4736091112640058,0.9628989022650688,0.9240542881894312,0.8001857954922476,0.9999999999999999,0.897764843642375,0.8582249054804321,0.47739830129637917,0.054054054054054085,0.5950883378069789,0.656870952108208,0.01,0.01,0.792435124151449,0.25329710144927536,0.775633800581017,0.04578560495197731,0.5560412505809498,0.4164295249231661,0.8301172241701638,0.8123994736072524,0.01,0.5560412505809498,0.01,0.01,0.5081224725889615,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.9999999999999999,0.4074325580643336,0.40221894839300937,0.9038201836147748,0.8628922562461392,0.2720754150375073,0.8837929765057224,0.9901118924110781,0.8847534617920727,0.8059630405791578,0.4674641672559938,1.0,1.0,0.5153716205864447,0.8285631106825087,0.9440479063940325
7,2012Q2,1.0000000000000002,0.5998531195013854,0.8361552487626985,0.7406189341317198,0.9303120991876871,0.9999999999999998,0.01,0.09072981109256552,0.06606096027487027,0.6645942560200435,0.5771658058388789,0.6293667049101733,1.0,0.7200704028428444,0.8335878200447011,0.8335878200447011,0.01,0.01,0.06606096027487027,0.80528744419276,0.8629718432387702,0.8613905304276904,0.5141148678158121,0.7216893387042023,0.6406708420899311,0.6394974688992273,0.7087293592045901,0.5301165129059062,0.01,0.5052562894221707,0.591466927360648,0.7052962052962052,0.7064344225199131,0.43034033309196235,0.5011885632748154,0.7692741166416904,0.01,0.35795318660241765,0.17496989622857645,0.07451362417357861,0.0629150954714984,0.0355652632608096,0.10876440473602025,0.4792614619043228,1.0000000000000002,0.7180070899751609,0.3476839147957501,0.27152206033858783,0.11769790299697619,0.09915536245160732,0.06006439584509954,0.20749985145694522,0.7407061773847822,0.933350331463539,0.9721630574896392,0.8622184952670189,0.8855914652576431,0.888332538547131,0.8572728596389051,0.027836942510361062,0.5536235408560315,0.01,0.7886785301419447,0.3104311223365178,0.9386867240098348,0.6895688776634821,0.9138523761375125,0.6315796940056603,0.9024910933936066,1.0000000000000002,0.9291455619207716,0.7496510413804474,0.9579659732745558,0.7391089614768895,0.5551363433169424,0.05436470953712333,0.5885180882176194,0.6660792175177336,0.01,0.01,0.8215942544480351,0.29500000000000004,0.7970726906164178,0.038889169231804355,0.5776651467761993,0.4164295249231661,0.854083589418533,0.8564383415969904,0.01,0.5776651467761993,0.01,0.01,0.2757044997356731,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.8043019457052819,1.0,0.9999999999999998,0.01,0.01,0.7534193387913333,0.01,0.01,0.8175690526778518,0.6827967231853685,0.5276452483639951,0.8797964668047051,0.8797964668047051,0.6518903161178236,0.9409923761349367,0.921060193326667
8,2012Q3,0.8559976264303957,0.4512312720168179,0.651788040040189,0.751157919006956,0.9246375685024679,0.7484613788376427,0.21247132530572266,0.1385634530102683,0.04852735419655352,0.5106017723750753,0.6059667238129471,0.5503240830411414,0.7797189018204962,0.5815593355633282,0.7523512359202461,0.7523512359202461,0.01,0.01,0.04852735419655352,0.824279739878685,0.8874153917969828,0.8860660780975003,0.7655909502470304,0.863172578232439,0.7460829397199276,0.7444920377923062,0.8161709955761901,0.6223893586299695,0.01,0.3945479591096933,0.6978161060000349,0.8154063154063154,0.8221680394641564,0.5102099927588704,0.5925658760800456,0.7806992556630297,0.01,0.329234102506423,0.1613798894906929,0.06942014696147651,0.061784436071279696,0.03502337730206818,0.596849585722843,0.4792614619043228,0.68745773269265,0.19509489473557287,0.19966373914441504,0.22028092964607301,0.08125649576866567,0.06859990300865398,0.04378996597202915,0.24792080499850289,0.7711505279644619,0.37397246302906684,0.9484750899791627,0.7700745642862001,0.6908506755924728,0.6975497876785431,0.664458357600466,0.05152491002083748,0.4158560311284045,0.01,0.8351772888358252,0.32537851155525754,0.9038304521327521,0.6746214884447423,0.9208628244017526,0.8541254382916144,0.9359206709069234,0.9875830205024546,1.0000000000000002,0.554069352091004,0.9236809477889516,0.68673149630437,0.4882253017434064,0.07673190431811122,0.5904410880974319,0.6533903159007798,0.01,0.01,0.6371795939063246,0.21590579710144928,0.6209896337688315,0.11944290255840948,0.4546984713167779,0.4164295249231661,0.674283696934199,0.6695290380039611,0.01,0.4546984713167779,0.01,0.01,0.47233321661757743,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.8701465783919742,0.7316874024850646,0.7688975738658679,0.19715821304451042,0.21710063397874246,1.0,0.9938458470104492,0.25260746939834666,0.7352186973404646,0.6003048199657077,0.36228174148629955,0.7588219745363233,0.7588219745363233,0.46283598061451886,0.7122218380974908,0.7088376262887487
9,2012Q4,0.3833373086745825,0.43434559303799014,0.5923231496297399,0.7949522418415945,0.8984025807454623,0.8919853398610028,0.06809585397826201,0.01,0.08687990365372014,0.4674059295689695,0.6425129085728704,0.5420746933253107,0.5167476683348871,0.5487417704832691,0.6626502024829051,0.6626502024829051,0.01,0.01,0.08687990365372014,0.846050230488836,0.9106494939421588,0.9095754575242891,0.34131746870969515,0.6258362600774244,0.5292036871345638,0.5279035927284651,0.5826726818799001,0.49523967175123373,0.01,0.5578433504917955,0.47752387270219787,0.579033579033579,0.6187488685734974,0.4155798620374252,0.4763976272930748,0.636271874961297,0.01,0.1659383398647929,0.10683284524701125,0.04071470183385349,0.03899974458494318,0.022885318752548747,0.01,0.4792614619043228,0.7942827905321233,0.6050980297586033,0.3001250759584388,0.24941787052087863,0.10813722339029477,0.09706043725192652,0.058599038364255854,0.0022571554063264276,0.7105584074464096,0.8234574196838347,0.9663600367771057,0.7141929001503374,0.6083914518241557,0.6099302858959512,0.6422903319743739,0.03363996322289431,1.0000000000000004,0.01,0.8777683021585457,0.342789833934702,1.0,0.6572101660652979,0.8927536231884057,0.5002789934483827,0.9643115555034903,0.9589373375685823,0.7527106235208247,0.9466395559707643,0.8964389034302246,0.9123522599543583,0.3196513187304426,0.0949052500776639,0.599855775009014,0.7055117416398642,0.01,0.01,0.5616367860629499,0.5128623188405796,0.47669582334545124,0.17745706548249823,0.4136614286970393,0.01,0.5743984338016417,0.6263143202754256,0.01,0.4136614286970393,0.01,0.01,0.19202273554269395,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.6799994217814912,0.01,0.01,1.0,0.9999999999999998,0.01,0.7960335716962524,0.9901118924110781,0.662099787530222,0.594684701847971,0.33075689512634854,0.6324838098594652,0.6324838098594652,0.44122303807769486,0.6381848286904782,0.6512878866245992
